fig_id,section,entity_type,num_data_rows,num_cols,is_wide,note,columns_preview
fig_9.1.1,fig_9.1.1,category,39,3,N,,Question | Year | Value
fig_9.1.2,fig_9.1.2,country,148,3,N,,"Country | Year | % of respondents that ""Agree"""
fig_9.1.3,fig_9.1.3,category,256,3,N,,Category | Country | Response
fig_9.1.4,fig_9.1.4,category,256,3,N,,Category | Country | Response
fig_9.1.5,fig_9.1.5,category,64,3,N,,Category | Country | Response
fig_9.1.6,fig_9.1.6,category,224,3,N,,Response | Country | Response
fig_9.1.7,fig_9.1.7,category,16,3,N,,Category | Year | Response
fig_9.1.8,fig_9.1.8,country,44,3,N,,Percent of respondents | Country | Label
fig_9.1.9,fig_9.1.9,category,224,3,N,,Category | Country | Response
fig_9.1.10,fig_9.1.10,country,48,3,N,,country | using_ai_at_work | trust_ai_at_work
fig_9.1.11,fig_9.1.11,country,141,3,N,,Country | Category | % of respondents
fig_9.2.1,fig_9.2.1,category,20,3,N,,Percentage | Category | Label
fig_9.2.2,fig_9.2.2,category,24,3,N,,Percentage | Category | Label
fig_9.2.3,fig_9.2.3,category,28,3,N,,AI companionship adoption |  | Label
fig_9.2.4,fig_9.2.4,category,8,3,N,,Group | Response | Percentage
fig_9.2.5,fig_9.2.5,category,27,11,N,, | participant_group | question_set_name | question_resolution_date | question_resolution_year | question_percentile | unit_name | w_median
fig_9.2.6,fig_9.2.6,category,20,3,N,,Percentage | Category | Label
fig_9.2.7,fig_9.2.7,category,16,3,N,,Year | % of respondents | Label
fig_9.2.8,fig_9.2.8,category,51,3,N,,Percent of respondents | Category | Label
fig_9.2.9,fig_9.2.9,category,27,11,N,, | participant_group | question_set_name | question_resolution_date | question_resolution_year | question_percentile | unit_name | w_median
fig_9.2.10,fig_9.2.10,country,66,3,N,,Percent of respondents | Country | Label
fig_9.3.1,fig_9.3.1,country,31,3,N,,% of respondents | Country | Year
fig_9.3.2,fig_9.3.2,country,104,3,N,,country | trust_in | response_perc
fig_9.3.3,fig_9.3.3,country,44,3,N,,Percent of respondents | Country | Label
fig_9.3.4,fig_9.3.4,us_state,39,2,N,,state | net_concern
fig_9.3.5,fig_9.3.5,us_state,117,3,N,,Percent of respondents | State | Label
fig_9.3.6,fig_9.3.6,category,72,3,N,,Percent of respondents | Demographic Group | Label
