variable_original,variable_derived,transform_type,method,n_non_missing,median,mad,mean,std,min,max,status,used_in_primary_modeling,exclusion_reason,notes
wb_mobile_subscriptions_per100,wb_mobile_subscriptions_per100_log,log_transform,log1p,42,4.856779241324132,0.09204988638106748,4.868534699595691,0.18232171491948806,4.386425597317815,5.319131297498093,ok,True,,
wb_mobile_subscriptions_per100,wb_mobile_subscriptions_per100_z,robust_zscore,median_mad,42,127.6126492169645,11.874132892082997,131.28625322385622,24.82926305893443,79.3526921826412,203.206410299544,ok,True,,
wb_mobile_subscriptions_per100_log,wb_mobile_subscriptions_per100_log_z,robust_zscore,median_mad,42,4.856779241324132,0.09204988638106748,4.868534699595691,0.18232171491948806,4.386425597317815,5.319131297498093,ok,True,,
wb_secure_servers_per_1m,wb_secure_servers_per_1m_log,log_transform,log1p,42,10.439299522417949,1.0542922140649829,9.997716104554295,1.7676572196264813,6.101314236679135,12.415306247752843,ok,True,,
wb_secure_servers_per_1m,wb_secure_servers_per_1m_z,robust_zscore,median_mad,42,34199.312988999955,28002.008808281782,58794.749023613585,68647.26894175689,445.444117933167,246545.586810222,ok,True,,
wb_secure_servers_per_1m_log,wb_secure_servers_per_1m_log_z,robust_zscore,median_mad,42,10.439299522417949,1.0542922140649829,9.997716104554295,1.7676572196264813,6.101314236679135,12.415306247752843,ok,True,,
wb_electric_consumption_kwh_pc,wb_electric_consumption_kwh_pc_log,log_transform,log1p,42,8.722289407224288,0.33920144013010844,8.672571569944719,0.6690959513443244,7.075497122970644,10.072136008096045,ok,True,,
wb_electric_consumption_kwh_pc,wb_electric_consumption_kwh_pc_z,robust_zscore,median_mad,42,6137.280645345715,1811.515127327175,7187.705647726696,4872.868190172645,1181.63126786529,23673.0788246604,ok,True,,
wb_electric_consumption_kwh_pc_log,wb_electric_consumption_kwh_pc_log_z,robust_zscore,median_mad,42,8.722289407224288,0.33920144013010844,8.672571569944719,0.6690959513443244,7.075497122970644,10.072136008096045,ok,True,,
oxford_e_government_delivery,oxford_e_government_delivery_z,robust_zscore,median_mad,43,88.58,7.519999999999996,85.65488372093024,13.137499829566945,48.63,99.98,ok,True,,
oxford_government_digital_policy,oxford_government_digital_policy_z,robust_zscore,median_mad,43,70.54,14.47999999999999,67.65046511627907,19.031913793301474,21.43,99.38,ok,True,,
oxford_ind_data_governance,oxford_ind_data_governance_z,robust_zscore,median_mad,43,50.0,0.0,65.11627906976744,27.891976404152317,0.0,100.0,zero_mad_or_not_estimable,False,Derived feature is non-estimable or unstable; preserve raw variable and exclude derived column from primary models.,
oxford_governance_ethics,oxford_governance_ethics_z,robust_zscore,median_mad,43,89.85078595,6.006105480000002,86.24640913046511,9.584014277741735,59.07425136,97.37684188,ok,True,,
oecd_2_indigo_oecd_indigo_score,oecd_2_indigo_oecd_indigo_score_z,robust_zscore,median_mad,43,0.1093049421906471,0.014058783650398199,0.09810832049697638,0.02612484584303194,0.0097222225740552,0.1395293921232224,ok,True,,
oecd_4_digital_gov_oecd_digital_gov_overall,oecd_4_digital_gov_oecd_digital_gov_overall_z,robust_zscore,median_mad,31,0.58,0.08000000000000007,0.5819354838709676,0.16191395564391003,0.2,0.93,ok,True,,
