iso3,year,value,wb_indicator,canonical_name,var_year
ARM,2022,19513506553.1251,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
ARM,2021,13878908628.9378,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
ARM,2020,12641698583.2152,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
ARM,2019,13619290539.2116,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
ARM,2018,12457940694.7395,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
ABW,2024,4265650673.00236,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
ABW,2023,3834729616.12027,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
ABW,2022,3324034443.26581,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
ABW,2021,2880902798.92288,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
ABW,2020,2471419181.71957,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
ABW,2019,3346623191.45988,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
ABW,2018,3276187709.49721,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
AUS,2024,1757022451652.83,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
AUS,2023,1734451264655.6,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
AUS,2022,1695627535475.8,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
AUS,2021,1560617493202.69,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
AUS,2020,1333336461648.09,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
AUS,2019,1398349602956.35,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
AUS,2018,1433144978761.67,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
AUT,2024,534790720466.822,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
AUT,2023,516670509628.876,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
AUT,2022,473221298968.216,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
AUT,2021,480466363176.806,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
AUT,2020,434397601557.696,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2020
AUT,2019,442983642371.842,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2019
AUT,2018,452582294972.775,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2018
AZE,2024,74315882352.9412,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2024
AZE,2023,72428470588.2353,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2023
AZE,2022,78807470588.2353,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2022
AZE,2021,54825411764.7059,NY.GDP.MKTP.CD,gdp_current_usd,gdp_current_usd_2021
