Average Maturity,Region
2.1,North America 
1.8,Latin America
2,Europe
2.2,"Asia-Pacific (excl. China, incl. India) "
2.2,North America 
2.2,Latin America
2.3,Europe
2.5,"Asia-Pacific (excl. China, incl. India) "
