% of Respondents,Business function,Year
0.01,Other,2024
0.02,Customer care,2024
0.09,No business function<br>primarily responsible,2024
0.04,Internal audit/ethics,2024
0.07,Legal,2024
0.1,Engineering,2024
0.17,Data and analytics,2024
0.14,AI-specific governance<br>roles,2024
0.13,Risk/compliance,2024
0.21,Information security<br>(cyber/fraud/privacy),2024
0.01,Other,2025
0.01,Customer care,2025
0.05,No business function<br>primarily responsible,2025
0.05,Internal audit/ethics,2025
0.06,Legal,2025
0.08,Engineering,2025
0.13,Data and analytics,2025
0.17,AI-specific governance<br>roles,2025
0.19,Risk/compliance,2025
0.21,Information security<br>(cyber/fraud/privacy),2025
