Date,Number of AI incidents,Label
0,51.0,6-month moving average
1,41.0,6-month moving average
2,35.67,6-month moving average
3,36.0,6-month moving average
4,35.4,6-month moving average
5,35.83,6-month moving average
6,34.5,6-month moving average
7,38.5,6-month moving average
8,41.67,6-month moving average
9,42.17,6-month moving average
10,43.33,6-month moving average
11,43.67,6-month moving average
12,42.0,6-month moving average
13,41.33,6-month moving average
14,41.33,6-month moving average
15,42.5,6-month moving average
16,44.5,6-month moving average
17,69.0,6-month moving average
18,78.33,6-month moving average
19,83.17,6-month moving average
20,91.83,6-month moving average
21,97.83,6-month moving average
22,101.33,6-month moving average
23,80.5,6-month moving average
24,74.5,6-month moving average
25,68.83,6-month moving average
26,61.0,6-month moving average
27,56.0,6-month moving average
28,52.67,6-month moving average
29,53.83,6-month moving average
30,56.67,6-month moving average
31,58.17,6-month moving average
32,59.83,6-month moving average
33,57.67,6-month moving average
34,57.0,6-month moving average
35,57.67,6-month moving average
36,56.67,6-month moving average
37,63.83,6-month moving average
38,67.33,6-month moving average
39,81.5,6-month moving average
40,89.33,6-month moving average
41,90.83,6-month moving average
42,99.67,6-month moving average
43,101.83,6-month moving average
44,110.0,6-month moving average
45,114.0,6-month moving average
46,115.5,6-month moving average
47,130.83,6-month moving average
48,138.0,6-month moving average
49,147.33,6-month moving average
50,150.33,6-month moving average
51,152.17,6-month moving average
52,156.33,6-month moving average
53,149.67,6-month moving average
54,145.0,6-month moving average
55,133.67,6-month moving average
56,134.83,6-month moving average
57,128.67,6-month moving average
58,124.33,6-month moving average
59,133.33,6-month moving average
60,148.0,6-month moving average
61,163.17,6-month moving average
62,173.5,6-month moving average
63,191.0,6-month moving average
64,209.17,6-month moving average
65,217.83,6-month moving average
66,229.33,6-month moving average
67,242.67,6-month moving average
68,261.0,6-month moving average
69,280.33,6-month moving average
70,293.5,6-month moving average
71,326.0,6-month moving average
0,51.0,total incidents
1,31.0,total incidents
2,25.0,total incidents
3,37.0,total incidents
4,33.0,total incidents
5,38.0,total incidents
6,43.0,total incidents
7,55.0,total incidents
8,44.0,total incidents
9,40.0,total incidents
10,40.0,total incidents
11,40.0,total incidents
12,33.0,total incidents
13,51.0,total incidents
14,44.0,total incidents
15,47.0,total incidents
16,52.0,total incidents
17,187.0,total incidents
18,89.0,total incidents
19,80.0,total incidents
20,96.0,total incidents
21,83.0,total incidents
22,73.0,total incidents
23,62.0,total incidents
24,53.0,total incidents
25,46.0,total incidents
26,49.0,total incidents
27,53.0,total incidents
28,53.0,total incidents
29,69.0,total incidents
30,70.0,total incidents
31,55.0,total incidents
32,59.0,total incidents
33,40.0,total incidents
34,49.0,total incidents
35,73.0,total incidents
36,64.0,total incidents
37,98.0,total incidents
38,80.0,total incidents
39,125.0,total incidents
40,96.0,total incidents
41,82.0,total incidents
42,117.0,total incidents
43,111.0,total incidents
44,129.0,total incidents
45,149.0,total incidents
46,105.0,total incidents
47,174.0,total incidents
48,160.0,total incidents
49,167.0,total incidents
50,147.0,total incidents
51,160.0,total incidents
52,130.0,total incidents
53,134.0,total incidents
54,132.0,total incidents
55,99.0,total incidents
56,154.0,total incidents
57,123.0,total incidents
58,104.0,total incidents
59,188.0,total incidents
60,220.0,total incidents
61,190.0,total incidents
62,216.0,total incidents
63,228.0,total incidents
64,213.0,total incidents
65,240.0,total incidents
66,289.0,total incidents
67,270.0,total incidents
68,326.0,total incidents
69,344.0,total incidents
70,292.0,total incidents
71,435.0,total incidents
