Year,AI publications in natural sciences (% of total),Label
2010,0.00358138238573021,Physical sciences
2011,0.00333148965180144,Physical sciences
2012,0.00343052631911153,Physical sciences
2013,0.00359431579950447,Physical sciences
2014,0.00332651701137509,Physical sciences
2015,0.00372161026101114,Physical sciences
2016,0.00431132044967072,Physical sciences
2017,0.00573263013070396,Physical sciences
2018,0.0087218573007236,Physical sciences
2019,0.0140530698944671,Physical sciences
2020,0.021168985669925,Physical sciences
2021,0.0289007913335883,Physical sciences
2022,0.0383347712517046,Physical sciences
2023,0.0446665840802739,Physical sciences
2024,0.0489821429241759,Physical sciences
2025,0.0583835985286167,Physical sciences
2010,0.00496269330862878,Life sciences
2011,0.00491037029498568,Life sciences
2012,0.00530837268729308,Life sciences
2013,0.00541072475595162,Life sciences
2014,0.00539783302964399,Life sciences
2015,0.00639049837098789,Life sciences
2016,0.00717234856522714,Life sciences
2017,0.00869168098691124,Life sciences
2018,0.0123431885888361,Life sciences
2019,0.0172841379382511,Life sciences
2020,0.0229808624845161,Life sciences
2021,0.0313876761536336,Life sciences
2022,0.041212585817028,Life sciences
2023,0.0454469401759971,Life sciences
2024,0.0523348372878763,Life sciences
2025,0.0648163301909,Life sciences
2010,0.00469706849973278,Natural sciences
2011,0.00458933835508934,Natural sciences
2012,0.00485145312572194,Natural sciences
2013,0.00507018622802517,Natural sciences
2014,0.00504918262897618,Natural sciences
2015,0.00573707635790859,Natural sciences
2016,0.00660736437777434,Natural sciences
2017,0.00807707875181809,Natural sciences
2018,0.011527714825036,Natural sciences
2019,0.0170630166588654,Natural sciences
2020,0.0238969455061028,Natural sciences
2021,0.0328358129738613,Natural sciences
2022,0.0434609455520805,Natural sciences
2023,0.0498151225979943,Natural sciences
2024,0.0565215419057419,Natural sciences
2025,0.0679822050322947,Natural sciences
2010,0.00717010713352495,Earth science
2011,0.00716013926864291,Earth science
2012,0.00745992074428151,Earth science
2013,0.00789835762927356,Earth science
2014,0.00856552051066194,Earth science
2015,0.00927689003305558,Earth science
2016,0.0105013645443547,Earth science
2017,0.0116974808014591,Earth science
2018,0.0151204464811083,Earth science
2019,0.0209222908414757,Earth science
2020,0.0280634672546365,Earth science
2021,0.0389641391629315,Earth science
2022,0.050804109760076,Earth science
2023,0.061510805952397,Earth science
2024,0.0744660311872808,Earth science
2025,0.0879030698833487,Earth science
