Country,2023,2022
United States,2874,"2,759"
United Kingdom,1218,"1,156"
Germany,1004,"1,008"
France,830,733
Korea,585,617
Australia,483,425
Brazil,419,374
Canada,324,309
Spain,289,247
Mexico,254,144
Italy,248,194
Switzerland,187,142
Finland,152,140
Netherlands,146,122
Sweden,146,120
