Ratio,Race/Ethnicity,Year
7.782592694,Asian,2024
4.197129255,Asian,2024
0.594464034,Black/African American,2024
0.34873183,Black/African American,2024
0.838873443,Hispanic/Latino,2024
0.418699814,Hispanic/Latino,2024
0.350631414,Native American/Alaskan,2024
0.112392011,Native American/Alaskan,2024
0.340342004,Native Hawaiian/Pacific Islander,2024
0.180064665,Native Hawaiian/Pacific Islander,2024
1.253883263,Two or more races,2024
0.591086997,Two or more races,2024
1.133101426,White,2024
0.421619544,White,2024
7.782592694,Asian,Male
0.594464034,Black/African American,Male
0.838873443,Hispanic/Latino,Male
0.350631414,Native American/Alaskan,Male
0.340342004,Native Hawaiian/Pacific Islander,Male
1.253883263,Two or more races,Male
1.133101426,White,Male
4.197129255,Asian,Female
0.34873183,Black/African American,Female
0.418699814,Hispanic/Latino,Female
0.112392011,Native American/Alaskan,Female
0.180064665,Native Hawaiian/Pacific Islander,Female
0.591086997,Two or more races,Female
0.421619544,White,Female
