Country,2023,2022
United States,39213,"38,746"
Spain,20932,"17,764"
Turkey,20884,"16,464"
Canada,15885,"16,275"
Colombia,14867,"12,852"
United Kingdom,10839,"9,425"
Korea,6685,"6,983"
France,5835,"10,820"
Australia,5322,"7,249"
Mexico,4536,"3,720"
Chile,3202,"2,946"
Sweden,2897,"2,885"
Israel,2100,"2,157"
New Zealand,1476,"1,889"
Austria,1372,"1,273"
