Year,Associate’s,Bachelor’s,Master’s,PhD
2014,27449,79654,34415,8474
2015,28262,85463,37984,8724
2016,23684,92154,43445,8675
2017,23866,100052,44699,8730
2018,24419,105515,43186,9132
2019,23827,109465,39635,9169
2020,21659,110511,38568,9091
2021,20613,107856,38089,8956
2022,19520,103723,34215,9917
2023,18533,99416,42797,9715
2024,18748,96150,43373,9555
