Year,Number of AP computer science exams taken (in thousands)
2007,19.39
2008,19.83
2009,20.96
2010,19.39
2011,21.14
2012,24.78
2013,29.55
2014,37.33
2015,46.34
2016,54.38
2017,99.87
2018,130.9
2019,158.56
2020,179.19
2021,181.04
2022,201.61
2023,243.18
2024,254.8
