Country,2023,2022
United States,122814,"116,401"
Brazil,80316,"61,760"
Mexico,33861,"32,738"
Germany,21504,"21,365"
United Kingdom,20703,"20,435"
Korea,19591,"19,603"
Peru,15171,"13,054"
Poland,14688,"12,817"
Australia,14363,"14,584"
Canada,13590,"13,053"
France,11516,"10,472"
Turkey,7774,"6,023"
Spain,7118,"6,650"
Romania,6786,"6,256"
Chile,5506,"5,090"
