Ratio,Group,Year
0.716981132,Economically disadvantaged,2024
0.636363636,English language learners,2024
0.65,Girls,2024
1.333333333,Students with 504 plans,2024
0.666666667,Students with IEPs,2024
0.78,Economically disadvantaged,2025
0.76,English language learners,2025
0.68,Girls,2025
2.17,Students with 504 plans,2025
0.7,Students with IEPs,2025
