Ratio,Race/Ethnicity,Label
0.88,Asian,Associate’s
1.25,White,Associate’s
0.84,Two or more,Associate’s
1.16,Native American/Alaskan,Associate’s
0.71,Hispanic,Associate’s
0.83,NHPI,Associate’s
0.71,Black,Associate’s
1.48,Asian,Bachelor’s
1.06,White,Bachelor’s
1.03,Two or more,Bachelor’s
0.61,Native American/Alaskan,Bachelor’s
0.87,Hispanic,Bachelor’s
0.47,NHPI,Bachelor’s
0.54,Black,Bachelor’s
1.99,Asian,Master’s
0.98,White,Master’s
1.25,Two or more,Master’s
0.46,Native American/Alaskan,Master’s
0.51,Black,Master’s
0.33,NHPI,Master’s
0.93,Hispanic,Master’s
