Ratio,Race/Ethnicity,Year
2.6,Asian,2024
1.133333333,Black/African American,2024
0.689655172,Hispanic/Latino,2024
1,Native American/Alaskan,2024
0.75,Native Hawaiian/Pacific Islander,2024
0.8,Two or more races,2024
1,White,2024
2.34,Asian,2025
1.28,Black/African American,2025
0.72,Hispanic/Latino,2025
1.1,Native American/Alaskan,2025
0.9,Native Hawaiian/Pacific Islander,2025
0.92,Two or more races,2025
0.99,White,2025
