Country,Percent Female,Group,Education level abbreviated
Switzerland,0.18,Master’s,M
Switzerland,0.08,Short-cycle,SC
Switzerland,0.21,PhD,PhD
Switzerland,0.15,Bachelor’s,B
Turkey,0.3,PhD,PhD
Turkey,0.34,Master’s,M
Turkey,0.26,Short-cycle,SC
Turkey,0.28,Bachelor’s,B
United Kingdom,0.18,Bachelor’s,B
United Kingdom,0.26,Short-cycle,SC
United Kingdom,0.33,Master’s,M
United Kingdom,0.26,PhD,PhD
United States,0.27,PhD,PhD
United States,0.25,Short-cycle,SC
United States,0.35,Master’s,M
United States,0.24,Bachelor’s,B
