Year,Associate’s,Bachelor’s,Master’s,PhD
2014,13871,60520,27110,4443
2015,15067,65717,33487,4376
2016,15647,72462,41932,4424
2017,16815,79748,47504,4473
2018,18044,88588,47205,4691
2019,18985,97078,46379,4868
2020,19629,104994,50186,5068
2021,20710,111021,55014,5074
2022,20691,114305,52139,5658
2023,20500,117944,81211,5702
2024,23440,120951,94917,6027
