Year,AP computer science exams taken (% of total responding students),Label
2007,0.0404,Other
2008,0.0384,Other
2009,0.0364,Other
2010,0.0353,Other
2011,0.0339,Other
2012,0.033,Other
2013,0.0369,Other
2014,0.040999999999999995,Other
2015,0.036699999999999997,Other
2016,0.0015,Other
2017,0.0003,Other
2018,0.0,Other
2019,0.0,Other
2020,0.0,Other
2021,0.0,Other
2022,0.0,Other
2023,0.0,Other
2024,0.0,Other
2007,0.0034999999999999996,Native American/Alaskan
2008,0.0031,Native American/Alaskan
2009,0.0036,Native American/Alaskan
2010,0.0034999999999999996,Native American/Alaskan
2011,0.0033,Native American/Alaskan
2012,0.0032,Native American/Alaskan
2013,0.0043,Native American/Alaskan
2014,0.0034999999999999996,Native American/Alaskan
2015,0.0040999999999999995,Native American/Alaskan
2016,0.0016,Native American/Alaskan
2017,0.002,Native American/Alaskan
2018,0.0021,Native American/Alaskan
2019,0.0023,Native American/Alaskan
2020,0.0048,Native American/Alaskan
2021,0.0062,Native American/Alaskan
2022,0.0064,Native American/Alaskan
2023,0.003,Native American/Alaskan
2024,0.0023,Native American/Alaskan
2007,0.0,Native American/Alaskan
2007,0.0,Native Hawaiian/Pacific Islander
2008,0.0,Native Hawaiian/Pacific Islander
2009,0.0,Native Hawaiian/Pacific Islander
2010,0.0,Native Hawaiian/Pacific Islander
2011,0.0,Native Hawaiian/Pacific Islander
2012,0.0,Native Hawaiian/Pacific Islander
2013,0.0,Native Hawaiian/Pacific Islander
2014,0.0,Native Hawaiian/Pacific Islander
2015,0.0,Native Hawaiian/Pacific Islander
2016,0.0013,Native Hawaiian/Pacific Islander
2017,0.0015,Native Hawaiian/Pacific Islander
2018,0.0015,Native Hawaiian/Pacific Islander
2019,0.0014000000000000002,Native Hawaiian/Pacific Islander
2020,0.0015,Native Hawaiian/Pacific Islander
2021,0.0015,Native Hawaiian/Pacific Islander
2022,0.0015,Native Hawaiian/Pacific Islander
2023,0.001,Native Hawaiian/Pacific Islander
2024,0.0011,Native Hawaiian/Pacific Islander
2008,0.0,Two or more races
2009,0.0,Two or more races
2010,0.0,Two or more races
2011,0.0,Two or more races
2012,0.0,Two or more races
2013,0.0,Two or more races
2014,0.0,Two or more races
2015,0.0,Two or more races
2016,0.0451,Two or more races
2017,0.0458,Two or more races
2018,0.0466,Two or more races
2019,0.046799999999999994,Two or more races
2020,0.0504,Two or more races
2021,0.0492,Two or more races
2022,0.0461,Two or more races
2023,0.046,Two or more races
2024,0.0463,Two or more races
2007,0.0379,Black/African American
2008,0.0403,Black/African American
2009,0.0443,Black/African American
2010,0.0441,Black/African American
2011,0.0434,Black/African American
2012,0.042300000000000004,Black/African American
2013,0.0373,Black/African American
2014,0.0397,Black/African American
2015,0.0393,Black/African American
2016,0.0379,Black/African American
2017,0.0516,Black/African American
2018,0.0574,Black/African American
2019,0.0587,Black/African American
2020,0.0594,Black/African American
2021,0.0632,Black/African American
2022,0.0673,Black/African American
2023,0.067,Black/African American
2024,0.0707,Black/African American
2007,0.067,Hispanic/Latino
2008,0.0695,Hispanic/Latino
2009,0.0702,Hispanic/Latino
2010,0.0784,Hispanic/Latino
2011,0.0851,Hispanic/Latino
2012,0.08,Hispanic/Latino
2013,0.0824,Hispanic/Latino
2014,0.0885,Hispanic/Latino
2015,0.0942,Hispanic/Latino
2016,0.1168,Hispanic/Latino
2017,0.1505,Hispanic/Latino
2018,0.16329999999999997,Hispanic/Latino
2019,0.1703,Hispanic/Latino
2020,0.1648,Hispanic/Latino
2021,0.1648,Hispanic/Latino
2022,0.17620000000000002,Hispanic/Latino
2023,0.177,Hispanic/Latino
2024,0.1826,Hispanic/Latino
2007,0.24359999999999998,Asian 
2008,0.2565,Asian 
2009,0.2699,Asian 
2010,0.2743,Asian 
2011,0.2874,Asian 
2012,0.2863,Asian 
2013,0.2899,Asian 
2014,0.2992,Asian 
2015,0.298,Asian 
2016,0.29719999999999996,Asian 
2017,0.27149999999999996,Asian 
2018,0.2707,Asian 
2019,0.26839999999999997,Asian 
2020,0.2722,Asian 
2021,0.2878,Asian 
2022,0.2782,Asian 
2023,0.287,Asian 
2024,0.298,Asian 
2007,0.6076,White 
2008,0.5922,White 
2009,0.5755,White 
2010,0.5644,White 
2011,0.5468999999999999,White 
2012,0.5552,White 
2013,0.5493,White 
2014,0.5281,White 
2015,0.5278,White 
2016,0.4986,White 
2017,0.4768,White 
2018,0.4583,White 
2019,0.4521,White 
2020,0.44689999999999996,White 
2021,0.4274,White 
2022,0.3823,White 
2023,0.375,White 
2024,0.3507,White 
