code,School Year,percent_public_hs_teach_cs
AL,2024-2025,0.92
AK,2024-2025,0.34
AZ,2023-2024,0.43
AR,2024-2025,1
CA,2024-2025,0.58
CO,2023-2024,0.66
CT,2023-2024,0.84
DE,2024-2025,0.61
DC,2024-2025,0.6
FL,2023-2024,0.38
GA,2024-2025,0.81
HI,2024-2025,0.67
ID,2024-2025,0.44
IL,2022-2023,0.58
IN,2023-2024,0.89
IA,2024-2025,0.86
KS,2023-2024,0.38
KY,2024-2025,0.75
LA,2024-2025,0.39
ME,2024-2025,0.59
MD,2024-2025,1
MA,2023-2024,0.81
MI,2023-2024,0.54
MN,2023-2024,0.34
MS,2024-2025,0.87
MO,2023-2024,0.56
MT,2024-2025,0.38
NE,2023-2024,0.51
NV,2023-2024,0.98
NH,2024-2025,0.94
NJ,2023-2024,0.86
NM,2023-2024,0.54
NY,2023-2024,0.5
NC,2024-2025,0.7
ND,2023-2024,0.53
OH,2023-2024,0.61
OK,2023-2024,0.72
OR,2023-2024,0.56
PA,2023-2024,0.78
RI,2023-2024,0.79
SC,2024-2025,0.92
SD,2023-2024,0.55
TN,2024-2025,0.83
TX,2023-2024,0.48
UT,2024-2025,0.82
VT,2023-2024,0.6
VA,2023-2024,0.68
WA,2024-2025,0.51
WV,2023-2024,0.78
WI,2023-2024,0.54
WY,2024-2025,0.64
