Ratio,Race/Ethnicity,Label
3.116551878,Asian,Male
2.089731088,Native Hawaiian or Pacific Islander,Male
1.099105343,Nonresident,Male
1.061116781,White,Male
1.018218548,More than one race,Male
0.697691228,"Hispanic, any race",Male
0.502566795,Black or African American,Male
0.403968973,Indigenous or Alaskan Native,Male
1.296364772,Asian,Female
0.842138079,Native Hawaiian or Pacific Islander,Female
0.60278574,Nonresident,Female
0.346168099,White,Female
0.268940058,More than one race,Female
0.171268991,"Hispanic, any race",Female
0.227852299,Black or African American,Female
0.173587324,Indigenous or Alaskan Native,Female
