Year,New AI PhD graduates (% of total),Label
2010,0.03508771929824561,Government
2011,0.045454545454545456,Government
2012,0.032432432432432434,Government
2013,0.04666666666666667,Government
2014,0.053691275167785234,Government
2015,0.029850746268656716,Government
2016,0.017699115044247787,Government
2017,0.009852216748768473,Government
2018,0.011494252873563218,Government
2019,0.014598540145985401,Government
2020,0.01968503937007874,Government
2021,0.006711409395973154,Government
2022,0.007575757575757576,Government
2023,0.016241299303944315,Government
2024,0.0196078431372549,Government
2010,0.42105263157894735,Academia
2011,0.4090909090909091,Academia
2012,0.25405405405405407,Academia
2013,0.34,Academia
2014,0.28859060402684567,Academia
2015,0.31343283582089554,Academia
2016,0.27876106194690264,Academia
2017,0.2955665024630542,Academia
2018,0.2796934865900383,Academia
2019,0.23722627737226276,Academia
2020,0.24015748031496062,Academia
2021,0.28187919463087246,Academia
2022,0.1994949494949495,Academia
2023,0.23897911832946636,Academia
2024,0.3159041394335512,Academia
2010,0.4444444444444444,Industry
2011,0.4155844155844156,Industry
2012,0.5459459459459459,Industry
2013,0.49333333333333335,Industry
2014,0.5704697986577181,Industry
2015,0.5746268656716418,Industry
2016,0.5929203539823009,Industry
2017,0.5714285714285714,Industry
2018,0.6206896551724138,Industry
2019,0.656934306569343,Industry
2020,0.6023622047244095,Industry
2021,0.6543624161073825,Industry
2022,0.7070707070707071,Industry
2023,0.6450116009280742,Industry
2024,0.6274509803921569,Industry
