Number of Witnesses,Subject Area,Label
9,Health and biomedical AI,Senate
8,Education and workforce,Senate
12,Privacy and legal,Senate
16,Government modernization,Senate
13,R&D and innovation,Senate
3,Finance and economic policy,Senate
25,National security and defense,Senate
53,General AI governance,Senate
3,Energy,House
6,Transportation and<br>autonomous systems,House
8,Industry and commerce,House
9,Health and biomedical AI,House
15,Education and workforce,House
18,Privacy and legal,House
20,"User risks, rights, and<br>protections",House
29,Government modernization,House
30,R&D and innovation,House
36,Finance and economic policy,House
49,National security and defense,House
60,General AI governance,House
