country,Agriculture and environment,Business and enterprise services,Consumer and lifestyle,Education,Financial services,General-purpose AI capabilities,Healthcare and life sciences,"Industry, energy and infrastructure",Legal services,Public sector and governance,Security and defense
Iceland,0,0,0,50200000,37427359,0,14999996,18821000,0,0,0
Hungary,4219734,0,24438833,0,0,0,33184033,0,0,0,0
Hong Kong,0,1565869473,23644497,83800483,139738828,80538074,124690401,9872708,10329110,90300000,0
Greece,0,0,0,0,49999963,0,0,5548659,0,0,0
Ghana,0,0,0,0,335664984,0,55945299,0,0,0,0
Germany,43191683,3002748479,637470932,176369989,1334220977,827397945,1448834260,1957611827,145129627,70252454,36537572
France,22150000,2531941035,327341067,41938928,1195868784,809296345,1865663700,495539909,99500000,94201209,61564900
Finland,0,332923986,5249919,0,47000000,83686477,95606304,21031940,203614085,1800000,35447417
Estonia,4550000,4800000,11694998,139754715,0,10000000,0,1925835,0,0,0
Egypt,0,57511768,0,15000000,192761727,0,0,13500000,0,0,0
Denmark,30201900,213324533,132044692,0,18609397,218441716,24366351,12999995,0,3141299,8000000
Czech Republic,0,64682389,14000000,0,35000000,0,15000000,0,0,300000,15630129
Cyprus,0,7000000,0,0,1500000,110000,0,24999970,0,0,0
Croatia,0,0,0,0,0,0,0,30000000,0,0,0
Costa Rica,0,1740543,0,0,4657662,0,0,0,0,0,0
Colombia,0,20820578,20008938,0,0,0,0,3000000,0,0,0
China,101392957,8344523701,2006756210,2516098983,3926321628,5663349636,8443362986,4064941707,478819150,164083387,82513576
Chile,0,1411147,0,9347629,1795977,0,270740675,0,0,0,0
Cayman Islands,0,0,15420000,0,0,0,30000000,0,0,0,0
Canada,148114589,5847140502,579042917,32868957,1767438618,1001578872,1135195565,680757066,1106046493,23530000,235862778
Cameroon,0,1600000,0,0,0,0,0,0,0,0,0
Bulgaria,0,28803917,12048253,0,0,1800000,0,0,5035880,0,0
British Virgin Islands,0,0,0,0,15400000,0,0,0,0,0,0
Brazil,2597243,675302428,322730653,137131184,80238741,125883731,33448122,7910255,6028797,0,0
Belgium,0,1081214429,10000001,4500000,25470000,8735047,38517590,199636774,37297340,800320,0
Barbados,0,3034680,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,114500000,0,0,0,0,0,0
Austria,0,62679034,295623616,6225578,68737163,51210362,165451029,130492664,4500000,20000000,0
Australia,36840000,3364431709,56578775,67360811,797221320,278811312,526073264,78984687,66584748,25848875,16075594
Argentina,15527674,0,0,0,0,0,0,0,0,0,0
