State,Value
ALABAMA,168586892
ALASKA,71221
ARIZONA,25168374
ARKANSAS,9420291
CALIFORNIA,673584779
COLORADO,61136755
CONNECTICUT,8341693
DELAWARE,1118903
DISTRICT OF COLUMBIA,365978706
FLORIDA,69216844
GEORGIA,33549442
HAWAII,9209562
IDAHO,6143878
ILLINOIS,46649187
INDIANA,7123663
IOWA,2010864
KANSAS,7272437
KENTUCKY,1564042
LOUISIANA,19300042
MAINE,1399809
MARYLAND,547694561
MASSACHUSETTS,285563945
MICHIGAN,186903782
MINNESOTA,7119489
MISSISSIPPI,9537696
MISSOURI,17497664
MONTANA,911805
NEBRASKA,1500000
NEVADA,3583724
NEW HAMPSHIRE,105320132
NEW JERSEY,61434869
NEW MEXICO,33174462
NEW YORK,93267298
NORTH CAROLINA,11872546
NORTH DAKOTA,199093
OHIO,139658490
OKLAHOMA,18432072
OREGON,11367348
PENNSYLVANIA,109041633
RHODE ISLAND,3992211
SOUTH CAROLINA,17419371
SOUTH DAKOTA,6078434
TENNESSEE,12029524
TEXAS,173389919
UTAH,3894604
VERMONT,100000
VIRGINIA,1092391180
WASHINGTON,11525188
WEST VIRGINIA,31203130
WISCONSIN,4390968
WYOMING,2089108
