iso3,dc_count_2024,dc_count_2025,dc_capacity_mw_2024,dc_capacity_mw_2025,dc_capacity_mw_2030_proj,dc_construction_cost_per_watt_2026,dc_pipeline_capacity_mw,dc_yoy_growth_pct_2024_2025,dc_eu_eed_compliance_required,dc_waste_heat_mandate,dc_waste_heat_pct_required,dc_waste_heat_year,dc_renewable_mandate_pct,dc_renewable_mandate_year,dc_pue_max_mandate,dc_pue_year,dc_moratorium_year_start,dc_moratorium_year_end,dc_moratorium_active_2025,grid_connection_wait_years,grid_connection_fast_track_available,grid_pipeline_request_gw,dc_critical_infrastructure_designation,dc_designation_year,dc_planning_nsip_eligible,dc_ai_growth_zones_program,dc_subsidies_regional_program,water_dc_use_published,industrial_electricity_price_eur_kwh_2024,industrial_electricity_price_eur_kwh_2025,water_stress_score_2020,water_stress_label,time_construction_permit_days,time_get_electricity_days
SGP,70,75,900.0,1200.0,2200.0,14.5,380.0,33.3,0,0,,,,,1.3,2014.0,2019.0,2022.0,0,0.5,1,0.3,1,2018.0,,0,1,1,0.196,0.182,4.0,Extremely High,26,32
JPN,185,200,1200.0,1600.0,4000.0,15.2,1200.0,33.3,0,0,,,,,1.3,2029.0,,,0,7.0,1,8.0,1,2023.0,,0,1,0,0.175,0.168,1.2,Low-Medium,193,97
FRA,280,300,800.0,1050.0,3500.0,9.5,1800.0,31.2,1,1,,2025.0,,,,,,,0,4.0,1,5.0,0,,,0,1,0,0.11,0.118,1.8,Medium-High,184,68
IRL,82,90,1060.0,1200.0,2800.0,10.0,900.0,13.2,1,0,,,80.0,2025.0,,,2021.0,2025.0,0,4.0,1,3.0,1,2022.0,,0,1,0,0.192,0.18,0.2,Low,149,85
GBR,520,560,2100.0,2600.0,6000.0,11.0,2200.0,23.8,0,0,,,,,,,,,0,4.0,1,2.2,1,2024.0,1.0,1,0,0,0.228,0.215,1.0,Low-Medium,86,72
ESP,68,78,354.9,439.0,2500.0,10.0,1500.0,23.7,1,0,,,,,,,,,0,4.0,0,5.0,0,,,0,1,0,0.098,0.102,3.5,High,229,48
