iso3,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,source
NOR,0.090586373,0.759006546,0.19464037,50.0,9.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
NZL,0.076582872,0.354527332,0.010355605,27.0,2.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
PAK,0.001212099,,,,,2023.0,,,Stanford_AI_Index_2025
PAN,,0.01473589,,1.0,,,2024.0,2024.0,Stanford_AI_Index_2025
PER,,0.002,0.002,1.0,1.0,,2024.0,2024.0,Stanford_AI_Index_2025
PHL,0.000870389,0.021,0.0055,5.0,2.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
POL,0.057240434,0.351180082,0.03659772,48.0,5.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
PRT,0.141801411,0.793556783,0.071261713,27.0,5.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
ROU,0.031480399,0.392566533,0.071166738,13.0,2.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
RUS,0.019467951,0.225774717,,29.0,,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
SAU,0.006012453,0.155166756,0.025999147,13.0,3.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
SGP,0.980119128,7.27106726,0.847717123,239.0,39.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
SRB,,0.010291385,,2.0,,,2024.0,2024.0,Stanford_AI_Index_2025
SVK,0.036854539,0.095848471,0.005417118,5.0,,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
SVN,0.047159556,0.025633238,0.001518603,3.0,1.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
SWE,0.740274501,7.267975111,4.335660898,112.0,16.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
SYC,,0.002273567,,1.0,,,2024.0,2024.0,Stanford_AI_Index_2025
THA,0.001394653,0.14806777,0.002147771,7.0,1.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
TUN,,0.021,0.013,2.0,1.0,,2024.0,2024.0,Stanford_AI_Index_2025
TUR,0.004687905,0.867281275,0.51305661,25.0,5.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
TWN,,0.971927833,0.066512313,42.0,2.0,,2024.0,2024.0,Stanford_AI_Index_2025
UGA,,0.0094,,3.0,,,2024.0,2024.0,Stanford_AI_Index_2025
UKR,,0.015,,4.0,,,2024.0,2024.0,Stanford_AI_Index_2025
URY,,0.01975,,2.0,,,2024.0,2024.0,Stanford_AI_Index_2025
USA,5.204605785,470.9223112,109.0773255,6956.0,1073.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
VNM,0.002989471,0.3139,0.0085,15.0,2.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
ZAF,0.03163937,0.226762699,0.017985041,20.0,4.0,2023.0,2024.0,2024.0,Stanford_AI_Index_2025
