iso3,ai_publications_frac,ai_publications_frac_year,ai_publications_top10_frac,ai_publications_top10_frac_year,ai_publications_scopus_frac,ai_publications_scopus_frac_year,ai_patents_pct,ai_patents_pct_year,ai_patents_ip5,ai_patents_ip5_year,gerd_pct_gdp,gerd_pct_gdp_year,berd_pct_gdp,berd_pct_gdp_year,researchers_per_1000_employed,researchers_per_1000_employed_year,ai_investment_vc_proxy,vc_proxy_year,source,role
IND,31344.94634,2023.0,2563.82723,2023.0,7538.903173,2023.0,220.3919067382813,2020.0,355.4189147949219,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
IRL,446.3750468,2023.0,43.56728282,2023.0,109.4749343,2023.0,23.26309967041016,2020.0,23.38019943237305,2020.0,1.378041303,2024.0,1.170865815,2024.0,11.07143456,2023.0,0.048525560948167,2024.0,OECD_STI_MSTI,robustness
ISL,16.78549182,2023.0,1.215659341,2023.0,5.246612812,2023.0,0.0,2020.0,1.333299994468689,2020.0,2.470096509,2024.0,1.768421119,2024.0,10.48098946,2023.0,,,OECD_STI_MSTI,robustness
ISR,409.9448988,2023.0,60.66594472,2023.0,158.4174095,2023.0,122.5876998901367,2020.0,213.0198974609375,2020.0,6.761183184,2024.0,6.344755006,2024.0,,,1.2788221052939854,2023.0,OECD_STI_MSTI,robustness
ITA,3715.988619,2023.0,475.5523303,2023.0,872.7734894,2023.0,52.8213996887207,2020.0,61.78129959106445,2020.0,1.381223118,2024.0,0.78862502,2024.0,6.533858431,2023.0,0.0302992380112064,2024.0,OECD_STI_MSTI,robustness
JOR,,,,,,,2.0,2020.0,1.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
JPN,3402.272915,2023.0,229.6684512,2023.0,1112.220692,2023.0,1187.7939453125,2020.0,1826.035278320313,2020.0,3.623194577,2024.0,2.85910792,2024.0,10.19987455,2023.0,,,OECD_STI_MSTI,robustness
KAZ,215.9080794,2023.0,12.67135154,2023.0,46.10180863,2023.0,0.0,2020.0,0.0,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
KEN,,,,,,,0.0,2020.0,0.416700005531311,2020.0,,,,,,,,,OECD_STI_MSTI,robustness
KOR,5121.875446,2023.0,443.6473283,2023.0,755.4489189,2023.0,1087.941040039063,2020.0,1412.274169921875,2020.0,5.125284062,2024.0,4.173045975,2024.0,17.25263055,2023.0,,,OECD_STI_MSTI,robustness
