iso3,country_name,year,control_of_corruption,education_expenditure_pct_gdp,exports_pct_gdp,fdi_net_inflows,gdp_current_usd,gdp_per_capita_ppp,government_effectiveness,inflation_consumer_prices,internet_penetration,labor_force,mobile_subscriptions_per100,patent_applications_residents,political_stability,population,rd_expenditure,regulatory_quality,rule_of_law,tertiary_education,unemployment_rate,voice_accountability
ARG,Argentina,2017,-0.309002459049225,5.45431995391846,11.3202833596733,11516861462.2844,643628393281.364,23385.0740904917,0.135085612535477,,74.2949,19643677.0,139.758,393.0,0.162542164325714,44288894.0,0.55631,-0.196430206298828,-0.237312033772469,89.3297346952415,8.347,0.528708100318909
ARG,Argentina,2018,-0.0992739275097847,4.87773990631104,14.4366857499034,11716769818.7543,524819892360.176,24410.3919063335,0.0280606187880039,34.2772237131003,77.7,20125838.0,131.224,425.0,0.0069098123349249,44654882.0,0.4883,-0.195977628231049,-0.219330430030823,91.0846512732766,9.22,0.539252579212189
ARG,Argentina,2019,-0.107116244733334,4.7716498374939,17.9248783778462,6649187837.98606,447754683615.225,23516.8261980886,-0.120795331895351,53.5483043492339,79.947,20580300.0,125.303,442.0,-0.0978230908513069,44973465.0,0.47813,-0.453079700469971,-0.427360445261002,95.1928240640628,9.843,0.570874631404877
ARG,Argentina,2020,-0.163570061326027,5.27689981460571,16.6054144372484,4884127675.95707,385740508436.965,22393.3479575353,-0.254261821508408,42.0150947376509,85.5144,19317784.0,121.181,930.0,-0.0719974040985107,45191965.0,0.54126,-0.498344272375107,-0.486265957355499,99.3697348717996,11.461,0.584501206874847
ARG,Argentina,2021,-0.422596842050552,4.65393018722534,18.0667091690365,6658049679.27727,486564085480.036,26300.274261175,-0.390557259321213,48.4093786255199,87.1507,20993886.0,130.353,406.0,0.0005300586344674,45312281.0,0.52216,-0.631172716617584,-0.477947890758514,107.219557633976,8.736,0.610777020454407
ARG,Argentina,2022,-0.447221606969833,4.79263019561768,16.2816677253254,15206087397.3003,633993756301.08,29808.8073468007,-0.28348970413208,72.430757531824,88.3754,21566906.0,131.484,,-0.0985943302512169,45407904.0,0.54947,-0.697565734386444,-0.482351809740067,107.103901423423,6.805,0.546316981315613
ARG,Argentina,2023,-0.360883951187134,5.89754023690244,12.8223120961047,24756887226.6539,649461687959.174,30221.4976888753,-0.377517342567444,133.488935594175,89.229,22069879.0,137.706,,-0.127517908811569,45538401.0,,-0.482535392045975,-0.410826534032822,107.822574129434,6.139,0.533921837806702
ARG,Argentina,2024,,,15.2497485928824,11644393816.0627,638365455340.04,30431.1931223693,,219.883929014578,89.6672,22161435.0,,,,45696159.0,,,,,7.15,
ARM,,2013,,,,,11121464437.0415,9454.87852836557,,,41.9,,,,,3022000.0,0.22216,,,44.8347790892711,16.576,
ARM,,2014,,,,,11609513246.7958,9736.2349746279,,,54.6228058583362,,,,,3013800.0,0.24151,,,47.7150849538629,17.498,
ARM,,2015,,,,,10553337518.414,9756.84084836026,,,59.1008337674937,,,,,3004600.0,0.25002,,,48.7313687040259,18.261,
ARM,,2016,,,,,10546136235.5219,10570.2720413936,,,64.3460297653742,,,,,2992300.0,0.23305,,,54.3432877365993,17.617,
ARM,,2017,,,,,11527458709.0158,12066.0043093819,,,64.7448843250726,,,,,2979400.0,0.22788,,,55.5065519523494,17.704,
ARM,,2018,,,,,12457940694.7395,12877.4937543553,,,68.2450522610271,,,,,2969000.0,0.18876,,,57.4585357681354,18.966,
ARM,,2019,,,,,13619290539.2116,14975.7539538157,,,66.5439496866159,,,,,2962500.0,0.17854,,,53.5944174785534,18.304,
ARM,,2020,,,,,12641698583.2152,14706.3173043422,,,76.50770055,,,,,2961500.0,0.2092,,,52.3331534448642,18.175,
ARM,,2021,,,,,13878908628.9378,15921.705281964,,,78.61225758,,,,,2962300.0,0.20557,,,56.6235144830279,15.469,
ARM,,2022,,,,,19513506553.1251,19161.3700514189,,,77.02767465,,,,,2969200.0,0.20955,,,57.1818422625098,13.451,
ARM,,2023,,,,,24185982215.6543,21534.030536117,,,79.99663036,,,,,2964300.0,0.1821,,,56.2770051010456,12.405,
ARM,,2024,,,,,25955275380.0321,22823.1795255693,,,81.33930206,,,,,3033500.0,0.2861,,,52.7748065090859,12.405,
AUS,Australia,2013,1.77783310413361,,19.8931411047873,54472699003.596,1583737461925.39,46123.4750962848,1.632453083992,2.4498886414254,83.4535,12191663.0,107.332,3061.0,1.03107297420502,23128129.0,2.17709,1.79121994972229,1.77010083198547,,5.663,1.43636846542358
AUS,Australia,2014,1.84927213191986,,20.9959179912807,63204516347.8725,1474677007565.64,47108.5906459966,1.60089492797852,2.48792270531404,84.0,12332149.0,106.206,1988.0,1.03219199180603,23475686.0,,1.85737347602844,1.91863083839417,,6.078,1.36167418956757
AUS,Australia,2015,1.84130811691284,,19.9846454503255,46892808567.8515,1356805839935.9,46464.5867627929,1.53325247764587,1.50836672165921,84.5605,12568796.0,107.608,2291.0,0.873180687427521,23815995.0,1.91902,1.77741026878357,1.79032063484192,119.679389953613,6.055,1.35573124885559
AUS,Australia,2016,1.77225196361542,,19.2031438783351,42970225977.7087,1211588128417.61,47446.2103030951,1.53218841552734,1.27699094497324,86.54,12744765.0,109.129,2620.0,1.0334244966507,24190907.0,,1.88573145866394,1.7166656255722,119.682777404785,5.711,1.35410094261169
AUS,Australia,2017,1.75297474861145,,21.1718412211076,48199372039.9014,1330890554614.09,48564.8286592372,1.49838602542877,1.94864740944527,86.545,13022869.0,107.8,2503.0,0.87606406211853,24592588.0,1.87919,1.92300236225128,1.64595770835876,109.993309020996,5.592,1.37863683700562
AUS,Australia,2018,1.7674548625946,,21.8125736575066,60686639529.9229,1433144978761.67,50371.233830782,1.55598998069763,1.91140094445691,90.0,13344850.0,110.033,2757.0,0.971185445785522,24963258.0,,1.89657723903656,1.67466557025909,103.322090148926,5.345,1.39378583431244
AUS,Australia,2019,1.78807365894318,,24.0624800210722,38745129661.1195,1398349602956.35,52885.8313816377,1.53869080543518,1.61076787290379,93.6099,13618789.0,109.753,2637.0,0.917978942394257,25334826.0,1.8257,1.86464607715607,1.69461703300476,109.759559631348,5.143,1.27036511898041
AUS,Australia,2020,1.63298058509827,5.38625001907349,23.9380373915413,17976843681.3117,1333336461648.09,54184.1614486854,1.57335329055786,0.846905537459305,94.6935,13583584.0,104.93,2368.0,0.862161874771118,25649248.0,,1.81394696235657,1.61500358581543,110.139221191406,6.394,1.29898488521576
AUS,Australia,2021,1.70738875865936,5.34109020233154,22.0018144228925,31453060427.453,1560617493202.69,58327.4146842325,1.47172200679779,2.86391042204994,96.9722,13859964.0,105.119,2966.0,0.83507913351059,25685412.0,1.85509,1.83118271827698,1.63855969905853,112.688293457031,5.022,1.35812592506409
AUS,Australia,2022,1.76436710357666,5.05916023254395,25.4615298373659,68709419796.6458,1695627535475.8,66103.1797066957,1.52843272686005,6.59409671341846,97.0424,14230223.0,109.469,,0.983715951442719,26018721.0,,1.89489328861237,1.5088187456131,106.240760803223,3.728,1.32390677928925
AUS,Australia,2023,1.78120493888855,,26.701068252275,35315978153.0955,1734451264655.6,72272.7092136683,1.58987963199615,5.5970149253731,97.0631,14646578.0,112.513,,0.91705721616745,26659922.0,,1.94220554828644,1.52318394184113,104.64835357666,3.668,1.50660192966461
AUS,Australia,2024,,,24.6215240529473,53393088476.4107,1757022451652.83,72111.1844628126,,3.1616142830575,,14907959.0,,,,27196812.0,,,,,3.942,
AUT,Austria,2013,1.53727698326111,5.59405994415283,53.8898209853854,-1290975416.81939,426580502769.417,47519.8522796571,1.57137954235077,2.00015616900597,80.6188,4382851.0,156.483,2162.0,1.36410057544708,8479823.0,2.95492,1.48221373558044,1.83409059047699,80.9616012573242,5.367,1.45652639865875
AUT,Austria,2014,1.46650183200836,5.4976601600647,53.8561570961341,1708425859.86856,438556021078.034,48355.4977624407,1.5529956817627,1.60581182954474,80.9958,4407077.0,151.531,2092.0,1.27070045471191,8546356.0,3.08429,1.48217010498047,1.93843615055084,81.0195693969727,5.674,1.39129602909088
AUT,Austria,2015,1.47204375267029,5.49144983291626,53.3960122723239,-6847372583.72227,379546097300.633,49549.3162311441,1.4509791135788,0.89656333526032,83.9401,4460463.0,155.837,2205.0,1.12933051586151,8642699.0,3.04969,1.3904470205307,1.81477534770966,82.2563095092773,5.802,1.38369190692902
AUT,Austria,2016,1.49688053131104,5.50954008102417,52.6634020833052,-28502567388.3665,393687359770.273,52397.8635176674,1.47481060028076,0.891591752655362,84.3237,4541001.0,126.798,2078.0,0.8921759724617,8736668.0,3.11655,1.42889010906219,1.76146185398102,82.8496932983398,6.064,1.33784782886505
AUT,Austria,2017,1.50082015991211,5.40181016921997,54.3260296753968,14031983575.0406,414926138132.691,53869.8321183556,1.46775150299072,2.08126911385587,87.9356,4567690.0,123.415,2073.0,1.02962481975555,8797566.0,3.05656,1.42786145210266,1.8003545999527,83.8392562866211,5.561,1.38622164726257
AUT,Austria,2018,1.56858718395233,5.25437021255493,55.7022394735073,-27839206246.3826,452582294972.775,56636.4953030542,1.45611667633057,1.9983798142954,87.4791,4608423.0,124.23,2039.0,0.884860396385193,8840521.0,3.09182,1.5240364074707,1.85348308086395,85.8698883056641,4.933,1.39954924583435
AUT,Austria,2019,1.52132439613342,5.23678016662598,55.8958073929339,-12636357247.4569,442983642371.842,60354.9279422121,1.49212622642517,1.53089564152644,87.7522,4627750.0,120.776,2066.0,0.892189025878906,8879920.0,3.13265,1.44640731811523,1.86229813098907,86.3234329223633,4.56,1.33715832233429
AUT,Austria,2020,1.47770941257477,5.57961988449097,51.6630899700616,-12003798872.8906,434397601557.696,58523.0337816246,1.60586321353912,1.38191063351862,87.5294,4607777.0,120.132,2124.0,0.887600898742676,8916864.0,3.20278,1.39522731304169,1.77060890197754,88.7071990966797,5.201,1.39462888240814
AUT,Austria,2021,1.24272727966309,5.48071002960205,55.9539450675875,18998114634.0552,480466363176.806,62968.9422311892,1.52829468250275,2.7666666666667,92.5292,4650207.0,121.358,1872.0,0.899554431438446,8955797.0,3.26361,1.34041571617126,1.75175452232361,93.940071105957,6.459,1.38638341426849
AUT,Austria,2022,1.25858676433563,5.27748012542725,61.4273121186873,14301504457.0346,473221298968.216,72065.4974270106,1.46492278575897,8.5468699318845,93.6141,4715201.0,121.166,,0.648710012435913,9041851.0,3.20048,1.28319978713989,1.70427322387695,94.5116882324219,4.992,1.41365766525269
AUT,Austria,2023,1.1336532831192,,58.4867595713944,2924935668.81844,516670509628.876,73544.6567230487,1.32668149471283,7.81413417002832,95.3347,4762160.0,121.746,,0.727989196777344,9131761.0,,1.36136972904205,1.74656546115875,91.6818237304688,5.264,1.41124832630157
AUT,Austria,2024,,,55.6782850851641,13655965523.2324,534790720466.822,73911.439663136,,2.93791574279383,94.9197,4763195.0,,,,9177982.0,,,,,5.2,
BEL,Belgium,2013,1.60431730747223,6.60135984420776,78.9114134413606,-29640924980.1455,524097026598.55,43864.1204196838,1.70195496082306,1.1130959402754,82.1702,4966858.0,110.349,715.0,0.940082728862762,11159407.0,2.33073,1.28374707698822,1.45676612854004,71.7841110229492,8.425,1.37298619747162
BEL,Belgium,2014,1.51272034645081,6.55865001678467,79.3965205800202,-15205871357.966,537987419164.351,45147.6429534057,1.51735270023346,0.340002833356922,85.0012,4984459.0,113.6,889.0,0.701269447803497,11209057.0,2.37002,1.15288519859314,1.54851686954498,74.0397262573242,8.523,1.36629962921143
BEL,Belgium,2015,1.47445356845856,6.46963977813721,77.8777392199991,-19514245854.7287,461044767544.531,46071.914889496,1.52944529056549,0.561429152790065,85.0529,4994454.0,113.292,949.0,0.577092111110687,11274196.0,2.42817,1.27396082878113,1.45622563362122,76.423942565918,8.482,1.38754844665527
BEL,Belgium,2016,1.53124380111694,6.48613023757935,79.6181317071952,57538351507.0684,474271566739.729,48414.5518065681,1.39763832092285,1.97385264653181,86.5165,5001167.0,110.749,1054.0,0.429606109857559,11331422.0,2.52338,1.32856822013855,1.39380347728729,77.2435073852539,7.83,1.37725067138672
BEL,Belgium,2017,1.40419495105743,6.44915008544922,83.4444050525116,-37288840312.453,500908767351.53,50256.0631772784,1.24078404903412,2.12597086002607,87.6797,5037325.0,99.8304,1001.0,0.41760727763176,11375158.0,2.66666,1.23354864120483,1.32062590122223,80.7738189697266,7.09,1.33863842487335
BEL,Belgium,2018,1.42957329750061,6.38883018493652,83.4830567161373,-41601387266.7493,542638913427.921,52466.7330784599,1.22463178634644,2.05316499865186,88.6473,5093485.0,100.164,892.0,0.393769443035126,11427054.0,2.86018,1.25903940200806,1.33859252929688,79.1237487792969,5.941,1.33044385910034
BEL,Belgium,2019,1.44879794120789,6.32381010055542,82.9674275396401,-10587088044.237,536726344405.489,56712.469571978,1.11331832408905,1.43681956996429,90.2754,5146209.0,100.165,876.0,0.458395332098007,11488980.0,3.1566,1.27653729915619,1.3361576795578,79.3044815063477,5.364,1.30838358402252
BEL,Belgium,2020,1.44580173492432,6.75470018386841,79.1968705613294,-30140703656.7745,529694473501.791,56120.0958420466,1.07823526859283,0.740791812220344,91.5264,5124712.0,99.9101,862.0,0.521078526973724,11538604.0,3.39175,1.34363579750061,1.32759404182434,79.4996032714844,5.545,1.27814042568207
BEL,Belgium,2021,1.45520210266113,6.38112020492554,89.6253551052155,33980656225.5414,598522422241.851,60669.2137746531,1.08557260036469,2.44024851144084,92.7887,5217415.0,101.463,799.0,0.662682592868805,11586195.0,3.39239,1.33185970783234,1.29177582263947,82.6882019042969,6.248,1.27089965343475
BEL,Belgium,2022,1.49497354030609,6.27796983718872,94.4213446744405,13136474102.1507,591085783326.267,69128.1388883843,1.22718644142151,9.597511728725,94.0078,5320892.0,101.68,,0.581981599330902,11680210.0,3.40544,1.25295519828796,1.34823083877563,83.5736465454102,5.57,1.29709255695343
BEL,Belgium,2023,1.3368444442749,,82.7431955739295,-4247857015.1423,651330595110.011,71946.1447190292,1.03702199459076,4.04901077613941,94.6263,5365023.0,103.196,,0.403853088617325,11779946.0,,1.16822481155396,1.29537487030029,82.1475601196289,5.547,1.32572901248932
BEL,Belgium,2024,,,79.2730864114732,-41357732773.2876,671370081636.406,73514.4831045258,,3.14349136500041,95.7758,5432908.0,,,,11858610.0,,,,,5.7,
BGD,,2013,,,,,149998957434.186,3691.10431102117,,,6.63,,,,,156532141.0,,,,13.4900578063704,4.426,
BGD,,2014,,,,,172886611653.786,3972.50647733491,,,9.052900314,,,,,157964929.0,,,,13.5777392703559,4.417,
BGD,,2015,,,,,195146608978.131,4212.23578089428,,,12.36880016,,,,,159383179.0,,,,15.5739926180902,4.397,
BGD,,2016,,,,,265224515675.034,4579.13228682862,,,16.89909935,,,,,160811932.0,,,,17.3985207411042,4.35,
BGD,,2017,,,,,293732446624.596,4882.60692615639,,,21.5,,,,,162186147.0,,,,18.5175604399834,4.372,
BGD,,2018,,,,,321362752441.78,5490.15881865179,,,25.56509972,,,,,163523103.0,,,,19.5710492453779,4.439,
BGD,,2019,,,,,351231654603.692,6047.12401504125,,,30.38310051,,,,,164913055.0,,,,22.7094642473405,4.504,
BGD,,2020,,,,,373979442362.193,6640.58437331062,,,36.10910034,,,,,166298024.0,,,,22.6923019564501,5.539,
BGD,,2021,,,,,416271647911.014,7441.06913961254,,,38.91744466,,,,,167658854.0,,,,23.9006822335243,5.457,
BGD,,2022,,,,,460131689083.083,8450.54902533941,,,41.61650085,,,,,169384897.0,,,,23.5005059888653,4.593,
BGD,,2023,,,,,437415333018.291,9147.7775066555,,,44.50274195,,,,,171466990.0,,,,24.2003442708621,3.352,
BGD,,2024,,,,,450119432068.852,9646.76984383255,,,53.42171316,,,,,173562364.0,,,,23.7295608009814,3.635,
BGR,Bulgaria,2013,-0.327892512083054,4.05766010284424,64.5649786514052,1989040000.0,55819262374.9039,16893.7689556096,-0.0132329864427447,0.890093540913002,53.0615,3333973.0,144.355,282.0,0.170710384845734,7160005.0,0.63424,0.549109816551208,-0.147255629301071,68.2013397216797,12.941,0.337255388498306
BGR,Bulgaria,2014,-0.303166449069977,,64.5508109503852,1093600000.0,57080897012.1077,17990.7621498811,-0.112378895282745,-1.4181838026484,55.4904,3290417.0,131.335,218.0,0.0785408988595009,7073572.0,0.79007,0.585273623466492,-0.0820291489362717,72.981559753418,11.424,0.366472214460373
BGR,Bulgaria,2015,-0.346440643072128,,63.7864172382015,2221390000.0,50765918159.1476,18896.102861651,-0.0125585971400142,-0.104633261008385,56.6563,3259536.0,128.103,280.0,0.010424641892314,6984225.0,0.94947,0.57826828956604,-0.159493550658226,78.2999572753906,9.143,0.432639420032501
BGR,Bulgaria,2016,-0.260855674743652,,63.8609305294392,1488430000.0,53929397039.2106,20745.8472094399,0.0888326391577721,-0.79864988645371,59.8255,3159813.0,125.906,230.0,0.0682793706655502,6894139.0,0.77009,0.70129007101059,-0.140443801879883,80.6399612426758,7.575,0.402378171682358
BGR,Bulgaria,2017,-0.196330279111862,4.07755994796753,66.9905214172473,2007290000.0,59167647387.606,22317.2548948063,0.0980096459388733,2.06159619443141,63.4101,3235284.0,120.596,202.0,0.321379661560059,6803468.0,0.74037,0.65778660774231,-0.1249605640769,81.2245864868164,6.164,0.430081695318222
BGR,Bulgaria,2018,-0.188220024108887,4.05202007293701,65.9187143714344,1809860000.0,66097226262.2191,23997.6876896184,0.111848846077919,2.81454473824829,64.782,3181267.0,119.395,180.0,0.444411188364029,6710798.0,0.75413,0.60575270652771,-0.105849832296371,83.134880065918,5.211,0.365172892808914
BGR,Bulgaria,2019,-0.181220516562462,4.21429014205933,64.3005878621409,2221250000.0,68507731353.9114,26765.7192049867,0.173703476786613,3.10372944796781,67.947,3209606.0,116.617,186.0,0.561284422874451,6616726.0,0.83274,0.530806183815002,-0.0374133922159672,84.7503128051758,4.148,0.354652225971222
BGR,Bulgaria,2020,-0.3223497569561,4.48297023773193,56.4751229374987,2801390000.0,70486877546.4901,27351.8607448601,-0.214027836918831,1.67244096855756,70.1625,3132138.0,114.597,239.0,0.401631027460098,6550696.0,0.84967,0.460990726947784,-0.127672985196114,85.5331115722656,5.037,0.259386777877808
BGR,Bulgaria,2021,-0.258131921291351,4.7092399597168,61.8496057085399,2133700000.0,84374613233.36,30959.1118459807,-0.173440277576447,3.29774435299515,75.2714,3082471.0,114.912,165.0,0.36473935842514,6507301.0,0.77278,0.433977693319321,-0.068868450820446,85.3017501831055,5.166,0.284104585647583
BGR,Bulgaria,2022,-0.158206030726433,4.50109004974365,69.9794748927614,4748510000.0,90506153293.6733,36320.1422295192,-0.271232962608337,15.3252589264366,79.1269,3134677.0,116.679,,0.313428640365601,6465097.0,0.75421,0.320686906576157,-0.107922710478306,84.1293563842773,4.148,0.287512123584747
BGR,Bulgaria,2023,-0.137721657752991,,62.0049747441024,5170140000.0,102199231384.542,38829.1913208102,0.047112051397562,9.44284140088564,80.3896,3134615.0,117.933,,0.341861486434937,6446596.0,,0.40789669752121,-0.0068576806224882,79.8532333374023,4.319,0.388988107442856
BGR,Bulgaria,2024,,,56.3699620840938,3549010000.0,113343355779.985,41969.4515718999,,2.44651943006079,82.439,3100224.0,,,,6441421.0,,,,,4.2,
BHR,,2013,,,,,33823324468.0851,56310.3117458189,,,90.0000397,,,,,1253191.0,,,,44.1274788546413,1.184,
BHR,,2014,,,,,34772526595.7447,54299.0564613228,,,90.5031334814656,,,,,1314562.0,0.09713,,,44.7866602427761,1.144,
BHR,,2015,,,,,32523297872.3404,48034.2468880503,,,93.4783007986129,,,,,1370322.0,,,,45.6439860607554,1.164,
BHR,,2016,,,,,33884680851.0638,47428.9018907649,,,97.9999807024146,,,,,1423726.0,,,,46.7631772606016,1.19,
BHR,,2017,,,,,37204813829.7872,50184.5005767301,,,95.8781357543453,,,,,1501116.0,,,,48.7280981931009,1.18,
BHR,,2018,,,,,39567978723.4043,51993.1307818652,,,98.6446725799886,,,,,1503091.0,,,,50.2628341348842,1.188,
BHR,,2019,,,,,40446808510.6383,56599.5214364411,,,99.7015043807778,,,,,1483756.0,,,,52.9045782700327,1.217,
BHR,,2020,,,,,35837632978.7234,53436.0316999712,,,99.67103159,,,,,1472204.0,,,,54.4077922369055,1.765,
BHR,,2021,,,,,40840212765.9574,54954.6757895532,,,100.0,,,,,1504365.0,,,,47.5015525503536,1.548,
BHR,,2022,,,,,46458191489.3617,61677.6538492695,,,100.0,,,,,1524693.0,,,,50.3073760962771,1.265,
BHR,,2023,,,,,46192260638.2979,64171.0857359052,,,100.0,,,,,1577059.0,,,,57.0562240948353,1.049,
BHR,,2024,,,,,47109734308.5106,66941.2430367989,,,100.0,,,,,1588670.0,0.19327,,,58.3677241853667,1.084,
BLR,,2013,,,,,75527558966.4473,19014.0529737698,,,54.17,,,,,9443211.0,0.65191,,,95.4975003100193,5.942,
BLR,,2014,,,,,78813069120.9984,19037.8847440186,,,59.0163187101542,,,,,9448515.0,0.50548,,,94.316359554493,5.908,
BLR,,2015,,,,,56454769844.7632,18133.5313085883,,,62.230360906803,,,,,9461076.0,0.49999,,,93.7888271999214,5.881,
BLR,,2016,,,,,47723545321.259,17832.4778855815,,,71.1130457603832,,,,,9469379.0,0.50063,,,91.5206757734477,5.844,
BLR,,2017,,,,,54725405751.1559,18413.747563367,,,74.4364454136036,,,,,9458989.0,0.58411,,,89.4706479354735,5.648,
BLR,,2018,,,,,60031026576.26,20025.9815543598,,,79.1298866919307,,,,,9438785.0,0.60443,,,84.7097808751504,4.763,
BLR,,2019,,,,,64410170653.4569,22301.5932411839,,,82.7891520910901,,,,,9419758.0,0.57733,,,81.2921953254514,4.165,
BLR,,2020,,,,,61371673344.7424,24872.3066744528,,,85.08791245,,,,,9379952.0,0.53901,,,79.900160036935,4.049,
BLR,,2021,,,,,69673747131.87,27611.1801135157,,,86.88841196,,,,,9302585.0,0.45981,,,78.6027133367864,3.9,
BLR,,2022,,,,,73775179924.603,28429.4948821827,,,89.50733148,,,,,9228071.0,0.47477,,,77.0977334087936,3.574,
BLR,,2023,,,,,72478760370.4258,30834.1773668111,,,91.51249979,,,,,9178298.0,0.57348,,,72.8250212584046,3.461,
BLR,,2024,,,,,75961865471.9129,33010.3307605357,,,94.26182128,,,,,9132629.0,0.5872,,,70.1107509145358,3.458,
BLZ,,2013,,,,,2035191450.0,9525.83089030578,,,33.59999847,,,,,341627.0,,,,24.0045345047471,8.349,
BLZ,,2014,,,,,2138242200.0,9489.91221371385,,,38.70000076,,,,,348923.0,,,,24.0154633440872,8.244,
BLZ,,2015,,,,,2193095150.0,9538.38691146009,,,41.59000015,,,,,356333.0,,,,23.4350622690571,7.578,
BLZ,,2016,,,,,2239604950.0,9399.03567052789,,,44.57569885,,,,,364705.0,,,,24.4760136680388,7.0,
BLZ,,2017,,,,,2266028250.0,9120.65338346029,,,48.8771019,,,,,373202.0,,,,24.731690676743,6.596,
BLZ,,2018,,,,,2285915050.0,9497.23480443418,,,53.59360123,,,,,380226.0,,,,24.5883446033139,9.346,
BLZ,,2019,,,,,2381187850.0,10499.962073199,,,58.76520157,,,,,385829.0,,,,25.138736158351,9.053,
