iso3,has_ai_law,regulatory_approach,regulatory_intensity,year_enacted,enforcement_level,thematic_coverage,regulatory_status_group,x1_source,ai_patents_per100k,ai_investment_usd_bn_cumulative,ai_investment_usd_bn_2024,ai_startups_cumulative,ai_startups_2024,patents_year,investment_year,startups_year,ai_adoption_rate,adoption_period,ai_readiness_score,readiness_year,gii_score,gii_year,gdp_per_capita_ppp,gdp_per_capita_ppp_year,rd_expenditure,rd_expenditure_year,internet_penetration,internet_penetration_year,tertiary_education,tertiary_education_year,regulatory_quality,regulatory_quality_year,rule_of_law,rule_of_law_year,government_effectiveness,government_effectiveness_year,control_of_corruption,control_of_corruption_year,ict_service_exports_pct,ict_service_exports_pct_year,high_tech_exports_pct,high_tech_exports_pct_year,population,gdp_current_usd,oecd_member,region,ai_investment_vc_proxy,vc_proxy_year,ai_publications_frac,ai_publications_frac_year,has_gdpr_like_law,gdpr_similarity_level,dp_law_year,has_dpa,eu_status,enforcement_active,fh_total_score,fh_status,fh_pr_score,fh_cl_score,fh_democracy_level,fh_year,legal_origin,is_common_law,year_enacted_ok,complete_principal,complete_extended,complete_confounded,complete_digital,complete_regime,complete_legal_tradition,complete_strict,has_ai_readiness_score,has_ai_adoption_rate,has_ai_investment_usd_bn_cumulative,has_ai_startups_cumulative,has_has_ai_law,has_regulatory_approach,has_regulatory_intensity,has_enforcement_level,has_thematic_coverage,has_gdp_per_capita_ppp,has_internet_penetration,has_gii_score,has_oecd_member,has_region,has_rd_expenditure,has_tertiary_education,has_regulatory_quality,has_rule_of_law,has_has_gdpr_like_law,has_gdpr_similarity_level,has_ict_service_exports_pct,has_high_tech_exports_pct,has_fh_total_score,has_fh_democracy_level,has_legal_origin,has_is_common_law,has_ai_patents_per100k,has_ai_investment_usd_bn_2024,has_ai_startups_2024,has_government_effectiveness,has_control_of_corruption,has_ai_investment_vc_proxy
GBR,0,strategy_led,6,,high,13,strategy_only,IAPP,0.517922458,28.17025072,4.519300073,885.0,116.0,2023.0,2024.0,2024.0,38.9,H2_2025,77.75,2025,59.1153757105143,2025.0,62009.4907765366,2024.0,2.89711,2021.0,96.2988,2023.0,80.4987716674805,2023.0,1.53656673431396,2023.0,1.39836597442627,2023.0,1.16114270687103,2023.0,1.48091387748718,2023.0,9.24844808246729,2024.0,29.233260009076,2024.0,69226000.0,3686033044482.13,1,Europe,0.1729089547837713,2024.0,4332.098934,2023.0,1,3,2018,1,adequacy,1,91,F,36,55,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GHA,0,strategy_led,2,,low,3,strategy_only,IAPP,,0.0801,0.03,4.0,,,2024.0,2024.0,9.3,H2_2025,47.42,2025,21.8535373304419,2025.0,8019.99702389611,2024.0,,,72.17569733,2024.0,21.330810546875,2024.0,-0.159406,2023.0,-0.0029916,2023.0,-0.0177779,2023.0,-0.1303327,2023.0,1.41070797624362,2024.0,2.11003762211445,2023.0,34427414.0,82308110386.4641,0,Sub-Saharan Africa,,,,,1,2,2012,1,none,1,80,F,34,46,2,2025,English,1,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
GRC,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.269086187,0.120460425,0.032428927,7.0,,2023.0,2024.0,2024.0,19.1,H2_2025,60.51,2025,37.3467991812641,2025.0,44327.2097808276,2024.0,1.48596,2022.0,86.2697,2024.0,165.113418579102,2023.0,0.578935325145721,2023.0,0.213158577680588,2023.0,0.148003026843071,2023.0,0.0978469252586365,2023.0,3.18525209187134,2024.0,15.011494857431,2024.0,10405134.0,256238371778.118,1,Europe,0.0099872048761952,2024.0,1018.935036,2023.0,1,3,2018,1,eu_member,1,84,F,34,50,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
HRV,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,,0.181734433,0.107571067,4.0,1.0,,2024.0,2024.0,23.7,H2_2025,49.79,2025,37.6794484448472,2025.0,49550.7921506017,2024.0,1.40323,2022.0,83.6324,2024.0,81.1775207519531,2023.0,0.643900275230408,2023.0,0.36060556769371,2023.0,0.712653696537018,2023.0,0.181928679347038,2023.0,7.77316155129731,2024.0,11.6739199311189,2024.0,3866200.0,92983810328.9088,0,Europe,0.0178183242382097,2024.0,245.7985104,2023.0,1,3,2018,1,eu_member,1,84,F,35,49,2,2025,Socialist,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
HUN,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.041700609,0.264105527,0.002,12.0,1.0,2023.0,2024.0,2024.0,29.8,H2_2025,63.17,2025,39.9943737874299,2025.0,48552.4708092529,2024.0,1.39473,2022.0,93.779,2024.0,56.5924415588379,2023.0,0.318309366703033,2023.0,0.427084535360336,2023.0,0.372758895158768,2023.0,-0.0004981306265108,2023.0,11.1075832784513,2024.0,22.5745118826045,2024.0,9562065.0,222722738925.641,1,Europe,0.0148465083834321,2024.0,359.3751617,2023.0,1,3,2018,1,eu_member,1,65,PF,26,39,1,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IDN,0,strategy_led,3,,low,7,strategy_only,IAPP,0.000355631,0.392813428,0.0485,19.0,1.0,2023.0,2024.0,2024.0,12.7,H2_2025,59.87,2025,31.305020749127,2025.0,16448.2755179559,2024.0,0.28068,2020.0,72.7808,2024.0,44.8813034886441,2023.0,0.301378756761551,2023.0,-0.153604462742805,2023.0,0.58032637834549,2023.0,-0.48687219619751,2023.0,9.61906733477209,2024.0,8.7110437578916,2024.0,283487931.0,1396300098190.97,0,"South East Asia, East Asia, and Oceania",,,2589.353405,2023.0,1,2,2022,0,none,0,58,PF,30,28,1,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IND,0,light_touch,4,,medium,10,soft_framework,IAPP,0.031639637,11.29486342,1.160556186,434.0,74.0,2023.0,2024.0,2024.0,15.7,H2_2025,66.55,2025,38.1998133830439,2025.0,11159.9856476091,2024.0,0.64558,2020.0,55.9,2022.0,34.4184659748952,2024.0,-0.136969581246376,2023.0,0.188364565372467,2023.0,0.47511014342308,2023.0,-0.366014748811722,2023.0,47.4135569645014,2024.0,18.5723946411049,2024.0,1450935791.0,3909891533858.08,0,Central and Southern Asia,,,31344.94634,2023.0,1,2,2023,0,none,0,66,PF,33,33,1,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
IRL,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.037681815,1.774355019,0.145372655,89.0,9.0,2023.0,2024.0,2024.0,44.6,H2_2025,70.58,2025,50.3512250208889,2025.0,133437.470117019,2024.0,0.96264,2022.0,96.4974,2023.0,76.6049499511719,2022.0,1.74936389923096,2023.0,1.63358354568481,2023.0,1.59114551544189,2023.0,1.5752888917923,2023.0,57.3696073257846,2024.0,53.5184328432158,2024.0,5395790.0,609157459747.205,1,Europe,0.048525560948167,2024.0,446.3750468,2023.0,1,3,2018,1,eu_member,1,97,F,39,58,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ISL,0,light_touch,2,,low,4,soft_framework,IAPP,,0.194233588,0.019234692,9.0,2.0,,2024.0,2024.0,,,60.49,2025,47.0172011061986,2025.0,84256.8454573112,2024.0,2.6004,2022.0,99.8301,2023.0,76.5200729370117,2023.0,1.28444385528564,2023.0,1.72111761569977,2023.0,1.55512094497681,2023.0,1.55130612850189,2023.0,7.46882100236492,2024.0,53.9722930663779,2024.0,386506.0,33255181468.9382,1,Europe,,,16.78549182,2023.0,1,3,2018,1,eea_member,1,94,F,38,56,2,2025,Scandinavian,0,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
ISR,0,light_touch,4,,medium,8,soft_framework,IAPP,0.122993666,14.95814021,1.364899872,492.0,36.0,2023.0,2024.0,2024.0,36.1,H2_2025,71.32,2025,52.2499679129743,2025.0,57235.7763244136,2024.0,6.01924,2022.0,88.1824,2024.0,55.8351593017578,2023.0,1.12179791927338,2023.0,0.783846437931061,2023.0,1.1453697681427,2023.0,0.829359412193298,2023.0,63.961714871638,2024.0,37.2335173751738,2024.0,9974400.0,540379921261.681,1,Northern Africa and Western Asia,1.2788221052939854,2023.0,409.9448988,2023.0,1,3,1981,1,adequacy,1,74,F,32,42,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ITA,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.077974725,1.380678365,0.863945611,85.0,14.0,2023.0,2024.0,2024.0,27.8,H2_2025,68.81,2025,44.9447399864804,2025.0,62014.2675153689,2024.0,1.39014,2022.0,89.2207,2024.0,75.9496536254883,2023.0,0.644031763076782,2023.0,0.390358686447144,2023.0,0.611036896705627,2023.0,0.550129175186157,2023.0,5.94784342686848,2024.0,12.2827088504022,2024.0,58952704.0,2380825077243.59,1,Europe,0.0302992380112064,2024.0,3715.988619,2023.0,1,3,2018,1,eu_member,1,89,F,36,53,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JOR,0,strategy_led,2,,low,3,strategy_only,IAPP,0.01748372,0.0086,,2.0,,2023.0,2024.0,2024.0,27.0,H2_2025,56.07,2025,29.6936103734472,2025.0,10821.4909765317,2024.0,,,92.5344,2023.0,35.9184001120427,2024.0,0.217705458402634,2023.0,0.257768124341965,2023.0,0.386213511228561,2023.0,0.0886586904525757,2023.0,0.509793399517038,2024.0,2.08415985427159,2023.0,11552876.0,53352289577.4648,0,Northern Africa and Western Asia,,,,,1,2,2023,0,none,0,33,NF,11,22,0,2025,French,0,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
JPN,1,comprehensive,7,2025.0,medium,12,binding_regulation,IAPP,4.577701054,5.892677976,0.927028226,388.0,42.0,2023.0,2024.0,2024.0,19.1,H2_2025,72.24,2025,53.5565691353389,2025.0,52039.1716551611,2024.0,3.40537,2022.0,86.9815,2023.0,64.8912200927734,2023.0,1.46932590007782,2023.0,1.53553938865662,2023.0,1.63126504421234,2023.0,1.3956606388092,2023.0,4.83083371130081,2024.0,17.5547415163067,2024.0,123975371.0,4027597523550.58,1,"South East Asia, East Asia, and Oceania",,,3402.272915,2023.0,1,3,2022,1,adequacy,1,96,F,40,56,2,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
KAZ,1,comprehensive,9,2025,high,12,binding_regulation,IAPP,,0.00924,0.0015,3.0,1.0,,2024.0,2024.0,13.7,H2_2025,56.7,2025,26.341209901218,2025.0,40890.9317694408,2024.0,0.14472,2023.0,93.3917,2024.0,53.4564204414133,2024.0,0.0659545287489891,2023.0,-0.446781367063522,2023.0,0.146814674139023,2023.0,-0.26659306883812,2023.0,7.23521044258557,2024.0,42.19530029659,2024.0,20592571.0,291480274648.826,0,Central and Southern Asia,,,215.9080794,2023.0,1,2,2013,1,none,1,23,NF,8,15,0,2025,Socialist,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
KEN,0,strategy_led,3,,low,5,strategy_only,IAPP,,0.040606312,0.0025,6.0,,,2024.0,2024.0,8.1,H2_2025,52.55,2025,21.3791141049195,2025.0,6644.13093243895,2024.0,0.81069,2024.0,34.97622513,2024.0,10.4185962462804,2024.0,-0.3986548,2023.0,-0.427558899999999,2023.0,-0.3131112,2023.0,-0.7594497,2023.0,10.6089745270793,2024.0,3.15003013612034,2024.0,56432944.0,120339557905.932,0,Sub-Saharan Africa,,,,,1,2,2019,1,none,1,52,PF,22,30,1,2025,English,1,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
KOR,1,comprehensive,8,2025.0,high,12,binding_regulation,IAPP,17.26851235,8.962056925,1.326995968,270.0,52.0,2023.0,2024.0,2024.0,30.7,H2_2025,76.89,2025,59.9976353178735,2025.0,61051.3492502498,2024.0,5.21081,2022.0,97.8956,2024.0,106.709167480469,2023.0,1.122523188591,2023.0,1.24850225448608,2023.0,1.40480732917786,2023.0,0.894088566303253,2023.0,11.6286945379275,2024.0,36.2582559366674,2024.0,51751065.0,1875388209406.8,1,"South East Asia, East Asia, and Oceania",,,5121.875446,2023.0,1,3,2023,1,adequacy,1,83,F,33,50,2,2025,German,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
LBN,0,none,0,,none,1,no_framework,IAPP,,0.0138,,1.0,,,2024.0,2024.0,25.7,H2_2025,34.26,2025,23.6120255291244,2025.0,12574.8329116403,2023.0,,,80.63400269,2024.0,54.4012561547071,2023.0,-0.912561,2023.0,-1.0665045,2023.0,-1.16583329999999,2023.0,-1.2554109,2023.0,1.77653813888075,2023.0,2.89591276881506,2024.0,5805962.0,20078620356.9931,0,Northern Africa and Western Asia,,,,,1,2,2018,0,none,0,42,PF,18,24,1,2025,French,0,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
LKA,0,light_touch,1,,none,2,soft_framework,IAPP,,0.005564635,,2.0,,,2024.0,2024.0,6.6,H2_2025,45.6,2025,22.9052774592463,2025.0,15632.5924849848,2024.0,0.10506,2022.0,54.59,2024.0,20.7412633848006,2023.0,-0.3799918,2023.0,-0.31553,2023.0,-0.2845545,2023.0,-0.3868314,2023.0,14.0586358995322,2024.0,1.53793971540437,2024.0,21916000.0,98963185509.6499,0,Central and Southern Asia,,,,,1,2,2022,0,none,0,57,PF,25,32,1,2025,English,1,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
LTU,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.069647947,0.552683711,0.34477884,9.0,7.0,2023.0,2024.0,2024.0,22.4,H2_2025,65.31,2025,40.7890541798699,2025.0,55285.8991934304,2024.0,1.05319,2022.0,88.5029,2023.0,77.0064163208008,2023.0,1.33804214000702,2023.0,1.26719617843628,2023.0,1.05012118816376,2023.0,0.781545519828796,2023.0,11.6581459440453,2024.0,17.3245506640985,2024.0,2888278.0,84869215513.3648,1,Europe,0.025936817190546,2024.0,98.30107322,2023.0,1,3,2018,1,eu_member,1,89,F,37,52,2,2025,Socialist,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LUX,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,15.30543343,0.212533081,0.086071782,17.0,3.0,2023.0,2024.0,2024.0,,,64.28,2025,47.2652289615258,2025.0,155941.288210791,2024.0,0.97653,2022.0,98.7606,2024.0,21.5371704101562,2023.0,1.92906320095062,2023.0,1.75243473052979,2023.0,1.91421329975128,2023.0,1.92665910720825,2023.0,3.80366321182967,2024.0,5.0736120319212,2024.0,677012.0,93279851863.4062,1,Europe,0.0089947782808105,2024.0,94.58058631,2023.0,1,3,2018,1,eu_member,1,97,F,40,57,2,2025,French,0,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LVA,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.053263877,0.006565042,,3.0,,2023.0,2024.0,2024.0,,,59.14,2025,37.5271138784222,2025.0,43394.2732822314,2024.0,0.76382,2022.0,92.7076,2024.0,85.7360610961914,2023.0,1.17222261428833,2023.0,1.03986096382141,2023.0,0.696560978889465,2023.0,0.698113977909088,2023.0,17.4837010008582,2024.0,17.4901914812882,2024.0,1866124.0,43684254432.3609,1,Europe,0.0034489141622116,2024.0,41.74869151,2023.0,1,3,2018,1,eu_member,1,89,F,37,52,2,2025,Socialist,0,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
MAR,0,strategy_led,2,,low,4,strategy_only,IAPP,0.015909842,,,,,2023.0,,,10.9,H2_2025,43.06,2025,31.0479471722523,2025.0,10415.1240234375,2024.0,,,91.2,2024.0,48.1839617510572,2024.0,-0.0473438,2023.0,-0.3934002,2023.0,-0.0188320999999999,2023.0,-0.5521901,2023.0,9.33576024893184,2024.0,5.43070567261144,2023.0,38081173.0,160610994054.734,0,Northern Africa and Western Asia,,,,,1,2,2009,1,none,1,36,PF,13,23,1,2025,French,0,True,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
MEX,0,strategy_led,3,,low,6,strategy_only,IAPP,0.000770774,0.863794859,0.1019,26.0,3.0,2023.0,2024.0,2024.0,17.8,H2_2025,48.33,2025,30.5127163343233,2025.0,26185.3564713253,2024.0,0.26819,2023.0,81.1832,2023.0,47.474681854248,2023.0,-0.171988308429718,2023.0,-0.806393921375275,2023.0,-0.198361441493034,2023.0,-1.02057874202728,2023.0,3.85322686953104,2024.0,19.3037596613987,2024.0,130861007.0,1856365616165.94,1,Latin America and the Caribbean,,,717.0243278,2023.0,1,2,2010,1,none,1,60,PF,27,33,1,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MLT,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,,0.015807271,,3.0,,,2024.0,2024.0,,,61.48,2025,45.3472846775166,2025.0,69863.7461313457,2024.0,0.64792,2023.0,93.86029816,2024.0,80.5250091552734,2023.0,0.5286404,2023.0,0.7940278,2023.0,0.7610244,2023.0,0.3219728,2023.0,1.79151712619917,2024.0,45.179167089137,2024.0,568847.0,24971574502.4475,0,Europe,,,25.64841107,2023.0,1,3,2018,1,eu_member,1,90,F,36,54,2,2025,English,1,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
MNG,0,light_touch,1,,none,1,soft_framework,IAPP,,0.0084,,2.0,,,2024.0,2024.0,14.3,H2_2025,40.86,2025,26.6945540254358,2025.0,19144.7261368498,2024.0,0.08365,2022.0,85.12349701,2024.0,69.044059753418,2024.0,-0.0410209,2023.0,-0.1575492,2023.0,-0.363902299999999,2023.0,-0.6187813,2023.0,3.85199323534365,2024.0,22.5365545669935,2023.0,3524788.0,23794540024.5132,0,"South East Asia, East Asia, and Oceania",,,,,1,2,2021,0,none,0,84,F,36,48,2,2025,Socialist,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
MUS,0,strategy_led,2,,low,5,strategy_only,IAPP,,0.022,,1.0,,,2024.0,2024.0,,,52.76,2025,32.5030604688201,2025.0,31839.7597535524,2024.0,0.26181,2024.0,73.30793533,2024.0,45.7771156388358,2024.0,0.9443204,2023.0,0.6633408,2023.0,0.823778,2023.0,0.3417899,2023.0,4.07725576997817,2024.0,1.21703538647261,2024.0,1245779.0,14937861786.17,0,Sub-Saharan Africa,,,,,1,2,2017,1,none,1,84,F,36,48,2,2025,French,0,True,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
MYS,0,strategy_led,3,,low,6,strategy_only,IAPP,0.042703048,0.427439288,0.0643,15.0,1.0,2023.0,2024.0,2024.0,19.7,H2_2025,62.34,2025,40.5814895487474,2025.0,38779.2830442253,2024.0,0.95055,2020.0,98.0206,2024.0,38.5013945445142,2024.0,0.660894274711609,2023.0,0.571915447711945,2023.0,0.875369668006897,2023.0,0.295621365308762,2023.0,8.65874213939162,2024.0,58.6276748543331,2024.0,35557673.0,422227005428.688,0,"South East Asia, East Asia, and Oceania",,,1917.669666,2023.0,1,2,2010,1,none,1,53,PF,22,31,1,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
NGA,0,strategy_led,3,,low,7,strategy_only,IAPP,,0.127722651,0.004,8.0,1.0,,2024.0,2024.0,9.3,H2_2025,50.79,2025,21.0815209410651,2025.0,9086.87550609627,2024.0,0.28444,2019.0,39.2136,2023.0,,,-0.936865150928497,2023.0,-0.887689292430878,2023.0,-0.847906708717346,2023.0,-1.04097437858582,2023.0,4.03817725408016,2024.0,2.71167186435579,2024.0,232679478.0,252261880141.151,0,Sub-Saharan Africa,,,,,1,2,2023,1,none,1,43,PF,21,22,1,2025,English,1,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
NLD,1,comprehensive,10,2024.0,high,14,binding_regulation,IAPP,0.402749504,3.089097178,1.090665984,116.0,24.0,2023.0,2024.0,2024.0,38.9,H2_2025,77.18,2025,57.035492429262,2025.0,86173.6290841738,2024.0,2.25533,2022.0,97.0068,2023.0,86.5938262939453,2023.0,1.79096639156342,2023.0,1.64250445365906,2023.0,1.62553191184998,2023.0,1.86710047721863,2023.0,9.52487396616862,2024.0,23.4680052763745,2024.0,17993485.0,1214927698572.66,1,Europe,0.1053878197766948,2024.0,1035.506001,2023.0,1,3,2018,1,eu_member,1,97,F,39,58,2,2025,French,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NOR,0,strategy_led,4,,medium,8,strategy_only,IAPP,0.090586373,0.759006546,0.19464037,50.0,9.0,2023.0,2024.0,2024.0,46.4,H2_2025,74.84,2025,49.2378087475471,2025.0,102037.526800237,2024.0,1.55752,2022.0,99.0,2023.0,95.0573806762695,2023.0,1.59752345085144,2023.0,1.83398151397705,2023.0,1.79993534088135,2023.0,2.11352157592773,2023.0,8.13394937577002,2024.0,25.4139359384172,2024.0,5572279.0,483592648313.301,1,Europe,0.0508727007737246,2024.0,606.7653729,2023.0,1,3,2018,1,eea_member,1,100,F,40,60,2,2025,Scandinavian,0,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NZL,0,strategy_led,4,,medium,9,strategy_only,IAPP,0.076582872,0.354527332,0.010355605,27.0,2.0,2023.0,2024.0,2024.0,40.5,H2_2025,62.7,2025,45.4891781536966,2025.0,55551.143658637,2024.0,1.46569,2021.0,96.1638,2023.0,76.3811416625977,2023.0,1.91022837162018,2023.0,1.70570802688599,2023.0,1.5299768447876,2023.0,2.08409547805786,2023.0,6.23885230872959,2024.0,12.9670750449435,2024.0,5287500.0,260172385097.616,1,"South East Asia, East Asia, and Oceania",,,315.3152176,2023.0,1,3,2020,1,adequacy,1,99,F,40,59,2,2025,English,1,True,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
PAK,0,strategy_led,2,,low,3,strategy_only,IAPP,0.001212099,,,,,2023.0,,,10.3,H2_2025,45.38,2025,22.0640834582869,2025.0,6252.11543199559,2024.0,0.16399,2023.0,57.253,2024.0,10.8564126844434,2024.0,-0.821984199999999,2023.0,-1.0042887,2023.0,-0.6585378,2023.0,-1.0461855,2023.0,44.8419776011614,2024.0,2.43815248015808,2024.0,251269164.0,371570000121.266,0,Central and Southern Asia,,,,,0,1,2020,0,none,0,27,NF,12,15,0,2025,English,1,True,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
PAN,0,strategy_led,2,,low,2,strategy_only,IAPP,,0.01473589,,1.0,,,2024.0,2024.0,21.5,H2_2025,39.3,2025,25.8798675140179,2025.0,41369.422541499,2024.0,0.19708,2024.0,72.77149963,2024.0,53.6949637061742,2023.0,0.0230493,2023.0,-0.227944099999999,2023.0,0.0311824,2023.0,-0.566951499999999,2023.0,2.93978426654893,2024.0,1.7673082163249,2024.0,4515577.0,86523959131.7472,0,Latin America and the Caribbean,,,,,1,2,2019,1,none,1,83,F,36,47,2,2025,French,0,True,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
PER,1,comprehensive,6,2023.0,medium,9,binding_regulation,IAPP,,0.002,0.002,1.0,1.0,,2024.0,2024.0,14.7,H2_2025,56.52,2025,26.4660453517052,2025.0,17802.4182498972,2024.0,0.16178,2022.0,81.9571,2024.0,,,0.292205184698105,2023.0,-0.538132667541504,2023.0,-0.491872787475586,2023.0,-0.721040904521942,2023.0,2.15949973332149,2024.0,5.21372377596414,2024.0,34217848.0,289221969062.941,0,Latin America and the Caribbean,,,291.8083533,2023.0,1,2,2011,1,none,1,66,PF,28,38,1,2025,French,0,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
PHL,0,strategy_led,2,,low,4,strategy_only,IAPP,0.000870389,0.021,0.0055,5.0,2.0,2023.0,2024.0,2024.0,18.3,H2_2025,60.51,2025,33.5939127875318,2025.0,11794.1375488492,2024.0,,,83.7661,2023.0,47.4134996154186,2024.0,0.16425496339798,2023.0,-0.41814711689949,2023.0,0.154091909527779,2023.0,-0.537639975547791,2023.0,15.9566076017281,2024.0,60.975307025875,2024.0,115843670.0,461617509782.355,0,"South East Asia, East Asia, and Oceania",,,,,1,2,2012,1,none,1,58,PF,25,33,1,2025,French,0,True,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
