fig_id,section,entity_type,num_data_rows,num_cols,is_wide,note,columns_preview
fig_8.2.1,fig_8.2.1,country,193,8,N,,Country | 2019 | 2020 | 2021 | 2022 | 2023 | 2024 | 2025
fig_8.3.1,fig_8.3.1,category,112,3,N,,Year | Cumulative number of AI supercomputers | Label
fig_8.3.2,fig_8.3.2,country,27,4,N,,country | has_nvidia | has_openai | initiative_type
fig_8.3.3,fig_8.3.3,category,175,3,N,,Year | Cumulative number of data localization measures | Label
fig_8.3.4,fig_8.3.4,category,128,3,N,,Year | Cumulative number of AI models released | Label
fig_8.3.5,fig_8.3.5,country,75,12,N,,country | Agriculture and environment | Business and enterprise services | Consumer and lifestyle | Education | Financial services | General-purpose AI capabilities | Healthcare and life sciences
fig_8.3.6,fig_8.3.6,category,504,4,N,,Region | quarter | flow_type | flow_n
fig_8.4.1,fig_8.4.1,global,10,2,N,,Year | Number of AI-related bills passed
fig_8.4.2,fig_8.4.2,country,20,2,N,,Country | Number of AI-related bills passed into law
fig_8.4.3,fig_8.4.3,country,14,2,N,,"Number of AI-related bills passed into law, 2016–25 (sum) | Country"
fig_8.4.4,fig_8.4.4,global,10,2,N,,Year | Number of AI-related bills passed
fig_8.4.5,fig_8.4.5,us_state,15,2,N,,Number of AI-related bills 2016–24 (sum) | U.S. State
fig_8.4.6,fig_8.4.6,us_state,50,2,N,,State | Number of AI-related bills passed 2016–25
fig_8.4.7,fig_8.4.7,global,9,2,N,,Year | Number of witnesses
fig_8.4.8,fig_8.4.8,category,15,3,N,,Congress | Witnesses (% of total) | Label
fig_8.4.9,fig_8.4.9,category,20,3,N,,Number of Witnesses | Subject Area | Label
fig_8.4.10,fig_8.4.10,global,9,2,N,,Year | Number of AI-related regulations
fig_8.4.11,fig_8.4.11,organization,134,3,N,,Year | Agency Name | Number of AI-related regulations
fig_8.5.1,fig_8.5.1,category,36,3,N,,year | type | cumulative_value
fig_8.5.2,fig_8.5.2,category,36,3,N,,Year | Public spending on AI (in billions of US dollars) | Label
fig_8.5.4,fig_8.5.4,us_state,51,2,N,,State | Value
fig_8.5.5,fig_8.5.5,us_state,51,2,N,,State | Value
fig_8.5.6,fig_8.5.6,category,81,3,N,,Year | Public spending on AI-related contracts and OTAs (% of total) | Label
fig_8.5.7,fig_8.5.7,category,84,3,N,,Year | Public spending on AI-related grants (% of total) | Label
fig_8.5.8,fig_8.5.8,country,74,3,N,,country_name | year | cumulative_value
fig_8.5.9,fig_8.5.9,country,32,2,N,,Country | N. Contracts
fig_8.5.10,fig_8.5.10,country,28,2,N,,Country | Median Contract Value (M$)
fig_8.5.11,fig_8.5.11,category,63,3,N,,Year | Public spending on AI-related contracts (% of total) | Label
