pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Myanmar,2021,0-100,3_pillars_10_dims,31.56724078,24.79639344,27.54240591,42.362923,0.0,32.66476375,41.24176667,25.27904333,11.84540361,39.70097601,31.08083812,30.99958653,44.24153806,51.84764442
Zambia,2021,0-100,3_pillars_10_dims,31.21443781,35.08367917,21.93263441,36.62699985,0.0,50.914925,31.383445,58.03634667,7.490236225,38.82772503,19.47994198,23.97346871,30.99402585,54.913505
Venezuela,2021,0-100,3_pillars_10_dims,30.53735761,18.77371507,22.43890267,50.39945509,0.0,35.4489625,21.3375,18.30839778,20.6099876,21.05980624,25.64691419,30.07781493,56.58225569,64.53829465
Gambia,2021,0-100,3_pillars_10_dims,30.45293732,28.73078688,20.29234494,42.33568014,0.0,42.4269225,30.4268806,42.06934444,6.392871632,35.52697388,18.95718931,27.76893186,59.091296,40.14681258
Congo,2021,0-100,3_pillars_10_dims,30.419714,30.49026012,20.96616681,39.80271505,0.0,37.75836933,30.15282627,54.04984489,11.79950683,32.86590736,18.23308625,22.85348058,37.39393436,59.16073022
Cuba,2021,0-100,3_pillars_10_dims,30.37906954,20.75486435,29.67096768,40.71137658,0.0,23.92210269,32.79461933,26.30273538,21.7118183,42.11602143,25.18506332,24.69098381,27.87001536,69.57313056
Mali,2021,0-100,3_pillars_10_dims,30.13971936,31.81294708,22.00065569,36.60555531,0.0,37.08495,35.682465,54.48437333,10.41173984,37.7756158,17.81461142,21.49467866,36.726498,51.59548928
Lesotho,2021,0-100,3_pillars_10_dims,29.84210131,23.2597128,20.77556826,45.49102287,0.0,39.2194875,29.05268702,24.76667667,11.16574013,34.7085213,16.45244335,40.47037369,44.45446469,51.54823022
Eswatini,2021,0-100,3_pillars_10_dims,29.75608844,28.58509805,21.52538216,39.15778509,0.0,22.9297825,33.33953727,58.07107245,12.71290893,31.63991453,20.22332301,22.62320544,42.22870535,52.62144449
Mauritania,2021,0-100,3_pillars_10_dims,29.6239225,25.74254284,21.53654416,41.59268051,0.0,34.825065,28.64763746,39.49746889,11.45469512,26.9456718,26.20926554,25.7973736,42.29243772,56.68823022
Madagascar,2021,0-100,3_pillars_10_dims,29.5299684,31.16055849,20.44270645,36.98664025,0.0,39.70868229,31.852055,53.08149667,7.736615638,34.30577459,19.28572913,38.74892126,22.77357954,49.43741994
Sierra Leone,2021,0-100,3_pillars_10_dims,29.39077071,32.59032079,19.6524166,35.92957475,0.0,40.20368229,32.92838855,57.22921231,5.147332266,36.28196181,17.52795572,21.85591627,39.97907985,45.95372814
Zimbabwe,2021,0-100,3_pillars_10_dims,29.14901401,26.45496813,22.28272396,38.70934995,0.0,27.928655,27.3114675,50.57975,10.94191576,28.72103003,27.18522608,25.92289986,34.51975431,55.6853957
Benin,2021,0-100,3_pillars_10_dims,28.7305943,34.76075444,21.60838924,29.82263921,0.0,53.1660425,42.5825775,43.29439778,9.351700747,35.12207003,20.35139693,23.56418169,29.5672628,36.33647315
Liberia,2021,0-100,3_pillars_10_dims,28.13823481,31.71777912,19.72336411,32.97356121,0.0,36.30618229,35.95838855,54.60654564,7.162499661,36.28196181,15.72563085,16.74617258,39.91763159,42.25687947
Ethiopia,2021,0-100,3_pillars_10_dims,27.9477856,34.65174188,20.5724471,28.61916782,0.0,40.446905,37.8912525,60.26881,6.26686999,33.11674594,22.33372536,17.20327414,33.43545492,35.21877439
Niger,2021,0-100,3_pillars_10_dims,27.80891145,33.31036245,20.09102384,30.02534806,0.0,36.71618229,36.63338855,59.89187897,6.87474562,36.28196181,17.1163641,16.79188419,36.22237615,37.06178383
Guinea,2021,0-100,3_pillars_10_dims,27.54707074,27.77520834,22.21981923,32.64618465,0.0,38.3376275,34.40306143,38.36014444,6.784938681,44.1644885,15.7100305,25.22723981,30.76940062,41.94191352
Mozambique,2021,0-100,3_pillars_10_dims,26.23467412,32.27862063,17.59720136,28.82820036,0.0,37.2652175,36.021665,55.8276,7.21460212,33.6969764,11.88002556,18.51972899,24.93125358,43.0336185
Sudan,2021,0-100,3_pillars_10_dims,25.91396992,24.83117079,21.61876464,31.29197435,0.0,42.63368229,35.92838855,20.76261231,3.806449371,36.28196181,24.76788274,20.37537189,31.524618,41.97593315
Haiti,2021,0-100,3_pillars_10_dims,25.13503439,24.24280794,14.67388414,36.48841109,0.0,33.273165,21.45820008,42.23986667,13.60117307,14.00544023,16.41503911,21.07836392,33.85799082,54.52887852
Malawi,2021,0-100,3_pillars_10_dims,24.84849018,28.57099729,18.42597412,27.54849913,0.0,29.2582375,29.017295,56.00845667,6.756224825,32.9552385,15.56645903,16.85996082,26.34072662,39.44480994
Afghanistan,2021,0-100,3_pillars_10_dims,24.37809891,25.67053333,9.229463696,38.2342997,0.0,1.733333333,41.18,59.7688,3.408398662,,15.05052873,19.43539397,69.49750513,25.77
Chad,2021,0-100,3_pillars_10_dims,24.00477702,27.58348187,14.41182161,30.01902758,0.0,41.2146125,29.1738561,39.94545889,6.903323829,21.72551458,14.60662643,14.59319198,34.82443928,40.63945148
Burundi,2021,0-100,3_pillars_10_dims,23.7171165,28.39722633,19.05772835,23.69639483,0.0,35.2426275,33.07730893,45.26896889,4.615588902,35.43375048,17.12384568,18.43565267,22.76541986,29.88811196
Democratic Republic of the Congo,2021,0-100,3_pillars_10_dims,23.32239331,27.45853922,16.7226113,25.7860294,0.0,32.812575,30.06588855,46.95569333,2.36187738,32.70560958,15.10034693,16.52565449,28.39233577,32.44009793
Angola,2021,0-100,3_pillars_10_dims,22.86557857,27.30429614,13.8571604,27.43527918,0.0,32.0173425,35.7152765,41.48456556,9.926893836,18.80990925,12.83467811,16.88076998,22.74261973,42.68244784
Central African Republic,2021,0-100,3_pillars_10_dims,20.73444159,15.01155412,19.21036877,27.98140187,0.0,9.686182293,30.95255522,19.40747897,5.623513635,36.28196181,15.72563085,15.83182798,23.63792615,44.47445148
Yemen,2021,0-100,3_pillars_10_dims,17.92941373,15.84583278,17.91432,20.0280884,0.0,28.67647,15.01836333,19.68849778,6.815920097,27.536243,19.39079691,17.26316116,32.32610404,10.495
