pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Slovenia,2021,0-100,3_pillars_10_dims,65.0527651,70.09997529,45.4800599,79.5782601,100.0,55.9234625,54.03635533,70.44008333,26.62124097,63.16827719,46.65066153,69.65432486,84.69439667,84.38605878
Malta,2021,0-100,3_pillars_10_dims,64.84862898,83.6170631,41.52178739,69.40703645,100.0,85.5387825,70.36356322,78.56590667,32.65062505,49.47707885,42.43765827,46.81740257,79.040595,82.36311177
Portugal,2021,0-100,3_pillars_10_dims,64.31109865,74.64094667,50.41995164,67.87239764,100.0,60.773585,64.870565,72.91963667,33.49552613,60.05967698,57.7046518,44.61899642,79.06573346,79.93246305
Saudi Arabia,2021,0-100,3_pillars_10_dims,63.41823204,67.22789521,45.13954623,77.8872547,100.0,53.709695,71.0812125,44.12067333,32.05311477,50.31256599,53.05295793,74.7983291,79.6249975,79.2384375
Poland,2021,0-100,3_pillars_10_dims,62.50277705,67.2690825,42.82257576,77.41667288,100.0,58.85142,44.85565,65.36926,28.95281583,51.43649435,48.07841709,64.57801287,80.654556,87.01744977
Malaysia,2021,0-100,3_pillars_10_dims,62.45903786,68.36956604,52.66569365,66.3418539,50.0,67.02137,76.8009375,79.65595667,31.51582986,67.05250395,59.42874713,45.36081277,79.274576,74.39017291
Latvia,2021,0-100,3_pillars_10_dims,62.2662637,68.74434104,41.45342779,76.60102225,100.0,58.94768,45.9462175,70.08346667,28.57316658,53.53485186,42.25226494,63.88737028,79.431875,86.48382148
Russian Federation,2021,0-100,3_pillars_10_dims,61.93369511,67.44308375,46.45922244,71.89877913,100.0,49.0484675,54.7041675,66.0197,23.05328439,53.37283887,62.95154406,46.46415406,82.252608,86.97957532
Slovakia,2021,0-100,3_pillars_10_dims,61.622784,67.5875025,41.38744257,75.89340694,100.0,58.514625,47.630215,64.20517,32.40409715,52.3156211,39.44260946,62.28035834,82.6946875,82.70517497
Brazil,2021,0-100,3_pillars_10_dims,60.63532,65.04257979,42.70015225,74.16322796,100.0,57.5242675,45.890245,56.75580667,31.96284053,50.65634278,45.48127344,64.50521592,82.299854,75.68461396
Chile,2021,0-100,3_pillars_10_dims,60.41748563,69.98728458,42.13712516,69.12804713,100.0,55.065615,51.63617,73.24735333,32.47395234,46.5193216,47.41810155,42.51268281,84.241134,80.63032457
Bulgaria,2021,0-100,3_pillars_10_dims,60.06809672,67.03478875,39.19466819,73.97483321,100.0,53.120295,51.02679,63.99207,25.99116256,50.4837119,41.10913011,64.64794176,80.281156,76.99540185
Hungary,2021,0-100,3_pillars_10_dims,59.71500633,68.08810667,41.65465512,69.4022572,100.0,57.74091,46.65807,67.95344667,31.63498051,49.17464145,44.1543434,57.90215393,63.42636385,86.87825384
Cyprus,2021,0-100,3_pillars_10_dims,59.71494208,69.45805654,37.9864563,71.70031341,100.0,58.0659725,49.47703033,70.28922333,31.02833679,47.10024103,35.83079108,44.70667728,86.79820417,83.59605878
Colombia,2021,0-100,3_pillars_10_dims,58.91032079,73.03005438,34.65873328,69.04217471,100.0,76.17579,52.8778775,63.06655,18.44246336,44.76631493,40.76742154,56.98051955,77.376674,72.76933056
Iceland,2021,0-100,3_pillars_10_dims,58.52549589,49.97365529,50.72969361,74.87313877,0.0,60.5335325,59.90248533,79.45860333,32.15812348,70.54970631,49.48125104,51.86298476,82.60046538,90.15596618
Indonesia,2021,0-100,3_pillars_10_dims,58.13597168,73.05164917,40.95895465,60.39731122,100.0,63.21877,56.03354,72.95428667,25.51291861,53.3572533,44.00669203,38.03948569,80.346382,62.80606598
Uruguay,2021,0-100,3_pillars_10_dims,57.92660526,69.48173,31.63116711,72.66691867,100.0,55.86418,56.15372,65.90902,25.01176866,40.70009187,29.18164079,54.30172201,82.066182,81.63285199
Oman,2021,0-100,3_pillars_10_dims,57.25811351,63.01486979,34.98535728,73.77411347,50.0,64.6895425,63.25933,74.11060667,19.90916063,46.70201618,38.34489501,60.40492721,80.051305,80.86610821
Greece,2021,0-100,3_pillars_10_dims,56.22319444,52.54341,43.33541875,72.79075455,50.0,55.5725575,43.80417917,60.79690333,30.92335716,46.19726923,52.88562986,59.25249724,78.67674442,80.443022
India,2021,0-100,3_pillars_10_dims,56.10603803,73.25807458,48.04415459,47.01588493,100.0,64.088365,57.74315,71.20078333,34.99927557,53.14318329,55.99000492,37.08459626,62.12683846,41.83622005
Serbia,2021,0-100,3_pillars_10_dims,55.9756157,68.15432354,36.34816007,63.4243635,100.0,58.3797825,49.253385,64.98412667,21.06861769,48.53023135,39.44563116,35.74719119,78.568216,75.9576833
Turkey,2021,0-100,3_pillars_10_dims,55.48568205,71.41239146,39.05315931,55.99149538,100.0,61.7681625,56.5889,67.29250333,27.13259304,45.74980368,44.2770812,37.26715034,56.74985862,73.95747718
Argentina,2021,0-100,3_pillars_10_dims,54.35665427,64.86036479,33.62326077,64.58633725,100.0,48.0264325,48.91609,62.49893667,23.23066003,43.43795857,34.20116371,38.29274355,81.37778,74.08848821
Bahrain,2021,0-100,3_pillars_10_dims,53.53874411,51.46084649,31.5376487,77.61773716,0.0,59.95601429,69.588855,76.29851667,30.39350342,33.49672513,30.72271755,66.12791011,79.67534,87.04996136
Romania,2021,0-100,3_pillars_10_dims,53.22358321,52.08561271,37.49964582,70.0854911,50.0,56.928275,41.7304425,59.68373333,27.80743581,43.31463522,41.37686644,59.28929441,78.31007651,72.65710237
Brunei Darussalam,2021,0-100,3_pillars_10_dims,52.92662721,41.04797504,43.50380837,74.22809821,0.0,22.9715225,65.95782767,75.26255,29.23925335,51.96300521,49.30916654,48.39271801,87.1998225,87.09175412
Mauritius,2021,0-100,3_pillars_10_dims,52.71322634,68.52355201,33.81802847,55.79809854,100.0,60.58181,52.5512725,60.96112556,22.60965708,45.98503621,32.85939213,36.14740846,56.83961,74.40727716
Thailand,2021,0-100,3_pillars_10_dims,52.62806047,45.45380479,41.21915346,71.21122316,0.0,57.5780125,56.274,67.96320667,25.80571121,59.31864527,38.53310392,61.00285301,79.30665,73.32416647
Mexico,2021,0-100,3_pillars_10_dims,52.62055216,54.69832333,40.22111569,62.94221746,50.0,57.07139,51.63803,60.08387333,27.38813233,46.66960241,46.60561234,36.10643051,77.42796323,75.29225862
Croatia,2021,0-100,3_pillars_10_dims,52.29801885,48.70074347,36.48164072,71.71167234,50.0,55.2929275,41.0537375,48.45630889,26.00055112,43.19512308,40.24924796,60.00339426,77.97858954,77.15303323
Viet Nam,2021,0-100,3_pillars_10_dims,51.81976952,70.80847458,32.78299682,51.86783715,100.0,59.4168475,56.0153175,67.80173333,23.06653945,43.83652975,31.44592126,38.26219589,53.24962,64.09169557
Kuwait,2021,0-100,3_pillars_10_dims,50.96595392,46.53480063,34.36816068,71.99490046,0.0,54.880685,65.76558417,65.49293333,32.00198879,39.53243443,31.57005883,59.40363879,68.95,87.6310626
Ukraine,2021,0-100,3_pillars_10_dims,50.57953842,52.363005,38.18769946,61.18791081,50.0,51.2268575,48.0464325,60.17873,27.00343339,44.13802689,43.42163811,36.64375462,74.80053,72.11944781
Egypt,2021,0-100,3_pillars_10_dims,49.75186942,62.71826833,35.17151838,51.36582156,100.0,34.3209725,50.6528875,65.89921333,15.63336299,44.93504399,44.94614816,33.90108072,71.19791385,48.9984701
Kazakhstan,2021,0-100,3_pillars_10_dims,48.42782516,48.80436604,32.38406477,64.09504466,0.0,60.9131075,65.60724,68.69711667,15.19720316,44.11568956,37.8393016,36.01867729,79.45692,76.80953668
Azerbaijan,2021,0-100,3_pillars_10_dims,48.26467933,50.59965917,33.85716915,60.33720967,0.0,62.345815,66.049685,74.00313667,13.94143746,54.93373391,32.69633607,39.80654792,74.78898974,66.41609134
South Africa,2021,0-100,3_pillars_10_dims,48.23683389,40.91705458,39.13712123,64.65632586,0.0,55.22487,45.369975,63.07337333,26.43813056,52.38122824,38.5920049,57.43916967,65.961652,70.56815591
Fiji,2021,0-100,3_pillars_10_dims,48.16911225,44.5725542,37.99072766,61.94405489,0.0,46.71577583,61.13913542,70.43530556,22.94562011,63.83266505,27.19389781,39.48626448,72.51345682,73.83244338
Seychelles,2021,0-100,3_pillars_10_dims,47.47717158,41.28188583,33.82346778,67.32616112,0.0,30.09391,61.76,73.27363333,25.09249051,44.73766733,31.64024551,60.07476974,74.5775525,
Philippines,2021,0-100,3_pillars_10_dims,47.204124,41.96891479,37.1990219,62.44443532,0.0,55.35513,47.5667225,64.95380667,23.97298994,50.18052382,37.44355194,54.85721588,70.97502,61.50107008
Iran,2021,0-100,3_pillars_10_dims,46.2258541,36.41610868,35.19978636,67.06166726,0.0,54.7420425,47.99831,42.92408222,15.61321609,37.5968965,52.38924648,53.74093951,77.97146,69.47260227
Belarus,2021,0-100,3_pillars_10_dims,46.19630163,39.88792698,34.29852077,64.40245714,0.0,48.95824875,50.65809727,59.9353619,21.55624573,37.62122081,43.71809576,40.82165536,73.64053277,78.7451833
Costa Rica,2021,0-100,3_pillars_10_dims,46.18967035,40.63989583,34.56711652,63.3619987,0.0,52.723525,46.003895,63.83216333,27.3101434,44.80273585,31.5884703,41.97833353,69.489838,78.61782457
Montenegro,2021,0-100,3_pillars_10_dims,46.09707305,40.71351333,34.61281161,62.96489421,0.0,49.323295,46.251915,67.27884333,26.52823655,44.76638887,32.54380942,40.32593133,76.163568,72.4051833
Armenia,2021,0-100,3_pillars_10_dims,45.92539398,43.10368917,31.13789199,63.53460079,0.0,50.1570275,56.2217025,66.03602667,19.82907298,45.25227355,28.33232943,38.58811841,80.03300067,71.9826833
Tunisia,2021,0-100,3_pillars_10_dims,45.71261411,50.22096076,36.309979,50.60690255,50.0,55.65711,45.3350675,49.89166556,21.80800152,45.00586541,42.11607009,32.99624904,58.471848,60.35261061
Kenya,2021,0-100,3_pillars_10_dims,45.53691503,57.14643958,28.74595369,50.7183518,50.0,58.741755,55.06523,64.77877333,12.6612531,49.74512753,23.83148045,33.58379943,63.11528877,55.4559672
Georgia,2021,0-100,3_pillars_10_dims,45.41491686,44.19947932,29.21881213,62.82645912,0.0,58.16444,49.38834727,69.24513,17.24147041,42.0509427,28.36402329,37.73996607,81.724228,69.0151833
Jordan,2021,0-100,3_pillars_10_dims,44.37804843,38.26335222,38.30935729,56.56143577,0.0,43.1903675,51.0696625,58.79337889,22.53448223,48.10201402,44.29157562,35.19172521,65.643338,68.84924411
North Macedonia,2021,0-100,3_pillars_10_dims,43.72643901,40.79491842,31.07816973,59.30622889,0.0,55.8059675,47.68034,59.69336619,22.10759858,39.32991988,31.79699073,33.45373444,73.97976892,70.4851833
Panama,2021,0-100,3_pillars_10_dims,42.98152532,38.24936083,29.96639584,60.72881928,0.0,44.0762725,45.3328575,63.58831333,24.78787456,41.38975776,23.72155521,36.59618742,70.304544,75.28572643
Albania,2021,0-100,3_pillars_10_dims,42.89921225,41.47314583,28.53876492,58.68572598,0.0,52.5251425,50.0010075,63.36643333,16.97289248,41.84559869,26.79780359,29.68918942,80.14030523,66.2276833
Morocco,2021,0-100,3_pillars_10_dims,42.37957443,42.13237729,31.73915044,53.26719556,0.0,56.184015,45.7880475,66.55744667,20.35633639,45.86033761,29.0007773,35.85871032,63.637336,60.30554035
Barbados,2021,0-100,3_pillars_10_dims,42.19622123,35.38889979,31.06401583,60.13574807,0.0,27.37798833,44.91553084,69.26208,27.7870161,41.0270803,24.37795109,40.11122956,60.77425269,79.52176197
Republic of Moldova,2021,0-100,3_pillars_10_dims,41.70704681,40.02719958,29.79987371,55.29406713,0.0,53.285505,48.1233,58.69999333,18.28252974,38.10970031,33.00739108,33.53366583,61.69085228,70.6576833
Jamaica,2021,0-100,3_pillars_10_dims,41.49969775,36.76335014,31.67647978,56.05926333,0.0,41.9048575,48.5703075,56.57823556,22.85985307,48.00577438,24.16381188,32.83826051,58.58858738,76.75094209
Sri Lanka,2021,0-100,3_pillars_10_dims,41.1170847,34.83594986,32.54292112,55.97238313,0.0,48.97724,50.323845,40.04271444,21.90273188,41.283318,34.44271349,35.31994044,60.210006,72.38720296
Dominican Republic,2021,0-100,3_pillars_10_dims,40.88594812,41.25281792,24.56753429,56.83749215,0.0,53.832505,50.39820333,60.78056333,15.01506686,40.17528438,18.51225162,34.2131372,61.69365231,74.60568694
Trinidad and Tobago,2021,0-100,3_pillars_10_dims,40.77693238,34.63273729,28.77842335,58.91963649,0.0,37.57667,41.3667025,59.58757667,24.58690297,35.03269512,26.71567196,54.35904685,40.226972,82.17289063
Peru,2021,0-100,3_pillars_10_dims,40.55691787,38.24457292,29.52295949,53.90322122,0.0,47.43403,47.145585,58.39867667,18.57697536,35.86700151,34.12490161,32.38526146,70.346698,58.97770419
Ghana,2021,0-100,3_pillars_10_dims,40.19417706,41.78334188,24.75280282,54.04638649,0.0,58.984875,43.6781625,64.47033,8.162368964,42.16603253,23.93000696,30.98997105,63.899822,67.24936643
Uzbekistan,2021,0-100,3_pillars_10_dims,40.13268957,37.94991174,31.31962244,51.12853453,0.0,52.49241,48.8278725,50.47936445,14.35861128,38.62747516,40.97278088,29.48504147,71.76135533,52.1392068
Lebanon,2021,0-100,3_pillars_10_dims,39.66701083,38.2293609,33.47262343,47.29904815,50.0,40.8056425,32.8048,29.30700111,17.63370146,41.18950981,41.59465901,30.13603892,40.67825354,71.08285199
Ecuador,2021,0-100,3_pillars_10_dims,39.19079497,35.42017813,26.12325577,56.02895101,0.0,40.298995,43.6640875,57.71763,17.2994905,33.8411233,27.2291535,31.51297493,64.51458123,72.05929688
Bosnia and Herzegovina,2021,0-100,3_pillars_10_dims,38.67179055,31.04537988,27.10038805,57.86960373,0.0,38.0852,36.8711395,49.22518,18.31103625,32.29342022,30.69670767,33.26356605,65.67006185,74.6751833
Suriname,2021,0-100,3_pillars_10_dims,38.58378245,24.9674703,26.62357079,64.16030627,0.0,42.03210269,34.00997648,23.82780205,18.75656172,40.42573149,20.68841915,54.83830821,66.25663743,71.38597318
