iso3,entity_type,pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,dim_size_maturity,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail
POL,pais,Poland,2023,0-100,3_pillars_10_dims,63.09568429,69.79180781,46.83920235,72.65604271,100.0,64.052,65.47,49.64523125,31.31929924,,31.31929924,49.30759314,59.89071469,61.94690884,66.1012193,89.92,
PRT,pais,Portugal,2023,0-100,3_pillars_10_dims,68.28168555,80.47518209,50.9509814,73.41889316,100.0,87.504,73.3,61.09672838,37.36240302,,37.36240302,54.02807349,61.46246769,60.724,77.88767949,81.645,
QAT,pais,Qatar,2023,0-100,3_pillars_10_dims,63.586363,69.63809933,44.30882523,76.81216444,100.0,58.18,71.42333333,48.94906398,30.98999141,,30.98999141,48.91521411,53.02127018,61.182,69.60449333,99.65,
KOR,pais,Republic of Korea,2023,0-100,3_pillars_10_dims,75.64511212,87.55252773,54.36450926,85.01829936,100.0,87.784,91.57333333,70.85277759,38.46147287,,38.46147287,59.03644065,65.59561426,79.35114807,95.64875,80.055,
MDA,pais,Republic of Moldova,2023,0-100,3_pillars_10_dims,42.97129514,42.68589792,28.21182083,58.01616667,0.0,55.916,63.49,51.33759169,19.33438315,,19.33438315,29.15833954,36.14273982,27.975,66.1685,79.905,
ROU,pais,Romania,2023,0-100,3_pillars_10_dims,52.31981092,51.42468322,39.23114485,66.3036047,50.0,58.938,52.94,43.82073286,29.7582963,,29.7582963,39.31763592,48.61750232,58.568,67.5528141,72.79,
RUS,pais,Russian Federation,2023,0-100,3_pillars_10_dims,62.92297762,74.13139691,43.37584151,71.26169444,100.0,70.012,71.38333333,55.13025432,21.50820156,,21.50820156,50.81136197,57.80796099,56.588,73.75208333,83.445,
RWA,pais,Rwanda,2023,0-100,3_pillars_10_dims,45.38673728,67.81789856,27.86557848,40.47673479,100.0,62.91,65.91333333,42.44826092,8.753482937,,8.753482937,48.30555294,26.53769956,21.274,42.05120436,58.105,
KNA,pais,Saint Kitts and Nevis,2023,0-100,3_pillars_10_dims,39.23383354,31.71207453,28.09337377,57.89605232,0.0,47.848,31.09666667,47.90363146,27.25993928,,27.25993928,26.99802287,30.02215916,36.52866667,54.03258553,83.12690476,
LCA,pais,Saint Lucia,2023,0-100,3_pillars_10_dims,36.46491071,30.36882078,27.95052479,51.07538656,0.0,47.312,38.99666667,35.16661647,21.59949664,,21.59949664,28.27301133,33.97906641,27.28379487,53.11069814,72.83166667,
VCT,pais,Saint Vincent and the Grenadines,2023,0-100,3_pillars_10_dims,34.13221331,30.52993983,24.39655926,47.47014083,0.0,37.236,36.72666667,48.15709266,21.00585029,,21.00585029,28.27301133,23.91081616,26.88979487,46.57396096,68.94666667,
WSM,pais,Samoa,2023,0-100,3_pillars_10_dims,31.6611872,27.52292624,22.85398722,44.60664812,0.0,28.706,36.844,44.54170497,20.76828555,,20.76828555,30.60389698,17.18977914,19.2444,39.70054436,74.875,
