pais_original,year,scale,framework,rank,total_score,policy_capacity,ai_infrastructure,governance_2025,public_sector_adoption,development_diffusion,resilience,policy_vision,policy_commitment,compute_capacity,enabling_technical_infrastructure,data_quality,governance_principles,regulatory_compliance,government_digital_policy,e_government_delivery,human_capital_2025,ai_sector_maturity,ai_technology_diffusion,societal_transition,safety_security
Afghanistan,2025,0-100,6_pillars_14_dims,188.0,15.72,0.0,19.27,11.25,26.8,11.76,22.56,0.0,0.0,3.29,37.57,16.95,2.5,20.0,0.0,53.59,18.41,4.85,14.33,22.13,23.0
Albania,2025,0-100,6_pillars_14_dims,85.0,43.44,23.0,51.21,51.67,68.95,24.35,41.6,20.0,25.0,4.83,69.01,79.79,50.0,53.33,51.03,86.86,21.23,14.18,41.04,49.87,33.33
Algeria,2025,0-100,6_pillars_14_dims,89.0,42.05,65.5,43.12,59.0,26.42,33.86,34.44,70.0,62.5,5.84,62.17,61.37,48.0,70.0,23.8,29.05,33.86,20.1,52.21,35.55,33.33
Andorra,2025,0-100,6_pillars_14_dims,92.0,41.51,31.0,47.96,54.27,25.75,37.69,49.92,40.0,25.0,4.16,69.52,70.21,70.5,38.05,10.54,40.95,52.34,17.01,50.63,73.5,26.33
Angola,2025,0-100,6_pillars_14_dims,141.0,27.09,15.5,30.77,53.03,29.51,14.14,19.35,20.0,12.5,6.59,40.69,45.04,42.5,63.56,15.87,43.16,25.9,4.37,15.4,27.7,11.0
Antigua and Barbuda,2025,0-100,6_pillars_14_dims,147.0,25.04,23.0,32.23,48.38,12.71,12.68,23.49,20.0,25.0,0.0,48.63,48.04,46.75,50.0,15.0,10.41,17.43,5.1,18.04,46.98,0.0
Argentina,2025,0-100,6_pillars_14_dims,56.0,58.25,73.0,50.26,84.69,71.06,32.09,70.03,70.0,75.0,11.28,60.96,78.54,94.75,74.62,55.71,86.41,44.95,9.66,49.15,47.07,93.0
Armenia,2025,0-100,6_pillars_14_dims,103.0,38.95,27.0,41.02,56.75,57.4,24.37,27.75,30.0,25.0,3.29,60.86,58.91,43.5,70.0,45.0,69.81,23.68,11.39,42.38,40.16,15.33
Australia,2025,0-100,6_pillars_14_dims,9.0,75.73,100.0,70.02,79.04,82.67,62.7,82.94,100.0,100.0,40.81,78.7,90.54,75.0,83.08,84.03,81.3,81.39,42.38,71.12,65.89,100.0
Austria,2025,0-100,6_pillars_14_dims,20.0,69.72,66.0,61.39,87.0,81.6,58.06,79.69,90.0,50.0,17.43,74.74,91.98,96.25,77.75,67.24,95.96,70.15,42.04,67.33,72.7,86.67
Azerbaijan,2025,0-100,6_pillars_14_dims,69.0,51.91,53.5,51.45,60.0,66.97,36.08,56.35,40.0,62.5,4.16,74.93,75.25,50.0,70.0,40.48,93.47,60.31,10.95,45.34,46.03,66.67
Bahamas,2025,0-100,6_pillars_14_dims,123.0,31.18,8.0,40.26,53.62,42.14,14.55,23.19,20.0,0.0,4.83,56.21,59.75,36.75,70.48,33.27,51.01,23.65,5.1,18.04,46.39,0.0
Bahrain,2025,0-100,6_pillars_14_dims,48.0,59.57,46.5,58.04,72.5,83.37,48.5,49.08,60.0,37.5,12.12,79.36,82.65,75.0,70.0,85.91,80.83,69.53,27.83,55.03,48.16,50.0
Bangladesh,2025,0-100,6_pillars_14_dims,75.0,48.37,69.0,39.02,63.93,82.78,26.97,29.64,60.0,75.0,8.31,60.06,48.7,56.5,71.37,72.12,93.44,35.12,5.44,47.53,25.94,33.33
Barbados,2025,0-100,6_pillars_14_dims,155.0,23.33,15.5,34.85,40.75,6.22,14.03,25.16,20.0,12.5,0.0,54.95,49.59,41.5,40.0,0.0,12.44,22.58,4.63,18.04,46.98,3.33
Belarus,2025,0-100,6_pillars_14_dims,121.0,32.47,12.0,45.28,43.38,24.03,24.62,36.88,30.0,0.0,3.29,53.5,79.03,46.75,40.0,0.4,47.65,35.95,3.48,41.49,40.42,33.33
Belgium,2025,0-100,6_pillars_14_dims,30.0,65.17,85.0,58.83,80.0,72.0,49.84,67.05,100.0,75.0,17.2,66.85,92.45,100.0,60.0,59.43,84.56,34.83,44.05,72.56,67.43,66.67
Belize,2025,0-100,6_pillars_14_dims,158.0,22.68,7.5,35.58,23.08,19.19,13.59,32.95,0.0,12.5,0.0,53.36,53.38,39.5,6.67,20.0,18.39,25.71,5.1,12.78,42.89,23.0
Benin,2025,0-100,6_pillars_14_dims,90.0,41.71,61.0,26.99,61.25,63.05,26.89,34.9,40.0,75.0,0.0,45.56,35.41,62.5,60.0,54.85,71.25,34.57,12.68,38.16,36.47,33.33
Bhutan,2025,0-100,6_pillars_14_dims,101.0,39.38,12.0,36.49,51.04,73.11,28.24,33.79,30.0,0.0,3.29,59.35,46.82,48.75,53.33,65.0,81.22,22.73,24.85,38.28,41.91,25.67
Bolivia (Plurinational State of),2025,0-100,6_pillars_14_dims,139.0,27.48,0.0,32.51,43.5,44.98,13.55,26.92,0.0,0.0,5.37,52.97,39.18,37.0,50.0,0.0,89.97,26.49,7.03,9.32,34.17,19.67
Bosnia and Herzegovina,2025,0-100,6_pillars_14_dims,114.0,35.67,19.0,43.26,51.02,51.83,19.43,26.66,10.0,25.0,4.83,51.57,73.4,38.75,63.29,16.15,87.51,23.54,4.14,35.7,44.32,9.0
Botswana,2025,0-100,6_pillars_14_dims,109.0,37.1,19.5,40.13,60.63,39.11,27.83,32.04,30.0,12.5,5.37,51.43,63.6,61.25,60.0,10.0,68.21,22.95,23.75,38.15,30.74,33.33
Brazil,2025,0-100,6_pillars_14_dims,22.0,69.55,88.0,65.5,78.18,94.78,46.57,67.88,70.0,100.0,38.57,79.67,78.27,75.0,81.35,91.91,97.66,46.54,37.15,59.17,52.42,83.33
Brunei Darussalam,2025,0-100,6_pillars_14_dims,97.0,40.51,31.0,47.39,35.06,65.14,25.37,41.92,40.0,25.0,4.83,68.08,69.26,43.5,26.61,61.78,68.51,33.31,20.18,24.37,53.84,30.0
Bulgaria,2025,0-100,6_pillars_14_dims,59.0,56.6,65.0,53.93,71.25,64.66,39.78,62.86,50.0,75.0,10.39,69.24,82.16,62.5,80.0,35.0,94.32,59.0,16.85,51.14,59.05,66.67
Burkina Faso,2025,0-100,6_pillars_14_dims,127.0,29.45,23.0,23.39,48.13,48.35,15.03,30.78,20.0,25.0,2.08,35.83,32.26,36.25,60.0,30.0,66.69,34.17,2.27,12.92,35.22,26.33
Burundi,2025,0-100,6_pillars_14_dims,185.0,17.22,11.5,16.63,11.63,36.43,12.19,16.62,10.0,12.5,0.0,18.12,31.75,3.25,20.0,40.0,32.87,23.29,2.77,13.64,33.23,0.0
Cabo Verde,2025,0-100,6_pillars_14_dims,122.0,32.16,15.5,35.0,35.49,66.55,11.59,36.58,20.0,12.5,0.0,55.69,49.32,20.75,50.23,65.87,67.23,17.33,5.53,13.92,46.82,26.33
Cambodia,2025,0-100,6_pillars_14_dims,118.0,33.91,19.5,32.77,53.38,36.25,26.19,37.78,30.0,12.5,7.19,46.1,45.02,46.75,60.0,23.74,48.76,27.35,10.53,45.89,44.56,31.0
Cameroon,2025,0-100,6_pillars_14_dims,116.0,34.91,34.5,34.92,53.75,22.49,29.23,39.93,30.0,37.5,3.29,48.78,52.67,57.5,50.0,10.0,34.97,46.14,13.2,33.69,29.85,50.0
Canada,2025,0-100,6_pillars_14_dims,12.0,74.66,92.5,72.32,76.85,78.6,69.03,67.57,100.0,87.5,44.24,83.55,89.17,72.5,81.19,77.58,79.63,83.55,57.07,70.46,68.47,66.67
Central African Republic,2025,0-100,6_pillars_14_dims,192.0,12.8,11.5,22.64,2.25,13.91,9.56,11.77,10.0,12.5,0.0,26.12,41.79,4.5,0.0,0.0,27.82,16.75,3.25,10.78,23.55,0.0
Chad,2025,0-100,6_pillars_14_dims,182.0,18.31,0.0,20.51,48.67,4.53,10.1,26.76,0.0,0.0,0.0,28.3,33.24,44.0,53.33,2.38,6.68,14.34,3.25,14.99,27.19,26.33
Chile,2025,0-100,6_pillars_14_dims,50.0,59.3,92.5,57.77,53.54,70.76,45.26,56.46,100.0,87.5,18.18,75.24,79.88,55.5,51.58,45.0,96.53,65.02,24.68,52.95,57.58,55.33
China,2025,0-100,6_pillars_14_dims,8.0,76.27,92.5,78.36,91.14,49.02,74.67,77.34,100.0,87.5,80.66,69.2,85.21,100.0,82.28,41.65,56.39,81.43,67.29,77.74,54.69,100.0
Colombia,2025,0-100,6_pillars_14_dims,64.0,56.02,80.5,53.74,67.13,70.7,35.33,50.28,70.0,87.5,11.28,75.86,74.08,54.25,80.0,56.09,85.3,43.46,17.03,51.58,50.56,50.0
Comoros,2025,0-100,6_pillars_14_dims,171.0,20.67,7.5,31.82,10.24,34.47,10.01,27.53,0.0,12.5,0.0,48.8,46.66,20.25,0.23,30.87,38.07,15.0,3.25,14.03,28.72,26.33
Congo,2025,0-100,6_pillars_14_dims,178.0,18.6,12.0,22.41,31.49,3.89,17.8,20.39,30.0,0.0,0.0,39.2,28.04,42.75,20.23,0.87,6.9,21.37,1.42,36.06,29.78,11.0
Costa Rica,2025,0-100,6_pillars_14_dims,79.0,45.92,69.0,43.32,66.0,42.61,24.09,58.76,60.0,75.0,7.69,64.57,57.71,72.0,60.0,21.43,63.79,41.83,4.68,32.22,55.19,62.33
Côte D'Ivoire,2025,0-100,6_pillars_14_dims,95.0,40.74,57.5,41.21,60.63,19.02,27.94,57.53,50.0,62.5,5.84,59.38,58.42,61.25,60.0,0.0,38.05,36.22,11.22,41.97,48.39,66.67
Croatia,2025,0-100,6_pillars_14_dims,72.0,49.79,34.5,52.04,70.64,71.67,29.92,45.04,30.0,37.5,8.5,64.17,83.44,75.0,66.28,55.0,88.34,29.06,15.17,50.46,56.76,33.33
Cuba,2025,0-100,6_pillars_14_dims,136.0,27.92,46.5,32.62,35.24,4.51,17.29,48.27,60.0,37.5,0.0,55.3,42.56,50.0,20.48,3.27,5.75,29.97,5.1,20.85,36.87,59.67
Cyprus,2025,0-100,6_pillars_14_dims,47.0,59.71,73.0,58.17,76.52,81.29,36.07,51.81,70.0,75.0,8.83,74.49,91.2,75.0,78.05,75.54,87.04,57.25,14.24,43.99,53.62,50.0
Czechia,2025,0-100,6_pillars_14_dims,32.0,64.56,81.0,58.61,74.14,69.33,54.04,67.74,90.0,75.0,15.76,72.03,88.03,75.0,73.29,46.15,92.52,75.26,32.55,61.48,68.82,66.67
Democratic People's Republic of Korea,2025,0-100,6_pillars_14_dims,167.0,21.15,0.0,31.74,11.64,3.75,33.77,24.68,0.0,0.0,0.0,41.13,54.09,0.0,23.28,6.78,0.73,46.58,11.67,50.42,38.35,11.0
Democratic Republic of the Congo,2025,0-100,6_pillars_14_dims,144.0,25.62,23.0,19.98,46.75,17.58,23.45,28.09,20.0,25.0,4.83,31.15,23.96,43.5,50.0,5.0,30.17,43.18,3.25,30.66,22.85,33.33
Denmark,2025,0-100,6_pillars_14_dims,11.0,74.75,92.5,59.51,94.02,85.26,58.91,90.01,100.0,87.5,12.74,76.07,89.72,100.0,88.05,70.54,99.98,70.04,44.33,67.23,80.02,100.0
Djibouti,2025,0-100,6_pillars_14_dims,148.0,24.52,11.5,37.67,12.26,26.8,22.81,23.89,10.0,12.5,4.83,41.15,67.03,13.75,10.76,35.87,17.73,36.29,6.9,30.55,36.78,11.0
