iso3,entity_type,pais_original,year,scale,framework,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services
POL,pais,Poland,2019,0-10,4_clusters,1.0,1.0,49.0,3.075885151,0.7926,4.2,74.0,1.86923172,48.7,0.9306,62.34,3.267629984,1.0,0.5,0.49,0.4394121644285714,0.7926,0.6,0.5047136056780525,0.487,0.9306,0.6234000000000001,0.4668042834285714,6.834530053535196,0.75,0.5740040548095239,0.5305712018926841,0.6736014278095238
ISL,pais,Iceland,2019,0-10,4_clusters,1.0,1.0,,3.629998556,0.8316,5.7,13.0,1.113943352,65.7,0.7292,80.13,4.595660107,1.0,0.5,0.0,0.5185712222857143,0.8316,0.8142857142857143,0.3007772443049575,0.657,0.7292,0.8012999999999999,0.6565228724285713,6.8092570533049575,0.75,0.4500570740952381,0.5906876528635573,0.7290076241428571
RUS,pais,Russian Federation (the),2019,0-10,4_clusters,1.0,1.0,43.0,3.341901961,0.7969,4.8,65.0,1.812913357,50.7,0.9167,39.81,3.82406796,1.0,0.5,0.43,0.4774145658571428,0.7969,0.6857142857142857,0.4895070137122284,0.507,0.9167,0.3981,0.5462954228571428,6.747631288140799,0.75,0.5681048552857143,0.5607404331421714,0.6203651409523809
PRT,pais,Portugal,2019,0-10,4_clusters,1.0,0.0,37.0,3.610032165,0.8031,4.6,50.0,1.698970004,53.1,0.9306,75.47,4.70562278,1.0,0.0,0.37,0.5157188807142857,0.8031,0.6571428571428571,0.458741025782344,0.531,0.9306,0.7547,0.6722318257142856,6.693234589353772,0.5,0.562939626904762,0.5489612943084005,0.7858439419047619
CZE,pais,Czech Republic,2019,0-10,4_clusters,1.0,1.0,50.0,3.156732848,0.7084,5.0,26.0,1.414973348,57.3,0.6528,71.44,3.341610873,1.0,0.5,0.5,0.4509618354285714,0.7084,0.7142857142857143,0.3820587318127822,0.573,0.6528,0.7143999999999999,0.4773729818571429,6.673279263384212,0.75,0.5531206118095238,0.5564481486994989,0.6148576606190476
MEX,pais,Mexico,2019,0-10,4_clusters,1.0,1.0,65.0,3.104027465,0.6818,3.8,47.0,1.672097858,42.7,0.9236,48.76,3.89571611,1.0,0.5,0.65,0.443432495,0.6818,0.5428571428571428,0.4514852438721338,0.427,0.9236,0.4876,0.5565308728571429,6.664305754586419,0.75,0.591744165,0.4737807955764255,0.655910290952381
LVA,pais,Latvia,2019,0-10,4_clusters,1.0,1.0,64.0,3.019002782,0.6996,4.7,13.0,1.113943352,42.0,0.6667,69.94,3.632244256,1.0,0.5,0.64,0.4312861117142857,0.6996,0.6714285714285715,0.3007772443049575,0.42,0.6667,0.6994,0.5188920365714286,6.548083964019243,0.75,0.5902953705714286,0.4640686052445096,0.6283306788571429
IRL,pais,Ireland,2019,0-10,4_clusters,1.0,0.0,,3.577437049,0.8287,5.2,67.0,1.826074803,67.0,0.8264,78.71,4.782631498,1.0,0.0,0.0,0.5110624355714285,0.8287,0.7428571428571429,0.4930607522859548,0.67,0.8264,0.7870999999999999,0.6832330711428571,6.542413401857383,0.5,0.4465874785238095,0.6353059650476993,0.7655776903809524
URY,pais,Uruguay,2019,0-10,4_clusters,1.0,1.0,55.0,3.190974494,0.7858,4.5,4.0,0.6020599913,36.4,0.8889,58.81,4.090727646,1.0,0.5,0.55,0.4558534991428571,0.7858,0.6428571428571429,0.1625629748266415,0.364,0.8889,0.5881000000000001,0.5843896637142858,6.5224632805409275,0.75,0.5972178330476191,0.3898067058945949,0.6871298879047619
ESP,pais,Spain,2019,0-10,4_clusters,1.0,0.0,,3.155687377,0.8415,4.2,186.0,2.269512944,62.9,0.9375,72.88,3.722468585,1.0,0.0,0.0,0.4508124824285714,0.8415,0.6,0.612794041981725,0.629,0.9375,0.7288,0.5317812264285714,6.332187750838867,0.5,0.4307708274761905,0.6139313473272416,0.7326937421428572
LTU,pais,Lithuania,2019,0-10,4_clusters,1.0,1.0,,3.053760491,0.7534,4.8,16.0,1.204119983,47.4,0.7986,72.14,4.152034548,1.0,0.5,0.0,0.4362514987142857,0.7534,0.6857142857142857,0.3251259497612876,0.474,0.7986,0.7214,0.5931477925714285,6.2876395267612875,0.75,0.3965504995714285,0.4949467451585244,0.7043825975238095
SVN,pais,Slovenia,2019,0-10,4_clusters,1.0,0.0,49.0,2.725934666,0.7714,4.8,12.0,1.079181246,57.9,0.7986,72.96,3.481467363,1.0,0.0,0.49,0.389419238,0.7714,0.6857142857142857,0.2913910843802679,0.579,0.7986,0.7295999999999999,0.4973524804285714,6.232477088523125,0.5,0.5502730793333334,0.518701790031518,0.6751841601428571
CHL,pais,Chile,2019,0-10,4_clusters,1.0,0.0,52.0,3.097980208,0.735,4.2,26.0,1.414973348,41.3,0.8333,70.45,3.91537854,1.0,0.0,0.52,0.4425686011428572,0.735,0.6,0.3820587318127822,0.413,0.8333,0.7045,0.5593397914285714,6.189767124384211,0.5,0.5658562003809524,0.4650195772709274,0.6990465971428571
BRA,pais,Brazil,2019,0-10,4_clusters,1.0,0.0,68.0,3.050402322,0.7327,3.2,160.0,2.204119983,47.8,0.9236,40.8,3.128275675,1.0,0.0,0.68,0.4357717602857143,0.7327,0.4571428571428572,0.595137206406372,0.478,0.9236,0.408,0.446896525,6.157248348834943,0.5,0.6161572534285714,0.5100933545164097,0.592832175
TWN,pais,Taiwan,2019,0-10,4_clusters,1.0,2.0,90.0,3.850857285,,5.1,45.0,1.653212514,80.8,,,5.035224129,1.0,1.0,0.9,0.5501224692857143,0.0,0.7285714285714285,0.4463859884065191,0.8079999999999999,0.0,0.0,0.7193177327142858,6.152397618977947,1.0,0.4833741564285714,0.6609858056593159,0.2397725775714285
QAT,pais,Qatar,2019,0-10,4_clusters,1.0,0.0,,5.646519393,0.7132,5.2,1.0,0.0,50.3,0.7917,63.73,5.881188621,1.0,0.0,0.0,0.8066456275714285,0.7132,0.7428571428571429,0.0,0.503,0.7917,0.6373,0.840169803,6.034872573428571,0.5,0.5066152091904762,0.4152857142857143,0.7563899343333332
MLT,pais,Malta,2019,0-10,4_clusters,1.0,0.0,,3.590713819,0.8011,4.8,8.0,0.903089987,51.0,0.8403,68.7,4.758123125,1.0,0.0,0.0,0.512959117,0.8011,0.6857142857142857,0.2438444622534629,0.51,0.8403,0.687,0.679731875,5.9606497399677485,0.5,0.4380197056666666,0.4798529159892495,0.7356772916666667
COL,pais,Colombia,2019,0-10,4_clusters,1.0,0.0,64.0,3.34090085,0.6871,3.9,10.0,1.0,35.5,0.8819,45.74,4.33303721,1.0,0.0,0.64,0.47727155,0.6871,0.5571428571428572,0.2700112566450843,0.355,0.8819,0.4574,0.6190053157142856,5.944830979502227,0.5,0.6014571833333334,0.3940513712626471,0.6527684385714286
SVK,pais,Slovakia,2019,0-10,4_clusters,1.0,0.0,47.0,3.114342312,0.7155,4.7,8.0,0.903089987,46.6,0.7361,67.27,3.520244293,1.0,0.0,0.47,0.4449060445714285,0.7155,0.6714285714285715,0.2438444622534629,0.466,0.7361,0.6727,0.5028920418571429,5.9233711201106045,0.5,0.5434686815238096,0.4604243445606781,0.6372306806190475
TUR,pais,Turkey,2019,0-10,4_clusters,1.0,0.0,37.0,3.704993319,0.7112,3.4,41.0,1.612783857,44.0,0.8889,46.36,3.883508799,1.0,0.0,0.37,0.5292847598571429,0.7112,0.4857142857142857,0.435469795925476,0.44,0.8889,0.4636,0.5547869712857143,5.8789558127826185,0.5,0.5368282532857144,0.4537280272132539,0.6357623237619048
BGR,pais,Bulgaria,2019,0-10,4_clusters,1.0,0.0,45.0,3.138584187,0.7177,4.2,16.0,1.204119983,43.9,0.7639,52.36,3.768608177,1.0,0.0,0.45,0.4483691695714286,0.7177,0.6,0.3251259497612876,0.439,0.7639,0.5236,0.5383725967142857,5.806067716047002,0.5,0.5386897231904763,0.4547086499204292,0.6086241989047619
HUN,pais,Hungary,2019,0-10,4_clusters,1.0,1.0,,2.924026633,0.7265,3.5,24.0,1.380211242,48.0,0.7361,56.41,3.478460133,1.0,0.5,0.0,0.4177180904285714,0.7265,0.5,0.3726725718880926,0.48,0.7361,0.5640999999999999,0.4969228761428571,5.794013538459522,0.75,0.3814060301428572,0.4508908572960308,0.5990409587142856
GRC,pais,Greece,2019,0-10,4_clusters,1.0,0.0,46.0,2.57880582,0.7833,4.2,21.0,1.322219295,45.0,0.8194,50.41,2.925068291,1.0,0.0,0.46,0.3684008314285714,0.7833,0.6,0.3570140934033275,0.45,0.8194,0.5041,0.4178668987142857,5.7600818235461855,0.5,0.5372336104761904,0.4690046978011091,0.580455632904762
PHL,pais,Philippines (the),2019,0-10,4_clusters,1.0,0.0,30.0,3.464000006,0.6512,5.1,9.0,0.9542425094,37.2,0.8819,44.86,3.98325242,1.0,0.0,0.3,0.4948571437142857,0.6512,0.7285714285714285,0.2576562191072527,0.372,0.8819,0.4486,0.56903606,5.703820851392967,0.5,0.4820190479047619,0.4527425492262271,0.6331786866666667
ARG,pais,Argentina,2019,0-10,4_clusters,1.0,0.0,60.0,2.502277837,0.7335,4.0,31.0,1.491361694,40.5,0.75,49.56,2.581649556,1.0,0.0,0.6,0.3574682624285714,0.7335,0.5714285714285714,0.4026844451092818,0.405,0.75,0.4956,0.3688070794285714,5.684488358394996,0.5,0.5636560874761904,0.459704338845951,0.5381356931428571
KEN,pais,Kenya,2019,0-10,4_clusters,1.0,1.0,15.0,3.797694729,0.4541,4.7,13.0,1.113943352,36.5,0.625,37.37,4.829072421,1.0,0.5,0.15,0.5425278184285715,0.4541,0.6714285714285715,0.3007772443049575,0.365,0.625,0.3737,0.6898674887142857,5.672401122876386,0.75,0.3822092728095238,0.4457352719111763,0.5628558295714285
CYP,pais,Cyprus,2019,0-10,4_clusters,1.0,0.0,,3.307857801,0.7736,4.9,10.0,1.0,44.7,0.7847,69.47,3.681445197,1.0,0.0,0.0,0.4725511144285714,0.7736,0.7000000000000001,0.2700112566450843,0.447,0.7847,0.6947,0.5259207424285715,5.668483113502227,0.5,0.4153837048095237,0.4723370855483615,0.6684402474761905
TUN,pais,Tunisia,2019,0-10,4_clusters,1.0,1.0,22.0,2.84161844,0.6254,4.4,7.0,0.84509804,32.7,0.8056,39.93,3.58623523,1.0,0.5,0.22,0.4059454914285714,0.6254,0.6285714285714287,0.2281859837686977,0.327,0.8056,0.3993,0.5123193185714287,5.652322222340127,0.75,0.4171151638095238,0.3945858041133754,0.5724064395238094
ROU,pais,Romania,2019,0-10,4_clusters,1.0,0.0,51.0,2.895348472,0.6671,4.4,25.0,1.397940009,39.6,0.6597,40.93,3.348982274,1.0,0.0,0.51,0.4136212102857142,0.6671,0.6285714285714287,0.3774595385445305,0.396,0.6597,0.4093,0.4784260391428571,5.540178216544531,0.5,0.5302404034285714,0.4673436557053197,0.5158086797142857
THA,pais,Thailand,2019,0-10,4_clusters,1.0,0.0,34.0,3.087674484,0.6543,4.4,8.0,0.903089987,42.1,0.6389,53.49,3.885037534,1.0,0.0,0.34,0.4410963548571428,0.6543,0.6285714285714287,0.2438444622534629,0.421,0.6389,0.5349,0.555005362,5.457617607682034,0.5,0.4784654516190476,0.4311386302749638,0.5762684539999999
IDN,pais,Indonesia,2019,0-10,4_clusters,1.0,0.0,25.0,4.15277275,0.5258,4.7,21.0,1.322219295,37.1,0.5694,45.51,4.386056843,1.0,0.0,0.25,0.59325325,0.5258,0.6714285714285715,0.3570140934033275,0.371,0.5694,0.4551,0.626579549,5.419575463831899,0.5,0.4563510833333333,0.4664808882772996,0.5503598496666666
SRB,pais,Serbia,2019,0-10,4_clusters,1.0,0.0,41.0,2.845059683,0.7155,4.2,4.0,0.6020599913,39.7,0.7361,47.44,3.234757177,1.0,0.0,0.41,0.4064370975714286,0.7155,0.6,0.1625629748266415,0.397,0.7361,0.4744,0.4621081681428571,5.3641082405409275,0.5,0.5106456991904762,0.3865209916088805,0.557536056047619
OMN,pais,Oman,2019,0-10,4_clusters,1.0,0.0,14.0,3.656327245,0.6846,4.9,0.0,,32.6,0.8125,49.89,4.455148255,1.0,0.0,0.14,0.5223324635714286,0.6846,0.7000000000000001,0.0,0.326,0.8125,0.4989,0.6364497507142858,5.320782214285715,0.5,0.4489774878571428,0.342,0.6492832502380952
MUS,pais,Mauritius,2019,0-10,4_clusters,1.0,0.0,,3.424767371,0.6678,4.5,2.0,0.3010299957,38.3,0.7292,68.96,4.444294591,1.0,0.0,0.0,0.4892524815714286,0.6678,0.6428571428571429,0.0812814874268213,0.3829999999999999,0.7292,0.6896,0.6348992272857144,5.3178903391411065,0.5,0.3856841605238095,0.3690462100946547,0.6845664090952382
MKD,pais,The former Yugoslav Republic of Macedonia,2019,0-10,4_clusters,1.0,0.0,31.0,3.902757855,0.6312,3.6,2.0,0.3010299957,31.1,0.7153,47.51,4.820953216,1.0,0.0,0.31,0.5575368364285714,0.6312,0.5142857142857143,0.0812814874268213,0.311,0.7153,0.4750999999999999,0.6887076022857144,5.284411640426822,0.5,0.4995789454761905,0.3021890672375119,0.6263692007619047
HRV,pais,Croatia,2019,0-10,4_clusters,1.0,0.0,39.0,2.672116753,0.7018,3.6,4.0,0.6020599913,37.7,0.6806,57.22,3.447480347,1.0,0.0,0.39,0.3817309647142857,0.7018,0.5142857142857143,0.1625629748266415,0.377,0.6806,0.5722,0.4924971924285714,5.272676846255212,0.5,0.4911769882380952,0.3512828963707853,0.5817657308095239
UKR,pais,Ukraine,2019,0-10,4_clusters,1.0,0.0,48.0,3.022535527,0.6165,4.4,30.0,1.477121255,39.0,0.5694,30.7,3.107435262,1.0,0.0,0.48,0.4317907895714286,0.6165,0.6285714285714287,0.398839366279714,0.39,0.5694,0.307,0.4439193231428571,5.26602090756543,0.5,0.5094302631904762,0.4724702649503809,0.440106441047619
AZE,pais,Azerbaijan,2019,0-10,4_clusters,1.0,0.0,,4.153780695,0.6574,5.2,,,36.0,0.7292,41.29,5.236934866,1.0,0.0,0.0,0.5933972421428572,0.6574,0.7428571428571429,0.0,0.36,0.7292,0.4129,0.7481335522857143,5.243887937285714,0.5,0.4169324140476191,0.3676190476190475,0.6300778507619048
KAZ,pais,Kazakhstan,2019,0-10,4_clusters,1.0,0.0,,3.402427653,0.7597,4.6,2.0,0.3010299957,32.1,0.8681,43.66,4.380465467,1.0,0.0,0.0,0.4860610932857143,0.7597,0.6571428571428571,0.0812814874268213,0.321,0.8681,0.4366,0.6257807809999999,5.235666218855393,0.5,0.4152536977619048,0.3531414481898928,0.6434935936666667
CRI,pais,Costa Rica,2019,0-10,4_clusters,1.0,0.0,23.0,2.933128148,0.7004,5.0,1.0,0.0,40.4,0.6736,53.99,3.645518931,1.0,0.0,0.23,0.4190183068571428,0.7004,0.7142857142857143,0.0,0.4039999999999999,0.6736,0.5399,0.5207884187142857,5.201992439857143,0.5,0.4498061022857142,0.3727619047619048,0.5780961395714286
MNE,pais,Montenegro,2019,0-10,4_clusters,1.0,0.0,35.0,3.229536831,0.6966,4.1,0.0,,34.9,0.6667,47.76,4.258485353,1.0,0.0,0.35,0.4613624044285714,0.6966,0.5857142857142856,0.0,0.349,0.6667,0.4775999999999999,0.6083550504285714,5.195331740571428,0.5,0.5026541348095238,0.3115714285714285,0.5842183501428572
ZAF,pais,South Africa,2019,0-10,4_clusters,1.0,0.0,40.0,2.768414587,0.6618,3.5,26.0,1.414973348,,0.8333,51.92,3.220634927,1.0,0.0,0.4,0.3954877981428571,0.6618,0.5,0.3820587318127822,0.0,0.8333,0.5192,0.4600907038571428,5.151937233812782,0.5,0.4857625993809524,0.2940195772709274,0.6041969012857143
PAN,pais,Panama,2019,0-10,4_clusters,1.0,0.0,25.0,3.972032669,0.6092,3.7,0.0,,37.5,0.6597,49.78,4.539007934,1.0,0.0,0.25,0.5674332384285714,0.6092,0.5285714285714286,0.0,0.375,0.6597,0.4978,0.6484297048571428,5.136134371857143,0.5,0.4755444128095238,0.3011904761904762,0.6019765682857142
VNM,pais,Viet Nam,2019,0-10,4_clusters,1.0,0.0,,3.8523911,0.5931,3.7,10.0,1.0,33.4,0.7361,45.43,4.301589267,1.0,0.0,0.0,0.5503415857142857,0.5931,0.5285714285714286,0.2700112566450843,0.3339999999999999,0.7361,0.4543,0.6145127524285714,5.08093702335937,0.5,0.3811471952380952,0.3775275617388376,0.6016375841428571
PER,pais,Peru,2019,0-10,4_clusters,1.0,0.0,29.0,2.693362267,0.6461,3.6,8.0,0.903089987,31.9,0.8194,40.94,3.145826379,1.0,0.0,0.29,0.3847660381428571,0.6461,0.5142857142857143,0.2438444622534629,0.319,0.8194,0.4094,0.4494037684285714,5.076199983110606,0.5,0.4402886793809523,0.3590433921797257,0.5594012561428572
IRN,pais,Iran (Islamic Republic of),2019,0-10,4_clusters,1.0,0.0,21.0,3.178290541,0.6083,4.2,9.0,0.9542425094,37.6,0.6319,40.1,3.574009031,1.0,0.0,0.21,0.4540415058571428,0.6083,0.6,0.2576562191072527,0.376,0.6319,0.401,0.5105727187142858,5.049470443678682,0.5,0.4241138352857143,0.4112187397024175,0.5144909062380952
