pais_original,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,year,scale,framework
Haiti,0.0,0.0,,2.463406857,0.3047,2.8,,,20.3,0.4444,,2.311015245,0.0,0.0,0.0,0.35191526528571426,0.3047,0.39999999999999997,0.0,0.203,0.4444,0.0,0.33014503500000003,2.0341603002857145,0.0,0.21887175509523807,0.20099999999999998,0.25818167833333333,2019,0-10,4_clusters
Mauritania,0.0,0.0,,2.678482744,0.2314,3.9,,,25.5,0.1597,,3.067652349,0.0,0.0,0.0,0.382640392,0.2314,0.5571428571428572,0.0,0.255,0.1597,0.0,0.4382360498571428,2.0241192989999996,0.0,0.20468013066666665,0.27071428571428574,0.19931201661904763,2019,0-10,4_clusters
Yemen,1.0,0.0,,,0.2154,2.9,,,22.8,0.0972,,,1.0,0.0,0.0,0.0,0.2154,0.41428571428571426,0.0,0.228,0.0972,0.0,0.0,1.9548857142857143,0.5,0.0718,0.2140952380952381,0.0324,2019,0-10,4_clusters
Saint Lucia,1.0,0.0,15.0,,0.466,,,,,0.2847,,,1.0,0.0,0.15,0.0,0.466,0.0,0.0,0.0,0.2847,0.0,0.0,1.9006999999999998,0.5,0.20533333333333334,0.0,0.0949,2019,0-10,4_clusters
Swaziland,1.0,0.0,,3.019966614,,,,,,,,3.201209724,1.0,0.0,0.0,0.43142380199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.45731567485714286,1.8887394768571428,0.5,0.143807934,0.0,0.1524385582857143,2019,0-10,4_clusters
Suriname,1.0,0.0,,,0.4773,,,,,0.2917,,,1.0,0.0,0.0,0.0,0.4773,0.0,0.0,0.0,0.2917,0.0,0.0,1.7690000000000001,0.5,0.1591,0.0,0.09723333333333334,2019,0-10,4_clusters
Iraq,1.0,0.0,,,0.3376,,,,,0.3194,,,1.0,0.0,0.0,0.0,0.3376,0.0,0.0,0.0,0.3194,0.0,0.0,1.657,0.5,0.11253333333333333,0.0,0.10646666666666667,2019,0-10,4_clusters
Sao Tome and Principe,1.0,0.0,,,0.3424,,,,,0.1389,,,1.0,0.0,0.0,0.0,0.3424,0.0,0.0,0.0,0.1389,0.0,0.0,1.4813,0.5,0.11413333333333332,0.0,0.0463,2019,0-10,4_clusters
Uzbekistan,0.0,0.0,,,0.6207,,,,,0.7917,,,0.0,0.0,0.0,0.0,0.6207,0.0,0.0,0.0,0.7917,0.0,0.0,1.4123999999999999,0.0,0.2069,0.0,0.26389999999999997,2019,0-10,4_clusters
Myanmar,0.0,0.0,1.0,2.775196815,0.3328,,,,,0.2292,,2.917232041,0.0,0.0,0.01,0.3964566878571429,0.3328,0.0,0.0,0.0,0.2292,0.0,0.41674743442857143,1.3852041222857143,0.0,0.24641889595238098,0.0,0.21531581147619047,2019,0-10,4_clusters
Sierra Leone,0.0,0.0,,,0.2717,3.2,,,26.8,0.3472,,,0.0,0.0,0.0,0.0,0.2717,0.4571428571428572,0.0,0.268,0.3472,0.0,0.0,1.344042857142857,0.0,0.09056666666666667,0.24171428571428574,0.11573333333333334,2019,0-10,4_clusters
Equatorial Guinea,1.0,0.0,,,0.2298,,,,,0.0486,,,1.0,0.0,0.0,0.0,0.2298,0.0,0.0,0.0,0.0486,0.0,0.0,1.2784,0.5,0.0766,0.0,0.0162,2019,0-10,4_clusters
Togo,0.0,0.0,,,0.3989,,0.0,,,0.5556,18.47,,0.0,0.0,0.0,0.0,0.3989,0.0,0.0,0.0,0.5556,0.18469999999999998,0.0,1.1391999999999998,0.0,0.13296666666666665,0.0,0.24676666666666666,2019,0-10,4_clusters
Congo (the),0.0,0.0,,,0.3024,3.1,,,18.1,0.1667,,,0.0,0.0,0.0,0.0,0.3024,0.4428571428571429,0.0,0.18100000000000002,0.1667,0.0,0.0,1.092957142857143,0.0,0.1008,0.20795238095238097,0.05556666666666666,2019,0-10,4_clusters
Grenada,0.0,0.0,,,0.593,,,,,0.4931,,,0.0,0.0,0.0,0.0,0.593,0.0,0.0,0.0,0.4931,0.0,0.0,1.0861,0.0,0.19766666666666666,0.0,0.16436666666666666,2019,0-10,4_clusters
Maldives,0.0,0.0,,,0.5615,,,,,0.4931,,,0.0,0.0,0.0,0.0,0.5615,0.0,0.0,0.0,0.4931,0.0,0.0,1.0546,0.0,0.18716666666666668,0.0,0.16436666666666666,2019,0-10,4_clusters
