pais_original,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,total_score,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,year,scale,framework
Switzerland,1.0,0.0,36.0,4.005452329,0.852,5.7,156.0,2.193124598,82.1,0.8472,95.46,4.535911667,1.0,0.0,0.36,0.5722074755714285,0.852,0.8142857142857143,0.5921683286852254,0.821,0.8472,0.9545999999999999,0.647987381,7.4614488995423685,0.5,0.5947358251904761,0.7424846809903132,0.8165957936666666,2019,0-10,4_clusters
United Arab Emirates (the),1.0,1.0,,5.428506919,0.8295,5.3,50.0,1.698970004,51.0,0.9444,80.26,6.070518179,1.0,0.5,0.0,0.7755009884285714,0.8295,0.7571428571428571,0.458741025782344,0.51,0.9444,0.8026000000000001,0.8672168827142857,7.445101754068058,0.75,0.5350003294761905,0.5752946276417338,0.8714056275714285,2019,0-10,4_clusters
China,1.0,2.0,,4.281301366,0.6811,4.7,359.0,2.555094449,64.4,0.8611,54.07,4.689164755,1.0,1.0,0.0,0.6116144808571429,0.6811,0.6714285714285715,0.6899042630213693,0.644,0.8611,0.5407,0.6698806792857143,7.3697279945927985,1.0,0.43090482695238097,0.6684442781499803,0.6905602264285714,2019,0-10,4_clusters
Israel,1.0,0.0,41.0,4.439169148,0.7998,5.6,327.0,2.514547753,74.0,0.8264,78.75,4.699666306,1.0,0.0,0.41,0.6341670211428572,0.7998,0.7999999999999999,0.6789561986816032,0.74,0.8264,0.7875,0.6713809008571429,7.3482041206816024,0.5,0.6146556737142856,0.739652066227201,0.7617603002857143,2019,0-10,4_clusters
Malaysia,1.0,1.0,10.0,5.251573608,0.7174,5.4,21.0,1.322219295,55.5,0.8889,67.06,5.581367956,1.0,0.5,0.1,0.7502248011428572,0.7174,0.7714285714285715,0.3570140934033275,0.555,0.8889,0.6706,0.7973382794285715,7.107905745403328,0.75,0.5225416003809524,0.5611475549439664,0.7856127598095238,2019,0-10,4_clusters
Estonia,1.0,1.0,,3.935315769,0.8486,5.4,34.0,1.531478917,52.5,0.9028,72.87,5.013367788,1.0,0.5,0.0,0.562187967,0.8486,0.7714285714285715,0.41351654690462286,0.525,0.9028,0.7287,0.7161953982857143,6.968428483618909,0.75,0.4702626556666667,0.5699817061110647,0.7825651327619049,2019,0-10,4_clusters
Belgium,1.0,0.0,52.0,3.468331399,0.808,4.8,55.0,1.740362689,73.4,0.7569,78.1,4.252946583,1.0,0.0,0.52,0.4954759141428572,0.808,0.6857142857142857,0.4699175166751081,0.7340000000000001,0.7569,0.7809999999999999,0.6075637975714285,6.85857151410368,0.5,0.6078253047142858,0.6298772674631313,0.7151545991904763,2019,0-10,4_clusters
Luxembourg,1.0,0.0,,4.675078127,0.8334,5.2,15.0,1.176091259,68.2,0.9236,87.18,5.723238429,1.0,0.0,0.0,0.6678683038571428,0.8334,0.7428571428571429,0.3175578787718894,0.682,0.9236,0.8718,0.8176054898571429,6.856688815343319,0.5,0.5004227679523809,0.5808050072096774,0.8710018299523808,2019,0-10,4_clusters
Republic of Korea (the),0.0,2.0,,3.884520411,0.901,5.0,67.0,1.826074803,78.2,0.9792,71.74,4.880241203,0.0,1.0,0.0,0.5549314872857143,0.901,0.7142857142857143,0.49306075228595486,0.782,0.9792,0.7173999999999999,0.6971773147142857,6.839055268571668,0.5,0.48531049576190477,0.663115488857223,0.7979257715714286,2019,0-10,4_clusters
Poland,1.0,1.0,49.0,3.075885151,0.7926,4.2,74.0,1.86923172,48.7,0.9306,62.34,3.267629984,1.0,0.5,0.49,0.43941216442857145,0.7926,0.6,0.5047136056780525,0.48700000000000004,0.9306,0.6234000000000001,0.46680428342857144,6.834530053535196,0.75,0.5740040548095239,0.5305712018926841,0.6736014278095238,2019,0-10,4_clusters
Iceland,1.0,1.0,,3.629998556,0.8316,5.7,13.0,1.113943352,65.7,0.7292,80.13,4.595660107,1.0,0.5,0.0,0.5185712222857143,0.8316,0.8142857142857143,0.3007772443049575,0.657,0.7292,0.8012999999999999,0.6565228724285713,6.8092570533049575,0.75,0.4500570740952381,0.5906876528635573,0.7290076241428571,2019,0-10,4_clusters
Russian Federation (the),1.0,1.0,43.0,3.341901961,0.7969,4.8,65.0,1.812913357,50.7,0.9167,39.81,3.82406796,1.0,0.5,0.43,0.47741456585714287,0.7969,0.6857142857142857,0.48950701371222843,0.507,0.9167,0.3981,0.5462954228571428,6.747631288140799,0.75,0.5681048552857143,0.5607404331421714,0.6203651409523809,2019,0-10,4_clusters
Portugal,1.0,0.0,37.0,3.610032165,0.8031,4.6,50.0,1.698970004,53.1,0.9306,75.47,4.70562278,1.0,0.0,0.37,0.5157188807142857,0.8031,0.6571428571428571,0.458741025782344,0.531,0.9306,0.7547,0.6722318257142856,6.693234589353772,0.5,0.562939626904762,0.5489612943084005,0.7858439419047619,2019,0-10,4_clusters
Czech Republic,1.0,1.0,50.0,3.156732848,0.7084,5.0,26.0,1.414973348,57.3,0.6528,71.44,3.341610873,1.0,0.5,0.5,0.45096183542857143,0.7084,0.7142857142857143,0.38205873181278227,0.573,0.6528,0.7143999999999999,0.4773729818571429,6.673279263384212,0.75,0.5531206118095238,0.5564481486994989,0.6148576606190476,2019,0-10,4_clusters
Mexico,1.0,1.0,65.0,3.104027465,0.6818,3.8,47.0,1.672097858,42.7,0.9236,48.76,3.89571611,1.0,0.5,0.65,0.44343249500000004,0.6818,0.5428571428571428,0.45148524387213385,0.42700000000000005,0.9236,0.4876,0.5565308728571429,6.664305754586419,0.75,0.591744165,0.47378079557642555,0.655910290952381,2019,0-10,4_clusters
Latvia,1.0,1.0,64.0,3.019002782,0.6996,4.7,13.0,1.113943352,42.0,0.6667,69.94,3.632244256,1.0,0.5,0.64,0.4312861117142857,0.6996,0.6714285714285715,0.3007772443049575,0.42,0.6667,0.6994,0.5188920365714286,6.548083964019243,0.75,0.5902953705714286,0.4640686052445096,0.6283306788571429,2019,0-10,4_clusters
Ireland,1.0,0.0,,3.577437049,0.8287,5.2,67.0,1.826074803,67.0,0.8264,78.71,4.782631498,1.0,0.0,0.0,0.5110624355714285,0.8287,0.7428571428571429,0.49306075228595486,0.67,0.8264,0.7870999999999999,0.6832330711428571,6.542413401857383,0.5,0.44658747852380953,0.6353059650476993,0.7655776903809524,2019,0-10,4_clusters
Uruguay,1.0,1.0,55.0,3.190974494,0.7858,4.5,4.0,0.6020599913,36.4,0.8889,58.81,4.090727646,1.0,0.5,0.55,0.45585349914285717,0.7858,0.6428571428571429,0.16256297482664156,0.364,0.8889,0.5881000000000001,0.5843896637142858,6.5224632805409275,0.75,0.5972178330476191,0.3898067058945949,0.6871298879047619,2019,0-10,4_clusters
Spain,1.0,0.0,,3.155687377,0.8415,4.2,186.0,2.269512944,62.9,0.9375,72.88,3.722468585,1.0,0.0,0.0,0.4508124824285714,0.8415,0.6,0.612794041981725,0.629,0.9375,0.7288,0.5317812264285714,6.332187750838867,0.5,0.4307708274761905,0.6139313473272416,0.7326937421428572,2019,0-10,4_clusters
Lithuania,1.0,1.0,,3.053760491,0.7534,4.8,16.0,1.204119983,47.4,0.7986,72.14,4.152034548,1.0,0.5,0.0,0.4362514987142857,0.7534,0.6857142857142857,0.3251259497612876,0.474,0.7986,0.7214,0.5931477925714285,6.2876395267612875,0.75,0.39655049957142857,0.4949467451585244,0.7043825975238095,2019,0-10,4_clusters
Slovenia,1.0,0.0,49.0,2.725934666,0.7714,4.8,12.0,1.079181246,57.9,0.7986,72.96,3.481467363,1.0,0.0,0.49,0.389419238,0.7714,0.6857142857142857,0.29139108438026795,0.579,0.7986,0.7295999999999999,0.49735248042857144,6.232477088523125,0.5,0.5502730793333334,0.518701790031518,0.6751841601428571,2019,0-10,4_clusters
Chile,1.0,0.0,52.0,3.097980208,0.735,4.2,26.0,1.414973348,41.3,0.8333,70.45,3.91537854,1.0,0.0,0.52,0.4425686011428572,0.735,0.6,0.38205873181278227,0.413,0.8333,0.7045,0.5593397914285714,6.189767124384211,0.5,0.5658562003809524,0.4650195772709274,0.6990465971428571,2019,0-10,4_clusters
Brazil,1.0,0.0,68.0,3.050402322,0.7327,3.2,160.0,2.204119983,47.8,0.9236,40.8,3.128275675,1.0,0.0,0.68,0.4357717602857143,0.7327,0.4571428571428572,0.595137206406372,0.478,0.9236,0.408,0.446896525,6.157248348834943,0.5,0.6161572534285714,0.5100933545164097,0.592832175,2019,0-10,4_clusters
Taiwan,1.0,2.0,90.0,3.850857285,,5.1,45.0,1.653212514,80.8,,,5.035224129,1.0,1.0,0.9,0.5501224692857143,0.0,0.7285714285714285,0.4463859884065191,0.8079999999999999,0.0,0.0,0.7193177327142858,6.152397618977947,1.0,0.4833741564285714,0.6609858056593159,0.23977257757142859,2019,0-10,4_clusters
Qatar,1.0,0.0,,5.646519393,0.7132,5.2,1.0,0.0,50.3,0.7917,63.73,5.881188621,1.0,0.0,0.0,0.8066456275714285,0.7132,0.7428571428571429,0.0,0.503,0.7917,0.6373,0.840169803,6.034872573428571,0.5,0.5066152091904762,0.4152857142857143,0.7563899343333332,2019,0-10,4_clusters
Malta,1.0,0.0,,3.590713819,0.8011,4.8,8.0,0.903089987,51.0,0.8403,68.7,4.758123125,1.0,0.0,0.0,0.512959117,0.8011,0.6857142857142857,0.2438444622534629,0.51,0.8403,0.687,0.679731875,5.9606497399677485,0.5,0.43801970566666665,0.4798529159892495,0.7356772916666667,2019,0-10,4_clusters
Colombia,1.0,0.0,64.0,3.34090085,0.6871,3.9,10.0,1.0,35.5,0.8819,45.74,4.33303721,1.0,0.0,0.64,0.47727155000000004,0.6871,0.5571428571428572,0.27001125664508435,0.355,0.8819,0.45740000000000003,0.6190053157142856,5.944830979502227,0.5,0.6014571833333334,0.39405137126264717,0.6527684385714286,2019,0-10,4_clusters
Slovakia,1.0,0.0,47.0,3.114342312,0.7155,4.7,8.0,0.903089987,46.6,0.7361,67.27,3.520244293,1.0,0.0,0.47,0.4449060445714285,0.7155,0.6714285714285715,0.2438444622534629,0.466,0.7361,0.6727,0.5028920418571429,5.9233711201106045,0.5,0.5434686815238096,0.46042434456067816,0.6372306806190475,2019,0-10,4_clusters
Turkey,1.0,0.0,37.0,3.704993319,0.7112,3.4,41.0,1.612783857,44.0,0.8889,46.36,3.883508799,1.0,0.0,0.37,0.5292847598571429,0.7112,0.4857142857142857,0.435469795925476,0.44,0.8889,0.4636,0.5547869712857143,5.8789558127826185,0.5,0.5368282532857144,0.45372802721325395,0.6357623237619048,2019,0-10,4_clusters
Bulgaria,1.0,0.0,45.0,3.138584187,0.7177,4.2,16.0,1.204119983,43.9,0.7639,52.36,3.768608177,1.0,0.0,0.45,0.4483691695714286,0.7177,0.6,0.3251259497612876,0.439,0.7639,0.5236,0.5383725967142857,5.806067716047002,0.5,0.5386897231904763,0.4547086499204292,0.6086241989047619,2019,0-10,4_clusters
Hungary,1.0,1.0,,2.924026633,0.7265,3.5,24.0,1.380211242,48.0,0.7361,56.41,3.478460133,1.0,0.5,0.0,0.41771809042857144,0.7265,0.5,0.3726725718880926,0.48,0.7361,0.5640999999999999,0.49692287614285713,5.794013538459522,0.75,0.3814060301428572,0.45089085729603084,0.5990409587142856,2019,0-10,4_clusters
Greece,1.0,0.0,46.0,2.57880582,0.7833,4.2,21.0,1.322219295,45.0,0.8194,50.41,2.925068291,1.0,0.0,0.46,0.36840083142857144,0.7833,0.6,0.3570140934033275,0.45,0.8194,0.5041,0.41786689871428573,5.7600818235461855,0.5,0.5372336104761904,0.46900469780110915,0.580455632904762,2019,0-10,4_clusters
Philippines (the),1.0,0.0,30.0,3.464000006,0.6512,5.1,9.0,0.9542425094,37.2,0.8819,44.86,3.98325242,1.0,0.0,0.3,0.49485714371428574,0.6512,0.7285714285714285,0.2576562191072527,0.37200000000000005,0.8819,0.4486,0.56903606,5.703820851392967,0.5,0.4820190479047619,0.45274254922622714,0.6331786866666667,2019,0-10,4_clusters
Argentina,1.0,0.0,60.0,2.502277837,0.7335,4.0,31.0,1.491361694,40.5,0.75,49.56,2.581649556,1.0,0.0,0.6,0.3574682624285714,0.7335,0.5714285714285714,0.4026844451092818,0.405,0.75,0.49560000000000004,0.36880707942857144,5.684488358394996,0.5,0.5636560874761904,0.459704338845951,0.5381356931428571,2019,0-10,4_clusters
Kenya,1.0,1.0,15.0,3.797694729,0.4541,4.7,13.0,1.113943352,36.5,0.625,37.37,4.829072421,1.0,0.5,0.15,0.5425278184285715,0.4541,0.6714285714285715,0.3007772443049575,0.365,0.625,0.3737,0.6898674887142857,5.672401122876386,0.75,0.3822092728095238,0.4457352719111763,0.5628558295714285,2019,0-10,4_clusters
Cyprus,1.0,0.0,,3.307857801,0.7736,4.9,10.0,1.0,44.7,0.7847,69.47,3.681445197,1.0,0.0,0.0,0.4725511144285714,0.7736,0.7000000000000001,0.27001125664508435,0.447,0.7847,0.6947,0.5259207424285715,5.668483113502227,0.5,0.41538370480952375,0.4723370855483615,0.6684402474761905,2019,0-10,4_clusters
Tunisia,1.0,1.0,22.0,2.84161844,0.6254,4.4,7.0,0.84509804,32.7,0.8056,39.93,3.58623523,1.0,0.5,0.22,0.40594549142857145,0.6254,0.6285714285714287,0.22818598376869775,0.327,0.8056,0.3993,0.5123193185714287,5.652322222340127,0.75,0.4171151638095238,0.39458580411337546,0.5724064395238094,2019,0-10,4_clusters
Romania,1.0,0.0,51.0,2.895348472,0.6671,4.4,25.0,1.397940009,39.6,0.6597,40.93,3.348982274,1.0,0.0,0.51,0.41362121028571425,0.6671,0.6285714285714287,0.37745953854453057,0.396,0.6597,0.4093,0.47842603914285714,5.540178216544531,0.5,0.5302404034285714,0.4673436557053197,0.5158086797142857,2019,0-10,4_clusters
Thailand,1.0,0.0,34.0,3.087674484,0.6543,4.4,8.0,0.903089987,42.1,0.6389,53.49,3.885037534,1.0,0.0,0.34,0.4410963548571428,0.6543,0.6285714285714287,0.2438444622534629,0.42100000000000004,0.6389,0.5349,0.555005362,5.457617607682034,0.5,0.4784654516190476,0.43113863027496385,0.5762684539999999,2019,0-10,4_clusters
Indonesia,1.0,0.0,25.0,4.15277275,0.5258,4.7,21.0,1.322219295,37.1,0.5694,45.51,4.386056843,1.0,0.0,0.25,0.59325325,0.5258,0.6714285714285715,0.3570140934033275,0.371,0.5694,0.4551,0.626579549,5.419575463831899,0.5,0.4563510833333333,0.46648088827729967,0.5503598496666666,2019,0-10,4_clusters
Serbia,1.0,0.0,41.0,2.845059683,0.7155,4.2,4.0,0.6020599913,39.7,0.7361,47.44,3.234757177,1.0,0.0,0.41,0.4064370975714286,0.7155,0.6,0.16256297482664156,0.397,0.7361,0.4744,0.46210816814285716,5.3641082405409275,0.5,0.5106456991904762,0.38652099160888054,0.557536056047619,2019,0-10,4_clusters
Oman,1.0,0.0,14.0,3.656327245,0.6846,4.9,0.0,,32.6,0.8125,49.89,4.455148255,1.0,0.0,0.14,0.5223324635714286,0.6846,0.7000000000000001,0.0,0.326,0.8125,0.4989,0.6364497507142858,5.320782214285715,0.5,0.44897748785714287,0.342,0.6492832502380952,2019,0-10,4_clusters
Mauritius,1.0,0.0,,3.424767371,0.6678,4.5,2.0,0.3010299957,38.3,0.7292,68.96,4.444294591,1.0,0.0,0.0,0.4892524815714286,0.6678,0.6428571428571429,0.08128148742682134,0.38299999999999995,0.7292,0.6896,0.6348992272857144,5.3178903391411065,0.5,0.3856841605238095,0.36904621009465477,0.6845664090952382,2019,0-10,4_clusters
The former Yugoslav Republic of Macedonia,1.0,0.0,31.0,3.902757855,0.6312,3.6,2.0,0.3010299957,31.1,0.7153,47.51,4.820953216,1.0,0.0,0.31,0.5575368364285714,0.6312,0.5142857142857143,0.08128148742682134,0.311,0.7153,0.47509999999999997,0.6887076022857144,5.284411640426822,0.5,0.4995789454761905,0.3021890672375119,0.6263692007619047,2019,0-10,4_clusters
Croatia,1.0,0.0,39.0,2.672116753,0.7018,3.6,4.0,0.6020599913,37.7,0.6806,57.22,3.447480347,1.0,0.0,0.39,0.38173096471428575,0.7018,0.5142857142857143,0.16256297482664156,0.377,0.6806,0.5722,0.49249719242857143,5.272676846255212,0.5,0.49117698823809525,0.3512828963707853,0.5817657308095239,2019,0-10,4_clusters
Ukraine,1.0,0.0,48.0,3.022535527,0.6165,4.4,30.0,1.477121255,39.0,0.5694,30.7,3.107435262,1.0,0.0,0.48,0.4317907895714286,0.6165,0.6285714285714287,0.39883936627971406,0.39,0.5694,0.307,0.44391932314285715,5.26602090756543,0.5,0.5094302631904762,0.47247026495038097,0.44010644104761903,2019,0-10,4_clusters
Azerbaijan,1.0,0.0,,4.153780695,0.6574,5.2,,,36.0,0.7292,41.29,5.236934866,1.0,0.0,0.0,0.5933972421428572,0.6574,0.7428571428571429,0.0,0.36,0.7292,0.4129,0.7481335522857143,5.243887937285714,0.5,0.4169324140476191,0.36761904761904757,0.6300778507619048,2019,0-10,4_clusters
Kazakhstan,1.0,0.0,,3.402427653,0.7597,4.6,2.0,0.3010299957,32.1,0.8681,43.66,4.380465467,1.0,0.0,0.0,0.4860610932857143,0.7597,0.6571428571428571,0.08128148742682134,0.321,0.8681,0.4366,0.6257807809999999,5.235666218855393,0.5,0.4152536977619048,0.35314144818989285,0.6434935936666667,2019,0-10,4_clusters
Costa Rica,1.0,0.0,23.0,2.933128148,0.7004,5.0,1.0,0.0,40.4,0.6736,53.99,3.645518931,1.0,0.0,0.23,0.41901830685714286,0.7004,0.7142857142857143,0.0,0.40399999999999997,0.6736,0.5399,0.5207884187142857,5.201992439857143,0.5,0.44980610228571427,0.3727619047619048,0.5780961395714286,2019,0-10,4_clusters
Montenegro,1.0,0.0,35.0,3.229536831,0.6966,4.1,0.0,,34.9,0.6667,47.76,4.258485353,1.0,0.0,0.35,0.4613624044285714,0.6966,0.5857142857142856,0.0,0.349,0.6667,0.47759999999999997,0.6083550504285714,5.195331740571428,0.5,0.5026541348095238,0.31157142857142855,0.5842183501428572,2019,0-10,4_clusters
South Africa,1.0,0.0,40.0,2.768414587,0.6618,3.5,26.0,1.414973348,,0.8333,51.92,3.220634927,1.0,0.0,0.4,0.39548779814285717,0.6618,0.5,0.38205873181278227,0.0,0.8333,0.5192,0.46009070385714285,5.151937233812782,0.5,0.4857625993809524,0.2940195772709274,0.6041969012857143,2019,0-10,4_clusters
Panama,1.0,0.0,25.0,3.972032669,0.6092,3.7,0.0,,37.5,0.6597,49.78,4.539007934,1.0,0.0,0.25,0.5674332384285714,0.6092,0.5285714285714286,0.0,0.375,0.6597,0.4978,0.6484297048571428,5.136134371857143,0.5,0.4755444128095238,0.3011904761904762,0.6019765682857142,2019,0-10,4_clusters
Viet Nam,1.0,0.0,,3.8523911,0.5931,3.7,10.0,1.0,33.4,0.7361,45.43,4.301589267,1.0,0.0,0.0,0.5503415857142857,0.5931,0.5285714285714286,0.27001125664508435,0.33399999999999996,0.7361,0.4543,0.6145127524285714,5.08093702335937,0.5,0.3811471952380952,0.37752756173883767,0.6016375841428571,2019,0-10,4_clusters
Peru,1.0,0.0,29.0,2.693362267,0.6461,3.6,8.0,0.903089987,31.9,0.8194,40.94,3.145826379,1.0,0.0,0.29,0.38476603814285715,0.6461,0.5142857142857143,0.2438444622534629,0.319,0.8194,0.4094,0.4494037684285714,5.076199983110606,0.5,0.44028867938095234,0.35904339217972575,0.5594012561428572,2019,0-10,4_clusters
Iran (Islamic Republic of),1.0,0.0,21.0,3.178290541,0.6083,4.2,9.0,0.9542425094,37.6,0.6319,40.1,3.574009031,1.0,0.0,0.21,0.45404150585714287,0.6083,0.6,0.2576562191072527,0.376,0.6319,0.401,0.5105727187142858,5.049470443678682,0.5,0.4241138352857143,0.41121873970241757,0.5144909062380952,2019,0-10,4_clusters
Trinidad and Tobago,1.0,0.0,21.0,2.880084033,0.644,4.4,3.0,0.4771212547,33.5,0.6389,50.71,3.736408561,1.0,0.0,0.21,0.4114405761428572,0.644,0.6285714285714287,0.12882810955362636,0.335,0.6389,0.5071,0.5337726515714286,5.0376127658393415,0.5,0.42181352538095246,0.3641331793750184,0.5599242171904762,2019,0-10,4_clusters
Jordan,1.0,0.0,,3.668547741,0.5575,4.7,4.0,0.6020599913,38.9,0.4931,48.55,4.509342807,1.0,0.0,0.0,0.5240782487142857,0.5575,0.6714285714285715,0.16256297482664156,0.389,0.4931,0.4855,0.6441918295714286,4.927361624540927,0.5,0.36052608290476185,0.40766384875173767,0.5409306098571428,2019,0-10,4_clusters
Ghana,1.0,0.0,16.0,3.489354708,0.539,4.1,4.0,0.6020599913,32.7,0.6944,40.15,3.63679244,1.0,0.0,0.16,0.498479244,0.539,0.5857142857142856,0.16256297482664156,0.327,0.6944,0.40149999999999997,0.5195417771428571,4.888198281683784,0.5,0.39915974800000004,0.35842575351364236,0.5384805923809522,2019,0-10,4_clusters
Georgia,1.0,0.0,,3.049373002,0.6893,3.7,2.0,0.3010299957,32.7,0.6944,57.88,3.697181962,1.0,0.0,0.0,0.43562471457142854,0.6893,0.5285714285714286,0.08128148742682134,0.327,0.6944,0.5788,0.5281688517142857,4.863146482283964,0.5,0.37497490485714285,0.31228430533275,0.6004562839047619,2019,0-10,4_clusters
Dominican Republic (the),1.0,0.0,27.0,3.227629079,0.5726,3.6,3.0,0.4771212547,31.4,0.6597,38.98,3.452743504,1.0,0.0,0.27,0.46108986842857147,0.5726,0.5142857142857143,0.12882810955362636,0.314,0.6597,0.3898,0.49324907199999996,4.803552764267913,0.5,0.43456328947619055,0.3190379412797802,0.5142496906666666,2019,0-10,4_clusters
Saudi Arabia,0.0,0.0,,4.500831761,0.7119,5.1,4.0,0.6020599913,47.4,0.7917,51.2,5.284137488,0.0,0.0,0.0,0.6429759658571428,0.7119,0.7285714285714285,0.16256297482664156,0.474,0.7917,0.512,0.754876784,4.778587153255213,0.0,0.4516253219523809,0.45504480113269,0.6861922613333333,2019,0-10,4_clusters
Kuwait,1.0,0.0,,2.938677127,0.7388,4.2,1.0,0.0,30.5,0.7917,40.69,3.239248697,1.0,0.0,0.0,0.41981101814285715,0.7388,0.6,0.0,0.305,0.7917,0.4069,0.4627498138571428,4.724960832000001,0.5,0.3862036727142857,0.3016666666666667,0.5537832712857143,2019,0-10,4_clusters
Morocco,1.0,0.0,,3.03417513,0.5214,3.7,5.0,0.6989700043,34.0,0.6667,42.69,4.279451925,1.0,0.0,0.0,0.43345359,0.5214,0.5285714285714286,0.188729769218263,0.34,0.6667,0.4269,0.611350275,4.717105062789692,0.5,0.31828452999999995,0.35243373259656385,0.5683167583333333,2019,0-10,4_clusters
Armenia,1.0,0.0,,2.84786116,0.5944,4.4,3.0,0.4771212547,38.8,0.5625,41.47,4.147149382,1.0,0.0,0.0,0.4068373085714286,0.5944,0.6285714285714287,0.12882810955362636,0.38799999999999996,0.5625,0.4147,0.5924499117142857,4.716286758410769,0.5,0.3337457695238095,0.381799846041685,0.5232166372380953,2019,0-10,4_clusters
Ecuador,1.0,0.0,,3.280701637,0.6129,3.7,2.0,0.3010299957,32.0,0.7292,34.45,3.92920351,1.0,0.0,0.0,0.46867166242857144,0.6129,0.5285714285714286,0.08128148742682134,0.32,0.7292,0.34450000000000003,0.5613147871428571,4.6464393655696785,0.5,0.36052388747619046,0.3099509719994167,0.545004929047619,2019,0-10,4_clusters
Albania,1.0,0.0,36.0,3.829768256,0.6519,,0.0,,31.7,0.7361,45.16,3.855157993,1.0,0.0,0.36,0.5471097508571429,0.6519,0.0,0.0,0.317,0.7361,0.45159999999999995,0.5507368561428572,4.614446607,0.5,0.519669916952381,0.10566666666666667,0.579478952047619,2019,0-10,4_clusters
Pakistan,1.0,0.0,19.0,3.551027118,0.3566,4.1,8.0,0.903089987,34.9,0.5486,29.35,3.469958011,1.0,0.0,0.19,0.5072895882857142,0.3566,0.5857142857142856,0.2438444622534629,0.349,0.5486,0.29350000000000004,0.4957082872857143,4.570256623539176,0.5,0.3512965294285714,0.3928529159892495,0.4459360957619048,2019,0-10,4_clusters
El Salvador,1.0,0.0,35.0,3.031478098,0.5469,3.3,0.0,,26.9,0.625,38.25,3.415403059,1.0,0.0,0.35,0.43306829971428573,0.5469,0.4714285714285714,0.0,0.26899999999999996,0.625,0.3825,0.4879147227142857,4.565811593857143,0.5,0.4433227665714286,0.2468095238095238,0.49847157423809524,2019,0-10,4_clusters
Republic of Moldova (the),1.0,0.0,,2.521036094,0.659,4.4,0.0,,30.2,0.7708,29.86,3.603804528,1.0,0.0,0.0,0.3601480134285714,0.659,0.6285714285714287,0.0,0.302,0.7708,0.2986,0.5148292182857143,4.533948660285715,0.5,0.3397160044761905,0.3101904761904762,0.528076406095238,2019,0-10,4_clusters
Jamaica,1.0,0.0,26.0,2.876676257,0.4697,3.9,1.0,0.0,34.3,0.3194,55.4,3.931645187,1.0,0.0,0.26,0.41095375100000003,0.4697,0.5571428571428572,0.0,0.34299999999999997,0.3194,0.5539999999999999,0.5616635981428572,4.475860206285714,0.5,0.380217917,0.30004761904761906,0.4783545327142857,2019,0-10,4_clusters
Nepal,1.0,0.0,20.0,2.863881175,0.4748,3.7,3.0,0.4771212547,29.0,0.6875,25.03,3.015901334,1.0,0.0,0.2,0.4091258821428571,0.4748,0.5285714285714286,0.12882810955362636,0.29,0.6875,0.2503,0.4308430477142857,4.399968467982198,0.5,0.36130862738095243,0.31579984604168493,0.45621434923809523,2019,0-10,4_clusters
Bolivia (Plurinational State of),1.0,0.0,30.0,3.294476811,0.5307,3.3,1.0,0.0,26.9,0.5625,31.03,3.391835372,1.0,0.0,0.3,0.4706395444285714,0.5307,0.4714285714285714,0.0,0.26899999999999996,0.5625,0.3103,0.4845479102857143,4.399116026142857,0.5,0.43377984814285714,0.2468095238095238,0.4524493034285714,2019,0-10,4_clusters
Seychelles,1.0,0.0,,3.694561008,0.6163,4.4,,,43.5,0.6181,,4.0,1.0,0.0,0.0,0.5277944297142857,0.6163,0.6285714285714287,0.0,0.435,0.6181,0.0,0.5714285714285714,4.397194429714285,0.5,0.3813648099047619,0.3545238095238095,0.39650952380952376,2019,0-10,4_clusters
Uganda,1.0,0.0,,3.541812152,0.4055,3.5,5.0,0.6989700043,29.8,0.5694,31.02,4.145289293,1.0,0.0,0.0,0.5059731645714286,0.4055,0.5,0.188729769218263,0.298,0.5694,0.3102,0.5921841847142858,4.369987118503977,0.5,0.30382438819047625,0.32890992307275435,0.4905947282380952,2019,0-10,4_clusters
Zambia,1.0,0.0,19.0,3.88006315,0.4111,3.7,1.0,0.0,28.1,0.4792,28.83,4.108161307,1.0,0.0,0.19,0.5542947357142857,0.4111,0.5285714285714286,0.0,0.281,0.4792,0.2883,0.5868801867142857,4.319346351,0.5,0.3851315785714286,0.26985714285714285,0.45146006223809526,2019,0-10,4_clusters
Senegal,1.0,0.0,,3.812378801,0.3486,4.4,0.0,,31.2,0.4792,33.57,4.104471518,1.0,0.0,0.0,0.544625543,0.3486,0.6285714285714287,0.0,0.312,0.4792,0.3357,0.586353074,4.235050045571429,0.5,0.29774184766666667,0.31352380952380954,0.467084358,2019,0-10,4_clusters
Tanzania,1.0,0.0,20.0,3.255527556,0.3929,3.6,0.0,,27.2,0.5625,31.51,3.59198693,1.0,0.0,0.2,0.46507536514285713,0.3929,0.5142857142857143,0.0,0.272,0.5625,0.3151,0.51314099,4.235002069428572,0.5,0.35265845504761906,0.2620952380952381,0.46358032999999993,2019,0-10,4_clusters
