iso3,entity_type,pais_original,region_pertenece,rank_global,score_global,rank_asia_pacific,score_asia_pacific,rank_africa,score_africa,rank_latam,score_latam,rank_north_america,score_north_america,rank_eastern_europe,score_eastern_europe,rank_australasia,score_australasia,rank_western_europe,score_western_europe
SGP,pais,Singapore,asia_pacific,1.0,9.186142187415337,1.0,9.186142187415337,,,,,,,,,,,,
GBR,pais,United Kingdom,western_europe,2.0,9.069447068700317,,,,,,,,,,,,,2.0,9.069447068700317
DEU,pais,Germany,western_europe,3.0,8.810277159253422,,,,,,,,,,,,,3.0,8.810277159253422
USA,pais,United States of America,north_america,4.0,8.803863418285713,,,,,,,4.0,8.803863418285713,,,,,,
FIN,pais,Finland,western_europe,5.0,8.771773580001518,,,,,,,,,,,,,5.0,8.771773580001518
SWE,pais,Sweden,western_europe,6.0,8.673980635735624,,,,,,,,,,,,,6.0,8.673980635735624
CAN,pais,Canada,north_america,6.0,8.67395600399933,,,,,,,6.0,8.67395600399933,,,,,,
FRA,pais,France,western_europe,8.0,8.60758328690234,,,,,,,,,,,,,8.0,8.60758328690234
DNK,pais,Denmark,western_europe,9.0,8.6008693146795,,,,,,,,,,,,,9.0,8.6008693146795
JPN,pais,Japan,asia_pacific,10.0,8.582054959328348,10.0,8.582054959328348,,,,,,,,,,,,
AUS,pais,Australia,australasia,11.0,8.126228456656282,,,,,,,,,,,11.0,8.126228456656282,,
NOR,pais,Norway,western_europe,12.0,8.079301495863243,,,,,,,,,,,,,12.0,8.079301495863243
NZL,pais,New Zealand,australasia,13.0,7.876043618500537,,,,,,,,,,,13.0,7.876043618500537,,
NLD,pais,Netherlands,western_europe,14.0,7.659131466231635,,,,,,,,,,,,,14.0,7.659131466231635
ITA,pais,Italy,western_europe,15.0,7.532833241521149,,,,,,,,,,,,,15.0,7.532833241521149
AUT,pais,Austria,western_europe,16.0,7.52715336234976,,,,,,,,,,,,,16.0,7.52715336234976
IND,pais,India,asia_pacific,17.0,7.515334304362437,17.0,7.515334304362437,,,,,,,,,,,,
CHE,pais,Switzerland,western_europe,18.0,7.4614488995999855,,,,,,,,,,,,,18.0,7.4614488995999855
ARE,pais,United Arab Emirates,asia_pacific,19.0,7.445101754129278,19.0,7.445101754129278,,,,,,,,,,,,
CHN,pais,China,asia_pacific,20.0,7.369727994434561,20.0,7.369727994434561,,,,,,,,,,,,
ISR,pais,Israel,asia_pacific,21.0,7.348204120546201,21.0,7.348204120546201,,,,,,,,,,,,
MYS,pais,Malaysia,asia_pacific,22.0,7.107905745308519,22.0,7.107905745308519,,,,,,,,,,,,
EST,pais,Estonia,eastern_europe,23.0,6.968428483603719,,,,,,,,,23.0,6.968428483603719,,,,
BEL,pais,Belgium,western_europe,24.0,6.858571514206904,,,,,,,,,,,,,24.0,6.858571514206904
LUX,pais,Luxembourg,western_europe,25.0,6.856688815337926,,,,,,,,,,,,,25.0,6.856688815337926
KOR,pais,Republic of Korea,asia_pacific,26.0,6.839055268459172,26.0,6.839055268459172,,,,,,,,,,,,
POL,pais,Poland,eastern_europe,27.0,6.834530053430091,,,,,,,,,27.0,6.834530053430091,,,,
ISL,pais,Iceland,western_europe,28.0,6.809257053368459,,,,,,,,,,,,,28.0,6.809257053368459
RUS,pais,Russian Federation,eastern_europe,29.0,6.747631288012879,,,,,,,,,29.0,6.747631288012879,,,,
PRT,pais,Portugal,western_europe,30.0,6.693234589414993,,,,,,,,,,,,,30.0,6.693234589414993
CZE,pais,Czechia,eastern_europe,31.0,6.673279263351756,,,,,,,,,31.0,6.673279263351756,,,,
MEX,pais,Mexico,latam,32.0,6.66430575454002,,,,,32.0,6.66430575454002,,,,,,,,
LVA,pais,Latvia,eastern_europe,33.0,6.548083964082745,,,,,,,,,33.0,6.548083964082745,,,,
IRL,pais,Ireland,western_europe,34.0,6.542413401744888,,,,,,,,,,,,,34.0,6.542413401744888
URY,pais,Uruguay,latam,35.0,6.52246328053802,,,,,35.0,6.52246328053802,,,,,,,,
ESP,pais,Spain,western_europe,36.0,6.3321877508582896,,,,,,,,,,,,,36.0,6.3321877508582896
LTU,pais,Lithuania,eastern_europe,37.0,6.287639526647469,,,,,,,,,37.0,6.287639526647469,,,,
SVN,pais,Slovenia,eastern_europe,38.0,6.23247708851724,,,,,,,,,38.0,6.23247708851724,,,,
CHL,pais,Chile,latam,39.0,6.189767124351756,,,,,39.0,6.189767124351756,,,,,,,,
BRA,pais,Brazil,latam,40.0,6.1572483487037575,,,,,40.0,6.1572483487037575,,,,,,,,
TWN,pais,Taiwan,asia_pacific,41.0,6.152397618888574,41.0,6.152397618888574,,,,,,,,,,,,
