pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Belize,2024,0-100,3_pillars_10_dims,37.58701156,,26.7623987,30.50702101,55.49161496,0.0,47.67258131,25.49401341,33.88300008,20.69663317,38.11419539,32.71023447,26.9418933,57.74804968,81.78490189
State of Palestine,2024,0-100,3_pillars_10_dims,37.53267308,,24.63512789,32.75031609,55.21257526,0.0,20.3490152,46.63668097,31.55481539,15.41653706,45.55998338,37.27442782,33.2415922,56.04901957,76.34711402
Guyana,2024,0-100,3_pillars_10_dims,37.23458971,,26.53266825,27.56040046,57.61070043,0.0,48.04729174,23.79437228,34.289009,17.10638635,36.60890241,28.96591261,35.47665454,39.56604571,97.78940104
Samoa,2024,0-100,3_pillars_10_dims,37.16037622,,31.8185904,27.40615462,52.25638365,0.0,33.20735084,40.0854091,53.98160165,19.7628267,39.94084888,22.51478829,30.41092257,43.84882298,82.5094054
Bosnia and Herzegovina,2024,0-100,3_pillars_10_dims,37.01680441,,26.7373587,29.25469296,55.05836159,0.0,44.47798633,29.09484675,33.37660171,18.1024524,33.41787042,36.24375605,32.55421914,53.71866803,78.9021976
Suriname,2024,0-100,3_pillars_10_dims,36.87352519,,25.79481463,27.83807291,56.98768803,0.0,35.88188541,28.77566689,38.52170622,17.91092042,36.69886922,28.90442909,33.7866933,58.08902958,79.08734122
Papua New Guinea,2024,0-100,3_pillars_10_dims,36.84643455,,32.63870963,29.50313732,48.39745672,0.0,40.06404561,45.8013812,44.6894117,17.10395517,40.59297057,30.81248621,24.90052257,35.67155167,84.62029593
Tajikistan,2024,0-100,3_pillars_10_dims,36.71542489,,51.04589401,19.79042437,39.3099563,100.0,31.16683472,32.2765304,40.74021091,4.790178072,29.62210184,24.95899321,30.20041126,42.72945762,45.0
Saint Vincent and the Grenadines,2024,0-100,3_pillars_10_dims,36.6544747,,29.30494357,28.11025266,52.54822786,0.0,41.28708377,29.94064329,45.99204722,19.79486437,34.07487617,30.46101744,29.8934933,51.2185458,76.53264447
Cambodia,2024,0-100,3_pillars_10_dims,36.6318842,,29.17988072,29.31207796,51.40369392,0.0,27.54737056,51.22085933,37.951293,11.98086418,40.10187803,35.85349168,35.45259701,40.05164287,78.7068419
Kyrgyzstan,2024,0-100,3_pillars_10_dims,36.55450391,,34.6767153,24.49355625,50.49324016,0.0,46.7799375,44.18833126,47.73859245,12.55824033,34.09131351,26.83111491,30.4627881,51.4361795,69.58075288
Guatemala,2024,0-100,3_pillars_10_dims,36.4144385,,28.95414311,23.69790992,56.59126248,0.0,43.97291251,33.22103744,38.62262249,14.88451094,35.09336788,21.11585092,38.24544431,61.98215721,69.54618593
Eswatini,2024,0-100,3_pillars_10_dims,36.2250206,,29.11354894,26.19835759,53.36315527,0.0,46.76425133,33.6558656,36.03407885,13.18048271,36.75283907,28.66175098,29.99774771,54.18597095,75.90574714
Lao People's Democratic Republic,2024,0-100,3_pillars_10_dims,36.08236849,,28.09922127,28.78902203,51.35886219,0.0,33.96429806,31.78948004,46.64310697,14.26422136,40.07486406,32.02798066,35.12490255,40.85468725,78.09699676
Djibouti,2024,0-100,3_pillars_10_dims,35.1933629,,23.1279357,32.83921851,49.61293449,0.0,25.43659694,30.35368525,36.7214606,20.05751429,41.35510323,37.105038,27.29082553,45.20086393,76.34711402
United Republic of Tanzania,2024,0-100,3_pillars_10_dims,35.08105029,,36.64384164,20.97501172,47.6242975,0.0,54.82089169,47.47058768,44.28388721,3.393025565,39.59898428,19.9330253,24.54213747,54.96590562,63.36484941
Côte d'Ivoire,2024,0-100,3_pillars_10_dims,34.68702416,,31.14686493,26.09983159,46.81437596,0.0,53.55253818,34.20874106,36.82618047,8.260002397,37.02558891,33.01390347,31.64143793,44.837767,63.96392294
Uganda,2024,0-100,3_pillars_10_dims,34.63065106,,35.56883653,22.22612533,46.09699132,0.0,50.93366669,45.31255466,46.02912478,4.068611254,36.20180176,26.40796299,30.20307279,48.87523567,59.2126655
Kiribati,2024,0-100,3_pillars_10_dims,34.45338779,,30.85108206,26.96295649,45.54612483,0.0,36.09264486,37.55759901,49.75408437,8.976400284,39.71084888,32.20162031,30.03072257,32.15727377,74.45037815
Myanmar,2024,0-100,3_pillars_10_dims,34.25868139,,24.23662944,33.85405807,44.68535666,0.0,28.77887461,30.29802569,37.86961744,9.894808848,46.05141854,45.61594682,32.98938505,40.59008646,60.47659846
Gabon,2024,0-100,3_pillars_10_dims,34.14729966,,25.44592837,27.77426894,49.22170166,0.0,40.06513274,23.5887976,38.12978315,16.73966548,39.90148914,26.6816522,29.72642943,39.5867148,78.35196074
El Salvador,2024,0-100,3_pillars_10_dims,34.08661079,,25.49796483,26.8146817,49.94718584,0.0,23.67161189,44.9219886,33.39825884,17.21171564,30.74314348,32.48918598,29.06760168,45.01426756,75.7596883
Timor-Leste,2024,0-100,3_pillars_10_dims,33.67769811,,27.03047527,26.70028605,47.30233302,0.0,23.67499886,40.04138978,44.40551244,10.82857032,37.64084888,31.63143893,28.29912257,42.5217297,71.08614681
Cameroon,2024,0-100,3_pillars_10_dims,33.45955988,,30.10159683,28.64276544,41.63431737,0.0,43.62007614,31.10707424,45.67923692,10.01308046,40.39641131,35.51880455,22.37487226,32.30856219,70.21951766
Namibia,2024,0-100,3_pillars_10_dims,33.28224969,,28.5648561,25.36412174,45.91777123,0.0,40.42995897,30.02911497,43.80035048,15.19715054,38.82680206,22.06841261,27.80612479,35.16025933,74.78692955
Libya,2024,0-100,3_pillars_10_dims,33.24991869,,16.41366711,34.53219987,48.80388909,0.0,17.9494994,17.2850467,30.42012233,21.00912757,40.33156627,42.25590575,34.92405299,30.68644152,80.80117276
Nepal,2024,0-100,3_pillars_10_dims,33.1391886,,30.60907606,25.4355128,43.37297696,0.0,51.26418089,36.98458886,34.18753447,8.072150376,36.4503091,31.78407893,30.26647414,41.34038283,58.51207391
Bolivia (Plurinational State of),2024,0-100,3_pillars_10_dims,33.07863133,,22.42618663,22.91832334,53.89138403,0.0,32.29159883,31.0616706,26.3514771,14.34798841,28.5820255,25.82495612,25.08865386,64.48031891,72.10517932
Solomon Islands,2024,0-100,3_pillars_10_dims,32.7081543,,27.6860538,27.98456943,42.45383967,0.0,22.09266109,43.46855716,45.18299695,13.56067375,39.24084888,31.15218564,24.81972257,32.15644043,70.38535601
Turkmenistan,2024,0-100,3_pillars_10_dims,32.63799295,,17.03462894,32.91848836,47.96086155,0.0,26.09916356,19.11291727,22.92643494,22.05865795,34.68310287,42.01370425,31.50356194,28.69258424,83.68643847
Zimbabwe,2024,0-100,3_pillars_10_dims,32.59211942,,23.6941344,27.81535935,46.26686451,0.0,36.40736052,28.30659123,30.06258586,11.16766135,34.4042605,37.87415619,21.91856478,53.03645009,63.84557867
Mali,2024,0-100,3_pillars_10_dims,32.26614045,,25.99652474,22.44388118,48.35801545,0.0,37.54476478,31.28920343,35.15213073,8.35071152,32.50807211,26.47285991,25.37329376,58.71672603,60.98402657
Maldives,2024,0-100,3_pillars_10_dims,31.43166425,,33.71338337,17.22096661,43.36064277,0.0,29.35715876,58.13912661,47.35724812,22.9370632,11.00326358,17.72257304,45.482,61.585197,23.0147313
Togo,2024,0-100,3_pillars_10_dims,31.31565682,,31.21114596,20.81625828,41.91956623,0.0,51.98459988,28.42456513,44.43541884,7.080628077,28.02095147,27.3471953,18.79393633,47.84685008,59.11791228
Guinea,2024,0-100,3_pillars_10_dims,30.21187153,,25.62621015,22.23596587,42.77343856,0.0,40.65700631,25.97865308,35.86918119,7.042749959,34.94776537,24.71738229,22.94154771,30.01502057,75.36374739
Honduras,2024,0-100,3_pillars_10_dims,29.83450267,,24.72467904,21.76732116,43.01150779,0.0,40.85965518,25.87764857,32.1614124,16.86992394,25.87732779,22.55471176,21.34793801,29.82146608,77.8651193
Sao Tome and Principe,2024,0-100,3_pillars_10_dims,29.63431198,,24.82046335,23.69224659,40.39022601,0.0,41.48873396,21.88444821,35.90867121,10.19961121,34.12347966,26.7536489,24.31712549,31.3495041,65.50404844
Malawi,2024,0-100,3_pillars_10_dims,29.31673864,,27.84723617,23.78700918,36.31597057,0.0,53.50863384,28.16209915,29.71821168,7.868445834,36.72498761,26.76759411,16.69881238,30.76816982,61.48092949
Burkina Faso,2024,0-100,3_pillars_10_dims,29.27660868,,25.69119633,21.21836595,40.92026377,0.0,47.84673234,30.31900209,24.5990509,5.452759546,31.58827633,26.61406198,19.32119775,54.40734778,49.03224578
"Venezuela, Bolivarian Republic of",2024,0-100,3_pillars_10_dims,29.20533246,,15.49877954,26.0014182,46.11579964,0.0,11.19598799,24.25660051,26.54252966,12.8685063,35.23114803,29.90460026,21.43956361,41.255784,75.65205131
Madagascar,2024,0-100,3_pillars_10_dims,28.80438299,,25.29606193,21.19296443,39.9241226,0.0,41.27001041,29.12523583,30.78900146,6.131418787,28.78690231,28.66057219,17.7642124,31.98898204,70.01917338
Nicaragua,2024,0-100,3_pillars_10_dims,28.53113047,,20.07329212,21.88264401,43.63745528,0.0,32.81923513,24.96399669,22.50993665,13.30146511,26.50766046,25.83880648,23.03249594,37.31245106,70.56741885
Lesotho,2024,0-100,3_pillars_10_dims,28.21246421,,24.66286577,21.07745587,38.89707098,0.0,43.84651405,23.9497742,30.85517484,9.714080415,38.07079586,15.44749133,13.65685754,35.88209471,67.1522607
Equatorial Guinea,2024,0-100,3_pillars_10_dims,27.09253188,,19.28270036,25.6812007,36.31369458,0.0,29.68424265,14.27316421,33.17339459,16.04874525,37.3008436,23.69401324,18.67549071,20.81037619,69.45521684
Gambia (Republic of The),2024,0-100,3_pillars_10_dims,26.94732127,,23.253201,19.67077236,37.91799046,0.0,49.61770801,17.45244737,25.94264861,1.280335171,30.77666991,26.95531199,22.82193633,36.54227903,54.38975602
Angola,2024,0-100,3_pillars_10_dims,26.90798042,,19.7326763,15.86558667,45.1256783,0.0,40.77319437,22.59661708,15.56089378,8.691081657,27.45800788,11.44767046,16.6825532,41.61425127,77.08023043
Comoros,2024,0-100,3_pillars_10_dims,26.64694936,,17.22351605,23.74953795,38.96779408,0.0,18.25565113,19.26951903,31.36889403,11.97147355,34.12347966,25.15366064,21.36914771,48.3061407,47.22809382
Niger,2024,0-100,3_pillars_10_dims,25.74480776,,24.21976233,17.14671665,35.86794431,0.0,41.21929416,22.13067054,33.52908462,3.591416108,31.69702417,16.15170967,16.82533633,35.52941618,55.24908043
Guinea Bissau,2024,0-100,3_pillars_10_dims,25.70947239,,14.65190088,20.46294771,42.01356857,0.0,13.53243963,17.22678948,27.8483744,7.261041611,30.28637146,23.84143007,23.47333633,31.36429621,71.20307318
Sierra Leone,2024,0-100,3_pillars_10_dims,25.33586896,,21.95526898,17.72473624,36.32760166,0.0,35.36035934,21.55240758,30.90830901,2.276452122,25.40139657,25.49636002,13.60840114,30.72190444,64.65249941
Somalia,2024,0-100,3_pillars_10_dims,25.32030544,,19.05225951,20.36463977,36.54401702,0.0,30.468567,21.82159651,23.91887455,5.830808779,28.32501362,26.93809692,16.53353633,35.30833636,57.79017838
Congo,2024,0-100,3_pillars_10_dims,25.11623832,,22.4009496,22.70723092,30.24053445,0.0,33.9878642,22.80606946,32.80986474,11.02750693,36.72459478,20.36959106,19.84714771,19.30680053,51.56765511
Sudan,2024,0-100,3_pillars_10_dims,24.62888147,,13.32060728,24.28553347,36.28050365,0.0,14.17657913,15.16444077,23.94140922,3.21667315,35.35767689,34.28225038,20.07781359,27.72932897,61.0343684
Mozambique,2024,0-100,3_pillars_10_dims,24.22293552,,20.86370912,18.23382502,33.57127243,0.0,27.19071082,28.10085938,28.16326629,5.835819853,33.12495671,15.74069849,15.38123093,19.89090627,65.44168008
Liberia,2024,0-100,3_pillars_10_dims,23.12197991,,16.57606519,20.89076206,31.89911246,0.0,20.66022575,18.7702977,26.87373731,5.830808779,30.98646071,25.8550167,15.95157533,17.23013909,62.51562297
Chad,2024,0-100,3_pillars_10_dims,22.65971835,,20.94211574,18.22186653,28.81517279,0.0,37.11922712,23.83532599,22.81390986,5.068858489,33.57510048,16.0216406,15.21322855,21.52005892,49.71223091
Eritrea,2024,0-100,3_pillars_10_dims,22.19695954,,8.304993963,23.07075446,35.21513021,0.0,0.1142006962,7.849032131,25.25674303,5.830808779,31.67482873,31.70662587,16.70667919,29.54778809,59.39092335
Democratic Republic of the Congo,2024,0-100,3_pillars_10_dims,22.09794558,,17.96264516,15.99372206,32.33746951,0.0,38.90182687,15.77751686,17.17123691,0.7678839022,32.2115013,15.00178098,11.87954271,23.88274199,61.25012384
Burundi,2024,0-100,3_pillars_10_dims,21.13442437,,16.61896912,18.94768825,27.83661575,0.0,11.69599141,25.26338835,29.5164967,2.489405742,30.91729513,23.43636388,14.32973633,24.53920184,44.64090909
Central African Republic,2024,0-100,3_pillars_10_dims,20.26173459,,12.06920737,19.94503949,28.7709569,0.0,7.744959343,14.85358149,25.67828866,5.649724313,30.85637146,23.32902271,13.66873633,15.57643448,57.06769989
Haiti,2024,0-100,3_pillars_10_dims,20.05762277,,7.521644341,18.61138891,34.03983507,0.0,12.52020786,11.45701746,6.109352047,9.728884872,26.285999,19.81928285,15.50489594,15.87412573,70.74048355
South Sudan,2024,0-100,3_pillars_10_dims,18.58058996,,11.04170492,19.73564989,24.96441507,0.0,8.719359834,14.02344522,21.42401464,7.196112715,28.17637146,23.83446551,14.76333633,15.48899979,44.64090909
Syrian Arab Republic,2024,0-100,3_pillars_10_dims,16.94502678,,16.41598132,18.92737954,15.49171947,0.0,32.61746286,22.15718582,10.8892766,4.012725237,13.79796896,38.97144442,15.35128903,26.12873027,4.99513911
Afghanistan,2024,0-100,3_pillars_10_dims,16.92451775,,8.268876641,22.45575212,20.04892448,0.0,8.176308922,17.56124034,7.337957298,4.318119673,52.04228638,11.00685032,7.224,24.75432852,28.16844492
Yemen,2024,0-100,3_pillars_10_dims,14.62247898,,12.89916644,20.40763167,10.56063883,0.0,25.06606354,20.88589541,5.644706799,4.012725237,18.58904751,38.62112225,11.54853903,15.13823835,4.99513911
