pais_original,year,scale,framework,total_score,ranking_detail,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Iceland,2024,0-100,3_pillars_10_dims,69.82023722,29.0,82.19943627,47.1644215,80.0968539,100.0,93.56488192,67.98575217,67.247111,32.71130797,64.01894079,44.76301573,64.61696127,77.62598137,98.04761905
Switzerland,2024,0-100,3_pillars_10_dims,69.41989807,30.0,59.05738355,61.32371764,87.87859301,0.0,95.11859838,64.82741114,76.28352467,45.47657643,74.22366609,64.27091038,78.56033719,88.07544186,97.0
Spain,2024,0-100,3_pillars_10_dims,69.25248467,31.0,74.57860489,50.75038128,82.42846784,100.0,89.85078595,61.82981751,46.63381608,36.90557743,60.7880526,54.55751382,68.44533107,83.88477258,94.95529986
Qatar,2024,0-100,3_pillars_10_dims,68.22070132,32.0,76.06885218,46.90185052,81.69140125,100.0,79.28588531,70.48950338,54.50002005,31.45752514,55.06440943,54.183617,69.08359718,76.34060657,99.65
Lithuania,2024,0-100,3_pillars_10_dims,67.79802914,33.0,77.62506397,43.02221089,82.74681255,100.0,90.50063853,54.57826444,65.42135291,30.02914353,53.83473355,45.20275557,66.24142125,83.99901638,98.0
Poland,2024,0-100,3_pillars_10_dims,67.51119621,34.0,76.5277114,45.41413385,80.59174338,100.0,85.8471946,66.27003437,53.99361664,29.54891343,54.66494368,52.02854445,62.20813376,89.03189928,90.53519712
Thailand,2024,0-100,3_pillars_10_dims,66.16948723,35.0,75.77537138,44.8290477,77.9040426,100.0,78.46311529,69.74011304,54.8982572,26.74260859,58.61436952,49.130165,70.05539537,85.65099869,78.00573375
Brazil,2024,0-100,3_pillars_10_dims,65.88947723,36.0,74.50695299,44.7845554,78.37692331,100.0,80.52193576,69.31317256,48.19270364,32.55640228,58.34177317,43.45549074,55.99616272,84.53316861,94.60143861
Slovenia,2024,0-100,3_pillars_10_dims,65.85327433,37.0,77.48019942,43.32445607,76.7551675,100.0,88.71210296,69.18955318,52.01914154,25.95758632,56.11174384,47.90403805,60.00487803,79.23935738,91.0212671
Indonesia,2024,0-100,3_pillars_10_dims,65.85124932,38.0,79.85949065,48.05776504,69.63649227,100.0,82.45567702,63.94426535,73.03802021,26.57221016,62.95581719,54.64526776,42.71171336,72.47530691,93.72245654
Russian Federation,2024,0-100,3_pillars_10_dims,64.71707681,39.0,72.1515266,45.37520885,76.62449499,100.0,66.96769808,65.39245715,56.24595118,20.40846198,54.23611691,61.48104766,49.36125708,86.79141516,93.72081274
New Zealand,2024,0-100,3_pillars_10_dims,63.98217071,40.0,55.95051897,49.56359437,86.43239878,0.0,94.25134308,60.32062211,69.23011069,28.28650774,61.66813377,58.7361416,64.95981469,95.1739968,99.16338485
Slovakia,2024,0-100,3_pillars_10_dims,63.69003612,41.0,68.75893557,41.39709126,80.91408152,100.0,86.83273516,42.76367318,45.43933392,31.41975076,52.72746667,40.04405636,57.40147702,90.69957222,94.64119532
