pais_original,year,scale,framework,total_score,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness
Afghanistan,2020,0-100,3_pillars_10_dims,24.77526625,23.0832408,20.42072997,30.82182799,0.0,15.04989814,41.74,35.54306506,4.413784822,31.40131472,25.44709036,27.88548397,33.15,31.43
Albania,2020,0-100,3_pillars_10_dims,39.99141822,40.54013077,23.55660841,55.87751549,0.0,52.22014183,62.43333333,47.50704791,8.889374271,32.1978372,29.58261376,42.18782147,68.699725,56.745
Algeria,2020,0-100,3_pillars_10_dims,33.46609074,29.00437416,24.23727502,47.15662303,0.0,40.03319431,31.29666667,44.68763568,3.667589097,33.09378866,35.9504473,37.92153575,51.65833334,51.89
Angola,2020,0-100,3_pillars_10_dims,23.78920913,25.62853876,15.68680442,30.05228422,0.0,31.19484129,41.10779762,30.21151614,4.955385917,25.81256931,16.29245803,27.02684988,31.10000277,32.03
Antigua and Barbuda,2020,0-100,3_pillars_10_dims,39.11895697,32.11668931,25.05324045,60.18694115,0.0,41.80381003,42.3075,44.3554472,15.37979441,34.56615945,25.21376748,49.34957344,64.75,66.46125
Argentina,2020,0-100,3_pillars_10_dims,50.75365881,60.89564324,30.60470934,60.76062386,100.0,45.67143258,51.69333333,46.21780703,19.27766507,37.32348215,35.2129808,44.28714658,71.759725,66.235
Armenia,2020,0-100,3_pillars_10_dims,42.71728292,39.05524139,30.1643814,58.93222597,0.0,49.91452781,56.21,50.09643774,12.43028758,43.57732767,34.48552894,45.2580696,72.27360833,59.265
Australia,2020,0-100,3_pillars_10_dims,73.57735529,79.61334913,51.7660162,89.35270052,100.0,86.43536306,64.55666667,67.46136681,27.62135676,61.98573737,65.69095447,83.9476849,90.14541667,93.965
Austria,2020,0-100,3_pillars_10_dims,68.23045596,61.05245999,56.18320161,87.45570628,50.0,59.47862727,66.22666667,68.50454601,36.98876583,66.29021962,65.27061938,84.84837266,87.07874619,90.44
Azerbaijan,2020,0-100,3_pillars_10_dims,46.43710333,47.23257927,31.66213035,60.41660036,0.0,56.34331413,70.88,61.70700296,5.205229747,51.80644497,37.97471633,48.7003594,71.21944167,61.33
Bahrain,2020,0-100,3_pillars_10_dims,54.74871146,47.39761076,37.12763338,79.72089024,0.0,55.26013594,72.37,61.96030709,27.83755657,50.18470764,33.36063592,82.27366877,74.35400194,82.535
Bangladesh,2020,0-100,3_pillars_10_dims,33.00314427,33.56868305,19.98598176,45.45476799,0.0,47.61435946,45.99666667,40.66370607,6.140096946,29.2566249,24.56122344,32.41624566,41.59305833,62.355
Barbados,2020,0-100,3_pillars_10_dims,40.80176579,31.84366108,26.35894088,64.20269542,0.0,27.45381003,46.62083333,53.30000095,17.00486197,32.6442242,29.42773646,54.54633232,71.60050395,66.46125
Belarus,2020,0-100,3_pillars_10_dims,46.10259197,35.32618432,34.44087978,68.5407118,0.0,49.90080324,49.86955556,41.5343785,17.58841912,39.54190457,46.19231565,51.07852706,66.63860833,87.905
Belgium,2020,0-100,3_pillars_10_dims,63.13741606,55.75571693,55.23267196,78.42385928,50.0,56.93178946,57.12333333,58.96774494,39.16724162,63.80660251,62.72417175,61.43299673,78.40358112,95.435
Belize,2020,0-100,3_pillars_10_dims,31.01452603,19.3670165,24.24881778,49.4277438,0.0,12.41539037,30.00333333,35.04934229,12.04503893,34.11553842,26.58587599,38.30531471,49.11791668,60.86
Benin,2020,0-100,3_pillars_10_dims,31.66787569,33.72015176,19.11259758,42.17087772,0.0,45.27604246,44.39083333,45.21373126,1.533763275,31.77611811,24.02791135,26.14748315,40.23015,60.135
Bhutan,2020,0-100,3_pillars_10_dims,35.37746691,36.44961452,27.17188297,42.51090325,0.0,40.87023327,53.075,51.85322479,13.0076421,39.01832327,29.48968354,38.5718681,48.37584166,40.585
Bolivia,2020,0-100,3_pillars_10_dims,33.0301672,25.40430844,20.59050992,53.09568323,0.0,32.55833341,34.93333333,34.12556701,9.061641331,28.75674266,23.95314578,39.4857997,53.33125,66.47
Bosnia and Herzegovina,2020,0-100,3_pillars_10_dims,36.2498716,25.97742096,24.23661628,58.53557755,0.0,35.82519998,40.69481481,27.38966907,12.19386686,30.02952955,30.48645243,45.00325766,55.148475,75.455
Botswana,2020,0-100,3_pillars_10_dims,33.2730873,28.76225862,24.80455014,46.25245313,0.0,20.47822134,43.99666667,50.57414648,10.05449457,37.17390429,27.18525155,38.22625107,49.95110833,50.58
Brazil,2020,0-100,3_pillars_10_dims,47.46356662,45.01998567,35.92305596,61.44765823,50.0,47.79926782,47.17666667,35.1040082,19.07463905,43.11859125,45.5759376,45.26797469,74.445,64.63
Brunei Darussalam,2020,0-100,3_pillars_10_dims,51.46965077,38.21492262,40.1387252,76.05530449,0.0,24.55402332,67.29611111,61.00955606,21.57940629,47.02281958,51.81394972,58.91642849,81.54448499,87.705
Bulgaria,2020,0-100,3_pillars_10_dims,51.42364323,52.61764971,36.08756372,65.56571625,50.0,54.30029443,56.76,49.41030442,24.53169619,45.33905027,38.39194471,51.41798207,70.87416668,74.405
Burkina Faso,2020,0-100,3_pillars_10_dims,30.9559372,32.55781026,18.79216294,41.51783841,0.0,45.47794123,42.82083333,41.93246646,2.991774727,33.12994144,20.25477265,28.28170688,45.30180834,50.97
