variable,tipo,anos,framework,descripcion
iso3,string,2019-2025,todos,Codigo ISO 3166-1 alpha-3 del pais
entity_type,string,2019-2025,todos,"Tipo de entidad: pais, region"
pais_original,string,2019-2025,todos,Nombre exacto del pais en el Excel fuente de ese ano
year,int,2019-2025,todos,Ano del indice
scale,string,2019-2025,todos,Escala del total_score: 0-10 (2019) o 0-100 (2020-2025)
framework,string,2019-2025,todos,"Framework usado: 4_clusters, 3_pillars_10_dims, 6_pillars_14_dims"
total_score,float,2019-2025,todos,Puntaje indice de preparacion gubernamental para IA. Escala 0-10 (2019) o 0-100 (2020-2025)
rank,int,2020-2025,"3_pillars_10_dims,6_pillars_14_dims",Ranking global (1=mejor). No existe en 2019 en el Consolidado (ver Rankings_Regionales_2019)
privacy_laws,int,2019,4_clusters,"Leyes de privacidad: 0=no, 1=si"
ai_strategy,int,2019,4_clusters,"Estrategia IA: 0=none, 1=forthcoming, 2=yes"
data_availability,float,2019,4_clusters,"Disponibilidad de datos abiertos (OKFN, escala 1-100)"
govt_procurement_advanced_tech,float,2019,4_clusters,Compras gubernamentales de tecnologia avanzada (WEF NRI)
data_capability_govt,float,2019,4_clusters,"Capacidad de datos en gobierno (UN e-gov index, 0-1)"
technology_skills,float,2019,4_clusters,Habilidades tecnologicas (WEF GCR)
ai_startups,int,2019,4_clusters,"Numero de startups IA (Crunchbase, conteo directo)"
log_ai_startups,float,2019,4_clusters,Log de AI startups
innovation_capability,float,2019,4_clusters,Capacidad de innovacion sector privado (WEF GCR)
digital_public_services,float,2019,4_clusters,"Servicios publicos digitales (UN e-gov, 0-1)"
govt_effectiveness,float,2019,4_clusters,Efectividad del gobierno (World Bank)
ict_govt_vision,float,2019,4_clusters,Importancia TIC en vision de gobierno (WEF NRI)
norm_privacy_laws,float,2019,4_clusters,Normalizado (0-1): Privacy laws
norm_ai_strategy,float,2019,4_clusters,Normalizado (0-1): AI strategy
norm_data_availability,float,2019,4_clusters,Normalizado (0-1): Data availability
norm_govt_procurement,float,2019,4_clusters,Normalizado (0-1): Gov't procurement
norm_data_capability,float,2019,4_clusters,Normalizado (0-1): Data capability
norm_technology_skills,float,2019,4_clusters,Normalizado (0-1): Technology skills
norm_log_ai_startups,float,2019,4_clusters,Normalizado (0-1): Log AI startups
norm_innovation_capability,float,2019,4_clusters,Normalizado (0-1): Innovation capability
norm_digital_public_services,float,2019,4_clusters,Normalizado (0-1): Digital public services
norm_govt_effectiveness,float,2019,4_clusters,Normalizado (0-1): Govt effectiveness
norm_ict_govt_vision,float,2019,4_clusters,Normalizado (0-1): ICT govt vision
avg_governance,float,2019,4_clusters,Promedio cluster Governance (0-1)
avg_infrastructure_data,float,2019,4_clusters,Promedio cluster Infrastructure and data (0-1)
avg_skills_education,float,2019,4_clusters,Promedio cluster Skills and education (0-1)
avg_govt_public_services,float,2019,4_clusters,Promedio cluster Government and public services (0-1)
government,float,2020-2024,3_pillars_10_dims,Pilar Government (0-100). Capacidad gubernamental para IA
technology_sector,float,2020-2024,3_pillars_10_dims,Pilar Technology Sector (0-100). Madurez del ecosistema tecnologico
data_infrastructure,float,2020-2024,3_pillars_10_dims,Pilar Data and Infrastructure (0-100). Datos e infraestructura
vision,float,2020-2024,3_pillars_10_dims,Dimension Vision (0-100). Estrategia nacional IA
governance_ethics,float,2020-2024,3_pillars_10_dims,Dimension Governance and Ethics (0-100)
digital_capacity,float,2020-2024,3_pillars_10_dims,Dimension Digital Capacity (0-100)
adaptability,float,2020-2024,3_pillars_10_dims,Dimension Adaptability (0-100)
size,float,2020-2021,3_pillars_10_dims,"Dimension Size (0-100, solo 2020-2021). Renombrada a maturity desde 2022"
maturity,float,2022-2024,3_pillars_10_dims,"Dimension Maturity (0-100, desde 2022). Antes llamada Size"
