iso3,entity_type,pais_original,year,scale,framework,total_score,rank,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail,policy_capacity,ai_infrastructure,governance_2025,public_sector_adoption,development_diffusion,resilience,policy_vision,policy_commitment,compute_capacity,enabling_technical_infrastructure,data_quality,governance_principles,regulatory_compliance,government_digital_policy,e_government_delivery,human_capital_2025,ai_sector_maturity,ai_technology_diffusion,societal_transition,safety_security,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet,rank_global,score_global,rank_asia_pacific,score_asia_pacific,rank_africa,score_africa,rank_latam,score_latam,rank_north_america,score_north_america,rank_eastern_europe,score_eastern_europe,rank_australasia,score_australasia,rank_western_europe,score_western_europe,region_pertenece
AUS,pais,Australia,2019,0-10,4_clusters,8.126228456706777,,1.0,1.0,79.0,3.325235753,0.9053,5.1,158.0,2.198657087,69.8,0.9722,84.51,4.328528303,1.0,0.5,0.79,0.475033679,0.9053,0.7285714285714285,0.5936621629924905,0.698,0.9722,0.8451000000000001,0.6183611861428571,0.75,0.7234445596666667,0.6734111971879729,0.8118870620476191,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOR,pais,Norway,2019,0-10,4_clusters,8.079301495783998,,1.0,1.0,69.0,4.090374487,0.8557,5.3,42.0,1.62324929,67.8,0.9514,91.91,4.937266919,1.0,0.5,0.69,0.5843392124285715,0.8557,0.7571428571428571,0.4382955806411409,0.6779999999999999,0.9514,0.9191,0.7053238455714286,0.75,0.7100130708095239,0.6244794792613327,0.8586079485238095,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZL,pais,New Zealand,2019,0-10,4_clusters,7.876043618602379,,1.0,1.0,68.0,3.335829217,0.8806,5.2,24.0,1.380211242,61.4,0.9514,91.29,5.21546811,1.0,0.5,0.68,0.476547031,0.8806,0.7428571428571429,0.3726725718880926,0.614,0.9514,0.9129,0.7450668728571428,0.75,0.6790490103333333,0.5765099049150785,0.8697889576190475,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,pais,Netherlands (the),2019,0-10,4_clusters,7.659131466261364,,1.0,0.0,54.0,3.933826588,0.8757,5.7,161.0,2.206825876,77.5,0.9306,90.88,4.59831888,1.0,0.0,0.54,0.5619752268571429,0.8757,0.8142857142857143,0.5958678279756491,0.775,0.9306,0.9088,0.6569026971428571,0.5,0.6592250756190476,0.7283845140871211,0.8321008990476191,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,pais,Italy,2019,0-10,4_clusters,7.53283324145121,,1.0,2.0,47.0,2.833660992,0.8209,4.3,119.0,2.075546961,65.8,0.9514,58.12,3.302724396,1.0,1.0,0.47,0.4048087131428571,0.8209,0.6142857142857142,0.5604210431654959,0.6579999999999999,0.9514,0.5811999999999999,0.4718177708571428,1.0,0.5652362377142857,0.6109022524837368,0.6681392569523809,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,pais,Austria,2019,0-10,4_clusters,7.527153362246536,,1.0,1.0,49.0,3.368260346,0.8301,4.8,55.0,1.740362689,74.3,0.8681,82.74,4.422190573,1.0,0.5,0.49,0.4811800494285714,0.8301,0.6857142857142857,0.4699175166751081,0.743,0.8681,0.8273999999999999,0.6317415104285714,0.75,0.6004266831428571,0.6328772674631313,0.7757471701428571,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,pais,India,2019,0-10,4_clusters,7.515334304379316,,1.0,2.0,47.0,3.879015144,0.5669,4.6,513.0,2.710117365,53.8,0.9514,47.66,3.985689619,1.0,1.0,0.47,0.5541450205714286,0.5669,0.6571428571428571,0.7317621953793148,0.5379999999999999,0.9514,0.4765999999999999,0.5693842312857142,1.0,0.5303483401904762,0.6423016841740572,0.6657947437619047,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHE,pais,Switzerland,2019,0-10,4_clusters,7.461448899542368,,1.0,0.0,36.0,4.005452329,0.852,5.7,156.0,2.193124598,82.1,0.8472,95.46,4.535911667,1.0,0.0,0.36,0.5722074755714285,0.852,0.8142857142857143,0.5921683286852254,0.821,0.8472,0.9546,0.647987381,0.5,0.5947358251904761,0.7424846809903132,0.8165957936666666,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARE,pais,United Arab Emirates (the),2019,0-10,4_clusters,7.445101754068058,,1.0,1.0,,5.428506919,0.8295,5.3,50.0,1.698970004,51.0,0.9444,80.26,6.070518179,1.0,0.5,0.0,0.7755009884285714,0.8295,0.7571428571428571,0.458741025782344,0.51,0.9444,0.8026000000000001,0.8672168827142857,0.75,0.5350003294761905,0.5752946276417338,0.8714056275714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,pais,China,2019,0-10,4_clusters,7.3697279945927985,,1.0,2.0,,4.281301366,0.6811,4.7,359.0,2.555094449,64.4,0.8611,54.07,4.689164755,1.0,1.0,0.0,0.6116144808571429,0.6811,0.6714285714285715,0.6899042630213693,0.644,0.8611,0.5407,0.6698806792857143,1.0,0.4309048269523809,0.6684442781499803,0.6905602264285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,pais,Israel,2019,0-10,4_clusters,7.348204120681603,,1.0,0.0,41.0,4.439169148,0.7998,5.6,327.0,2.514547753,74.0,0.8264,78.75,4.699666306,1.0,0.0,0.41,0.6341670211428572,0.7998,0.7999999999999999,0.6789561986816032,0.74,0.8264,0.7875,0.6713809008571429,0.5,0.6146556737142856,0.739652066227201,0.7617603002857143,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,pais,Malaysia,2019,0-10,4_clusters,7.107905745403328,,1.0,1.0,10.0,5.251573608,0.7174,5.4,21.0,1.322219295,55.5,0.8889,67.06,5.581367956,1.0,0.5,0.1,0.7502248011428572,0.7174,0.7714285714285715,0.3570140934033275,0.555,0.8889,0.6706,0.7973382794285715,0.75,0.5225416003809524,0.5611475549439664,0.7856127598095238,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,pais,Estonia,2019,0-10,4_clusters,6.968428483618909,,1.0,1.0,,3.935315769,0.8486,5.4,34.0,1.531478917,52.5,0.9028,72.87,5.013367788,1.0,0.5,0.0,0.562187967,0.8486,0.7714285714285715,0.4135165469046228,0.525,0.9028,0.7287,0.7161953982857143,0.75,0.4702626556666667,0.5699817061110647,0.7825651327619049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,pais,Belgium,2019,0-10,4_clusters,6.85857151410368,,1.0,0.0,52.0,3.468331399,0.808,4.8,55.0,1.740362689,73.4,0.7569,78.1,4.252946583,1.0,0.0,0.52,0.4954759141428572,0.808,0.6857142857142857,0.4699175166751081,0.7340000000000001,0.7569,0.7809999999999999,0.6075637975714285,0.5,0.6078253047142858,0.6298772674631313,0.7151545991904763,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUX,pais,Luxembourg,2019,0-10,4_clusters,6.856688815343319,,1.0,0.0,,4.675078127,0.8334,5.2,15.0,1.176091259,68.2,0.9236,87.18,5.723238429,1.0,0.0,0.0,0.6678683038571428,0.8334,0.7428571428571429,0.3175578787718894,0.682,0.9236,0.8718,0.8176054898571429,0.5,0.5004227679523809,0.5808050072096774,0.8710018299523808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,pais,Republic of Korea (the),2019,0-10,4_clusters,6.839055268571668,,0.0,2.0,,3.884520411,0.901,5.0,67.0,1.826074803,78.2,0.9792,71.74,4.880241203,0.0,1.0,0.0,0.5549314872857143,0.901,0.7142857142857143,0.4930607522859548,0.782,0.9792,0.7173999999999999,0.6971773147142857,0.5,0.4853104957619047,0.663115488857223,0.7979257715714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,pais,Poland,2019,0-10,4_clusters,6.834530053535196,,1.0,1.0,49.0,3.075885151,0.7926,4.2,74.0,1.86923172,48.7,0.9306,62.34,3.267629984,1.0,0.5,0.49,0.4394121644285714,0.7926,0.6,0.5047136056780525,0.487,0.9306,0.6234000000000001,0.4668042834285714,0.75,0.5740040548095239,0.5305712018926841,0.6736014278095238,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISL,pais,Iceland,2019,0-10,4_clusters,6.8092570533049575,,1.0,1.0,,3.629998556,0.8316,5.7,13.0,1.113943352,65.7,0.7292,80.13,4.595660107,1.0,0.5,0.0,0.5185712222857143,0.8316,0.8142857142857143,0.3007772443049575,0.657,0.7292,0.8012999999999999,0.6565228724285713,0.75,0.4500570740952381,0.5906876528635573,0.7290076241428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,pais,Russian Federation (the),2019,0-10,4_clusters,6.747631288140799,,1.0,1.0,43.0,3.341901961,0.7969,4.8,65.0,1.812913357,50.7,0.9167,39.81,3.82406796,1.0,0.5,0.43,0.4774145658571428,0.7969,0.6857142857142857,0.4895070137122284,0.507,0.9167,0.3981,0.5462954228571428,0.75,0.5681048552857143,0.5607404331421714,0.6203651409523809,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,pais,Portugal,2019,0-10,4_clusters,6.693234589353772,,1.0,0.0,37.0,3.610032165,0.8031,4.6,50.0,1.698970004,53.1,0.9306,75.47,4.70562278,1.0,0.0,0.37,0.5157188807142857,0.8031,0.6571428571428571,0.458741025782344,0.531,0.9306,0.7547,0.6722318257142856,0.5,0.562939626904762,0.5489612943084005,0.7858439419047619,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZE,pais,Czech Republic,2019,0-10,4_clusters,6.673279263384212,,1.0,1.0,50.0,3.156732848,0.7084,5.0,26.0,1.414973348,57.3,0.6528,71.44,3.341610873,1.0,0.5,0.5,0.4509618354285714,0.7084,0.7142857142857143,0.3820587318127822,0.573,0.6528,0.7143999999999999,0.4773729818571429,0.75,0.5531206118095238,0.5564481486994989,0.6148576606190476,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,pais,Mexico,2019,0-10,4_clusters,6.664305754586419,,1.0,1.0,65.0,3.104027465,0.6818,3.8,47.0,1.672097858,42.7,0.9236,48.76,3.89571611,1.0,0.5,0.65,0.443432495,0.6818,0.5428571428571428,0.4514852438721338,0.427,0.9236,0.4876,0.5565308728571429,0.75,0.591744165,0.4737807955764255,0.655910290952381,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,pais,Latvia,2019,0-10,4_clusters,6.548083964019243,,1.0,1.0,64.0,3.019002782,0.6996,4.7,13.0,1.113943352,42.0,0.6667,69.94,3.632244256,1.0,0.5,0.64,0.4312861117142857,0.6996,0.6714285714285715,0.3007772443049575,0.42,0.6667,0.6994,0.5188920365714286,0.75,0.5902953705714286,0.4640686052445096,0.6283306788571429,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRL,pais,Ireland,2019,0-10,4_clusters,6.542413401857383,,1.0,0.0,,3.577437049,0.8287,5.2,67.0,1.826074803,67.0,0.8264,78.71,4.782631498,1.0,0.0,0.0,0.5110624355714285,0.8287,0.7428571428571429,0.4930607522859548,0.67,0.8264,0.7870999999999999,0.6832330711428571,0.5,0.4465874785238095,0.6353059650476993,0.7655776903809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,pais,Uruguay,2019,0-10,4_clusters,6.5224632805409275,,1.0,1.0,55.0,3.190974494,0.7858,4.5,4.0,0.6020599913,36.4,0.8889,58.81,4.090727646,1.0,0.5,0.55,0.4558534991428571,0.7858,0.6428571428571429,0.1625629748266415,0.364,0.8889,0.5881000000000001,0.5843896637142858,0.75,0.5972178330476191,0.3898067058945949,0.6871298879047619,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,pais,Spain,2019,0-10,4_clusters,6.332187750838867,,1.0,0.0,,3.155687377,0.8415,4.2,186.0,2.269512944,62.9,0.9375,72.88,3.722468585,1.0,0.0,0.0,0.4508124824285714,0.8415,0.6,0.612794041981725,0.629,0.9375,0.7288,0.5317812264285714,0.5,0.4307708274761905,0.6139313473272416,0.7326937421428572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,pais,Lithuania,2019,0-10,4_clusters,6.2876395267612875,,1.0,1.0,,3.053760491,0.7534,4.8,16.0,1.204119983,47.4,0.7986,72.14,4.152034548,1.0,0.5,0.0,0.4362514987142857,0.7534,0.6857142857142857,0.3251259497612876,0.474,0.7986,0.7214,0.5931477925714285,0.75,0.3965504995714285,0.4949467451585244,0.7043825975238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,pais,Slovenia,2019,0-10,4_clusters,6.232477088523125,,1.0,0.0,49.0,2.725934666,0.7714,4.8,12.0,1.079181246,57.9,0.7986,72.96,3.481467363,1.0,0.0,0.49,0.389419238,0.7714,0.6857142857142857,0.2913910843802679,0.579,0.7986,0.7295999999999999,0.4973524804285714,0.5,0.5502730793333334,0.518701790031518,0.6751841601428571,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,pais,Chile,2019,0-10,4_clusters,6.189767124384211,,1.0,0.0,52.0,3.097980208,0.735,4.2,26.0,1.414973348,41.3,0.8333,70.45,3.91537854,1.0,0.0,0.52,0.4425686011428572,0.735,0.6,0.3820587318127822,0.413,0.8333,0.7045,0.5593397914285714,0.5,0.5658562003809524,0.4650195772709274,0.6990465971428571,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,pais,Brazil,2019,0-10,4_clusters,6.157248348834943,,1.0,0.0,68.0,3.050402322,0.7327,3.2,160.0,2.204119983,47.8,0.9236,40.8,3.128275675,1.0,0.0,0.68,0.4357717602857143,0.7327,0.4571428571428572,0.595137206406372,0.478,0.9236,0.408,0.446896525,0.5,0.6161572534285714,0.5100933545164097,0.592832175,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWN,pais,Taiwan,2019,0-10,4_clusters,6.152397618977947,,1.0,2.0,90.0,3.850857285,,5.1,45.0,1.653212514,80.8,,,5.035224129,1.0,1.0,0.9,0.5501224692857143,0.0,0.7285714285714285,0.4463859884065191,0.8079999999999999,0.0,0.0,0.7193177327142858,1.0,0.4833741564285714,0.6609858056593159,0.2397725775714285,,,,,,,,,,,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAT,pais,Qatar,2019,0-10,4_clusters,6.034872573428571,,1.0,0.0,,5.646519393,0.7132,5.2,1.0,0.0,50.3,0.7917,63.73,5.881188621,1.0,0.0,0.0,0.8066456275714285,0.7132,0.7428571428571429,0.0,0.503,0.7917,0.6373,0.840169803,0.5,0.5066152091904762,0.4152857142857143,0.7563899343333332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
