iso3,entity_type,pais_original,year,scale,framework,total_score,rank,privacy_laws,ai_strategy,data_availability,govt_procurement_advanced_tech,data_capability_govt,technology_skills,ai_startups,log_ai_startups,innovation_capability,digital_public_services,govt_effectiveness,ict_govt_vision,norm_privacy_laws,norm_ai_strategy,norm_data_availability,norm_govt_procurement,norm_data_capability,norm_technology_skills,norm_log_ai_startups,norm_innovation_capability,norm_digital_public_services,norm_govt_effectiveness,norm_ict_govt_vision,avg_governance,avg_infrastructure_data,avg_skills_education,avg_govt_public_services,government,technology_sector,data_infrastructure,vision,governance_ethics,digital_capacity,adaptability,size,maturity,innovation_capacity,human_capital,infrastructure,data_availability,data_representativeness,ranking_detail,policy_capacity,ai_infrastructure,governance_2025,public_sector_adoption,development_diffusion,resilience,policy_vision,policy_commitment,compute_capacity,enabling_technical_infrastructure,data_quality,governance_principles,regulatory_compliance,government_digital_policy,e_government_delivery,human_capital_2025,ai_sector_maturity,ai_technology_diffusion,societal_transition,safety_security,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet,rank_global,score_global,rank_asia_pacific,score_asia_pacific,rank_africa,score_africa,rank_latam,score_latam,rank_north_america,score_north_america,rank_eastern_europe,score_eastern_europe,rank_australasia,score_australasia,rank_western_europe,score_western_europe,region_pertenece
SGP,pais,Singapore,2019,0-10,4_clusters,9.186142187443082,,1.0,2.0,60.0,4.951577915,0.8812,5.7,166.0,2.220108088,75.0,0.9861,100.0,5.934138174,1.0,1.0,0.6,0.7073682735714285,0.8812,0.8142857142857143,0.5994541747287955,0.75,0.9861,1.0,0.8477340248571429,1.0,0.7295227578571429,0.7212466296715032,0.9446113416190476,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR,pais,United Kingdom of Great Britain and Northern Ireland (the),2019,0-10,4_clusters,9.069447068844635,,1.0,2.0,79.0,3.822220423,0.8999,4.9,1028.0,3.011993115,79.2,0.9792,85.16,4.882104737,1.0,1.0,0.79,0.546031489,0.8999,0.7000000000000001,0.8132720459874921,0.792,0.9792,0.8515999999999999,0.6974435338571429,1.0,0.7453104963333333,0.7684240153291642,0.8427478446190476,,,,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,pais,Germany,2019,0-10,4_clusters,8.810277159289893,,1.0,2.0,51.0,4.277161052,0.8765,5.2,412.0,2.614897216,87.5,0.9306,88.48,4.71411728,1.0,1.0,0.51,0.6110230074285715,0.8765,0.7428571428571429,0.7060516832898927,0.875,0.9306,0.8848,0.6734453257142857,1.0,0.6658410024761906,0.7746362753823451,0.8296151085714286,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,pais,United States of America (the),2019,0-10,4_clusters,8.803863418285713,,1.0,1.0,65.0,4.275411777,0.8769,5.8,5053.0,3.703549298,86.5,0.9861,81.94,4.669832151,1.0,0.5,0.65,0.6107731110000001,0.8769,0.8285714285714285,1.0,0.865,0.9861,0.8194,0.6671188787142857,0.75,0.7125577036666667,0.8978571428571428,0.8242062929047619,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,pais,Finland,2019,0-10,4_clusters,8.771773580106624,,1.0,2.0,69.0,3.823202268,0.8815,5.8,74.0,1.86923172,76.3,0.9653,91.06,4.773417553,1.0,1.0,0.69,0.5461717525714286,0.8815,0.8285714285714285,0.5047136056780525,0.763,0.9653,0.9106,0.6819167932857143,1.0,0.7058905841904761,0.6987616780831604,0.8526055977619048,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,pais,Sweden,2019,0-10,4_clusters,8.67398063569931,,1.0,2.0,53.0,3.887732262,0.8882,5.8,106.0,2.025305865,79.8,0.9444,89.54,4.810144516,1.0,1.0,0.53,0.5553903231428572,0.8882,0.8285714285714285,0.5468553816993096,0.7979999999999999,0.9444,0.8954000000000001,0.6871635022857143,1.0,0.6578634410476191,0.7244756034235794,0.8423211674285715,,,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,pais,Canada,2019,0-10,4_clusters,8.67395600414711,,1.0,2.0,69.0,3.500650345,0.8258,5.2,475.0,2.67669361,75.0,0.9306,89.82,4.295679847,1.0,1.0,0.69,0.5000929064285714,0.8258,0.7428571428571429,0.7227374052899673,0.75,0.9306,0.8981999999999999,0.6136685495714286,1.0,0.6719643021428571,0.7385315160490368,0.8141561831904761,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,pais,France,2019,0-10,4_clusters,8.60758328685652,,1.0,2.0,70.0,3.96571637,0.879,4.3,323.0,2.509202522,76.1,0.9792,80.09,4.404076155,1.0,1.0,0.7,0.56653091,0.879,0.6142857142857142,0.6775129261422349,0.7609999999999999,0.9792,0.8009000000000001,0.6291537364285714,1.0,0.7151769699999999,0.684266213475983,0.8030845788095239,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,pais,Denmark,2019,0-10,4_clusters,8.600869314806882,,1.0,2.0,65.0,3.376764456,0.915,5.3,59.0,1.770852012,75.4,1.0,92.03,4.507170908,1.0,1.0,0.65,0.4823949222857143,0.915,0.7571428571428571,0.478149977092596,0.754,1.0,0.9203,0.6438815582857143,1.0,0.6824649740952381,0.6630976114118177,0.854727186095238,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,pais,Japan,2019,0-10,4_clusters,8.582054959364068,,1.0,2.0,61.0,4.145294131,0.8783,4.6,64.0,1.806179974,79.3,0.9514,90.66,4.940168113,1.0,1.0,0.61,0.5921848758571429,0.8783,0.6571428571428571,0.4876889245069258,0.7929999999999999,0.9514,0.9066,0.7057383018571429,1.0,0.6934949586190475,0.6459439272165943,0.854579433952381,,,,,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
