pais_original,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet
Equatorial Guinea,0.0,100.0,1.46,20.2,0.0,16.6,18.45,6.4,33.48,24.0,40.36918004,33.66666667,0.0,0.0,28.55714619,45.33386544,15.94968761,93.6,18.0,20.94070551,38.0625,0.0,22.38208058,5.964656795,80.8545,0.0,23.17485403,13.63,0.0,34.875,0.0,43.43,0.0,0.0,41.0,27.6684,57.40133333,50.748,90.0
Eritrea,0.0,0.0,1.73,2.6,0.0,12.4,0.0,5.8,21.2775,15.4,41.38274756,22.88888889,0.0,0.0,17.47843307,17.11452281,2.608268813,90.21764706,12.28571429,12.72028408,28.41666667,6.506957562,37.94780497,7.328825829,55.61498,0.0,4.161727907,8.37,0.0,35.34545455,0.0,19.98583333,16.11111111,0.0,38.23076923,1.91734,48.43635417,21.241,89.28181818
Estonia,100.0,100.0,99.48,81.2,0.0,74.0,100.0,91.0,51.86,76.8,48.97511403,85.0,16.99916163,0.0,73.95254979,75.66736893,10.26029315,96.1,100.0,54.73177935,58.75,44.37861507,36.73835221,83.99841541,76.75598,0.0,59.50217305,89.49,0.0,47.0,100.0,73.19,50.0,100.0,100.0,94.95,86.07375,82.93,98.0
Eswatini,0.0,50.0,18.23,35.6,0.0,25.4,32.4,51.1,20.31,36.2,37.54462003,30.5,0.0,0.0,21.79245566,33.38517181,11.3024477,98.0,14.77777778,12.82081589,11.75,15.10868757,24.21675865,20.58975487,0.0,0.0,9.456077967,35.5,0.0,32.83636364,0.0,22.76,0.75,0.0,94.0,26.53781133,47.18708333,44.55,86.5
Ethiopia,50.0,50.0,27.74,31.0,0.0,29.0,37.3,48.3,29.51,35.0,41.84782505,22.88888889,0.0,0.0,13.79104537,16.50377528,0.0,88.1,1.0,13.11142951,28.25,46.52310108,27.29154798,6.91065341,59.632416,0.0,4.161727907,15.01,0.0,33.5,100.0,25.79,16.11111111,0.0,43.07692308,18.66049947,53.59916667,26.38,92.0
Fiji,0.0,0.0,29.08,48.8,0.0,47.0,48.13,70.4,75.2775,61.8,56.82121714,66.0,0.0,0.0,38.05478423,46.97435004,31.41742157,96.36666667,24.5,43.6646192,63.9375,15.10868757,22.40373347,32.4063152,67.82422667,0.0,44.19860398,59.35,0.0,51.8,0.0,47.9875,35.75,0.0,82.46153846,83.34478,57.60083333,45.25,98.25
Finland,100.0,100.0,95.78,85.6,100.0,82.0,98.33,71.6,83.09,85.2,69.87601917,74.0,0.0,18.16677155,75.58752603,68.64783076,57.78919875,92.9,54.0,73.77022895,87.75,58.72620012,36.85657765,80.23713645,54.80096,71.60581354,74.54234163,91.27,27.24851324,52.01052632,100.0,96.95,30.0,100.0,99.0,91.48,88.4775,93.31,96.47368421
France,100.0,100.0,97.6,73.8,100.0,72.2,87.68,92.3,74.77,73.4,55.9920311,58.0,16.99916163,46.85032209,62.32363313,65.14786031,63.86647912,79.3,44.0,65.33302033,67.25,73.52719154,33.3826832,70.31115139,63.61128,89.08188586,65.00724351,89.44,62.46670571,56.1,100.0,83.82,80.0,50.0,91.38461538,87.26,86.34833333,90.07,98.0
Gabon,0.0,100.0,11.38,36.0,0.0,32.4,35.78,26.1,33.48,35.4,29.16666667,33.66666667,0.0,0.0,27.13506711,45.33386544,15.94968761,93.6,18.0,20.94070551,38.0625,13.01391512,22.38208058,16.65864569,80.8545,0.0,23.17485403,62.79,0.0,33.5,0.0,43.43,0.0,0.0,96.46153846,68.2885,28.05458333,46.84,99.0
Gambia (Republic of The),0.0,100.0,32.12,35.8,0.0,49.2,14.55,32.7,31.18,36.6,56.31489753,0.0,0.0,0.0,9.959398831,12.70656151,2.608268813,97.5,12.28571429,3.625003257,36.25,0.0,27.29154798,14.39986477,91.31424,0.0,4.161727907,45.08,0.0,35.34545455,100.0,35.57,0.0,0.0,78.0,64.477,44.01875,18.6,89.28181818
Georgia,0.0,100.0,81.07,70.6,0.0,50.2,61.11,56.3,40.02,63.0,41.9853727,60.0,0.0,0.0,47.99082037,46.62275519,6.139183754,98.3,4.428571429,12.14248637,30.0,24.7742969,25.65958363,57.82756246,77.3557,0.0,23.75872514,74.09,0.0,44.875,0.0,39.49076923,0.0,0.0,100.0,88.38,80.06041667,43.27,95.0
Germany,100.0,100.0,97.41,80.4,100.0,78.2,79.05,72.5,73.42,75.8,60.0316445,35.0,26.94303373,46.85032209,64.98899082,73.47552283,57.55604623,90.8,33.0,76.42654132,86.75,77.86554314,45.90398501,70.53648563,55.11134,86.13966679,56.92084815,89.57,70.97492951,47.0,100.0,85.48,50.0,50.0,96.30769231,91.41,87.49791667,83.0,100.0
Ghana,0.0,100.0,86.69,46.4,0.0,57.8,53.61,64.7,26.77,48.8,46.46399022,1.0,0.0,0.0,19.56665353,21.35724958,0.683559987,96.0,14.0,10.64699778,49.25,42.13732262,18.65000398,27.13168973,39.52402,0.0,9.456077967,59.34,0.0,35.0,0.0,32.17,0.0,0.0,92.0,33.0,61.99583333,36.81,77.0
Greece,50.0,100.0,93.98,59.2,0.0,69.0,77.53,85.9,17.8,59.0,23.50111405,64.0,0.0,11.4619567,50.22914113,59.17002306,61.22376359,93.9,4.0,49.4515699,23.5,63.81604227,35.92301473,63.44969616,80.17512,73.20099255,56.02528645,82.06,0.0,42.2,100.0,38.5,60.0,50.0,83.92307692,85.49,85.36083333,66.35,100.0
Grenada,0.0,0.0,9.41,57.8,0.0,64.0,55.07,37.0,23.52,50.8,30.49984941,57.57142857,0.0,0.0,41.53377323,50.17511521,16.78900559,87.93333333,5.285714286,17.2229321,30.92307692,6.506957562,20.48240681,0.0,81.88976,0.0,23.41465824,73.48,0.0,35.36666667,0.0,44.22230769,51.5,0.0,62.38461538,60.1308625,63.64176471,57.47705882,90.13333333
Guatemala,0.0,100.0,13.13,44.2,0.0,39.6,54.09,57.1,8.88,31.8,23.58260155,61.0,0.0,0.0,37.28179886,42.85921724,0.963449917,90.9,5.285714286,3.083197529,37.5,18.26733934,12.75716482,32.46234264,69.3828,0.0,23.41465824,43.28,0.0,37.7,100.0,41.14,44.0,0.0,88.61538462,30.0,61.03291667,52.36,86.0
Guinea,0.0,100.0,20.53,29.0,0.0,28.6,44.21,25.4,32.01,31.2,49.63369767,30.5,0.0,0.0,16.29622362,16.69004777,3.486609984,96.1,14.77777778,10.64699778,45.75,0.0,24.21675865,3.868684143,58.49270182,0.0,9.456077967,34.48,0.0,32.83636364,0.0,36.01,0.75,0.0,78.38461538,15.2887,45.87541667,30.21,86.5
Guinea Bissau,0.0,0.0,9.85,23.6,0.0,42.2,6.24,26.4,21.2775,20.2,41.38274756,22.88888889,0.0,0.0,25.72236201,17.11452281,2.608268813,90.21764706,12.28571429,12.72028408,28.41666667,0.0,27.29154798,1.95927797,59.632416,0.0,4.161727907,34.72,0.0,35.34545455,0.0,19.98583333,16.11111111,0.0,96.84615385,13.5987,33.4025,40.04,89.28181818
Guyana,0.0,100.0,28.11,39.4,0.0,53.8,45.09,40.2,36.82,44.6,38.91089439,29.0,0.0,0.0,16.74463647,42.97066778,28.98123563,80.8,6.666666667,12.27344767,35.25,10.31328373,29.28237682,35.88903316,54.40614,0.0,54.20782299,46.43,0.0,46.36666667,0.0,53.34666667,0.0,50.0,81.84615385,32.5077,41.48958333,78.0,96.66666667
Haiti,0.0,0.0,6.4,23.8,0.0,26.2,8.65,27.6,2.213333333,5.4,17.39599705,12.0,0.0,0.0,4.472005617,34.56540067,17.02429669,88.13333333,,4.334410557,20.33333333,10.31328373,20.55253213,10.59381442,75.57232,0.0,,26.46,0.0,34.6,0.0,9.25,0.0,0.0,49.15384615,43.27333333,37.51625,31.5,93.0
Honduras,0.0,100.0,2.2,40.2,0.0,40.2,24.17,51.1,2.213333333,32.6,35.36098798,54.0,0.0,0.0,31.49396806,37.17680359,20.62953356,90.6,,3.124557736,35.75,34.39188793,20.55253213,30.23936457,75.57232,0.0,,35.01,0.0,34.6,0.0,9.25,0.0,50.0,58.53846154,42.7961,61.17625,42.49,93.0
Hungary,100.0,100.0,91.28,58.2,0.0,58.4,74.65,75.6,46.51,60.6,42.24228462,55.15789474,0.0,0.0,58.74179062,77.4893963,25.97709912,89.6,6.0,51.53952364,28.25,58.95756391,28.17954904,68.96639988,63.3608,24.45941156,51.49479784,76.71,13.62425662,55.3,100.0,47.82,48.10526316,50.0,80.07692308,91.44,84.83416667,68.77,91.0
Iceland,100.0,100.0,79.81,76.2,0.0,78.4,88.67,84.0,46.93,81.2,57.90029367,55.15789474,0.0,0.0,71.06525442,70.82817043,29.79150051,89.228,100.0,67.35097049,65.75,33.89769197,22.25925023,91.02345371,70.4607,0.0,80.00790202,97.05,0.0,52.01052632,100.0,78.69,48.10526316,100.0,94.23076923,98.36,77.83333333,83.79,96.47368421
India,100.0,100.0,97.5,49.0,100.0,51.0,79.34,93.5,35.5,57.4,55.87147077,42.0,0.0,65.96227135,41.33781856,36.07791501,23.35047415,98.1,31.0,27.25426208,64.25,94.01117948,38.31268394,40.40670864,85.46888,84.47359092,10.81698055,39.54,31.63454422,35.9,100.0,51.54,90.0,50.0,62.0,36.3916,70.36708333,63.07,89.0
Indonesia,100.0,100.0,94.88,54.2,50.0,52.8,76.44,80.7,60.36,58.8,61.47961617,66.0,0.0,29.62872825,31.98986535,42.0110668,35.73553949,99.1,9.0,13.38233672,62.75,75.84495329,25.36778235,42.86366776,74.8659,70.01063453,39.69445542,63.97,0.0,36.3,100.0,59.47,0.0,50.0,88.38461538,86.54,72.2025,57.53,100.0
Iran (Islamic Republic of),0.0,100.0,81.06,18.2,0.0,20.8,41.96,84.5,33.74,32.4,31.89297915,22.25,0.0,0.0,19.1648306,41.5405563,57.54667616,96.03333333,10.16666667,31.43364274,27.75,69.88329665,50.91957835,35.13485694,62.32496,70.22332506,9.482418017,73.0,0.0,34.6,100.0,39.26,35.75,0.0,100.0,79.47,56.68833333,29.78,98.0
Iraq,50.0,50.0,20.71,26.4,0.0,31.0,20.6,19.0,,24.0,,16.0,0.0,0.0,23.79830118,44.28938109,,99.0,,2.175567006,,65.6214202,22.24728398,28.79437637,,0.0,7.296193863,52.01,0.0,,0.0,,38.0,0.0,75.53846154,88.72,34.80166667,62.04,
Ireland,100.0,100.0,85.86,82.8,0.0,79.0,77.96,46.7,57.76,81.0,56.13471667,30.0,0.0,29.62872825,100.0,80.67887428,55.34006723,86.1,27.0,43.43015609,70.5,55.7883584,32.53931126,83.16143362,58.00388,73.41368309,58.77782168,82.87,31.63454422,43.4,100.0,71.34,72.0,50.0,87.15384615,91.9999,87.0375,100.0,99.0
Israel,0.0,100.0,90.93,74.2,50.0,63.4,87.45,57.9,83.27,74.8,54.56430912,59.0,39.47083098,43.63973725,73.28509946,71.90922729,20.19977082,95.7,100.0,100.0,96.25,57.09716701,35.50550258,83.28824989,83.56063,23.8922368,70.59509699,89.15,0.0,52.8,100.0,96.84,54.0,50.0,100.0,82.96,78.13583333,79.11,97.88333333
Italy,100.0,100.0,96.13,60.2,100.0,71.4,86.59,87.4,35.69,59.0,27.96103557,66.0,0.0,18.16677155,56.23377445,61.4432016,65.85236472,91.1,7.0,50.14107492,41.0,74.98332861,31.21223399,56.85598331,79.04506,85.39524991,46.21361781,78.6,50.41574033,42.3,100.0,65.18,50.0,50.0,100.0,83.08,89.79583333,69.02,99.0
Jamaica,50.0,100.0,32.53,53.8,0.0,61.8,49.14,45.8,33.5,62.0,44.77962255,42.0,0.0,0.0,39.95712305,40.521482,31.82660233,87.93333333,5.285714286,17.2229321,38.0,10.31328373,24.40596591,44.89953726,71.73345667,0.0,14.11826682,56.58,0.0,37.7,0.0,43.0,0.0,0.0,81.69230769,75.38,54.64291667,47.56,98.0
Japan,100.0,100.0,97.82,78.8,100.0,70.4,90.94,56.6,71.65,82.4,54.87395128,68.5,16.99916163,26.61383928,51.8414036,67.80721654,28.73697523,,37.0,78.55927893,80.0,77.77834795,38.70412641,59.90911154,72.341144,86.67139313,61.50401686,91.47,68.72611997999999,54.1,100.0,85.26,81.0,100.0,100.0,88.15,85.80916667,85.85,86.0
Jordan,100.0,50.0,70.96,53.2,100.0,34.2,65.94,80.3,46.28,53.8,57.41806825,22.0,0.0,0.0,34.91715704,42.66314067,29.40495758,99.6,21.0,28.55126754,49.25,59.43732442,35.47596581,44.27290958,90.782356,46.96915988,26.93928618,46.81,0.0,44.9,100.0,49.03,63.0,50.0,52.0,90.1,62.01041667,53.02,98.0
Kazakhstan,0.0,100.0,93.15,49.8,0.0,28.6,93.44,73.9,59.71,52.8,52.98118592,87.0,0.0,0.0,36.60241195,45.98243144,1.059550751,95.7,0.0,6.620348388,37.0,49.69119232,31.4329955,43.90547048,63.26468,22.58064516,30.77834848,75.2,0.0,40.2,100.0,38.6,50.0,50.0,100.0,96.17,78.55916667,45.29,100.0
Kenya,0.0,100.0,81.7,42.4,0.0,45.8,68.21,76.0,40.75,44.0,51.4237245,38.0,0.0,0.0,28.37241262,25.01225105,12.60611268,91.4,44.0,10.64699778,60.0,37.95436778,24.21675865,29.0870993,61.45426,0.0,9.456077967,43.05,0.0,39.4,100.0,50.77,0.0,50.0,93.61538462,24.0519,54.53791667,36.33,91.0
Kiribati,0.0,0.0,13.84,44.8,0.0,71.8,36.86,24.3,38.412,53.4,42.62511492,35.0,0.0,0.0,0.0,33.89766482,17.48071043,91.24444444,7.666666667,9.608373784,44.5,0.0,28.58704329,0.0,0.0,0.0,16.6864217,25.3,0.0,39.72,0.0,40.922,35.0,0.0,37.53846154,58.7538,24.4975,37.89181818,96.4
Kuwait,0.0,100.0,75.05,54.2,0.0,36.2,69.73,56.5,38.52,52.2,49.64339733,31.85714286,0.0,0.0,65.67683164,59.4506841,42.83601938,93.7,2.0,9.2528531,42.5,43.23129027,33.07220286,50.57656721,83.56063,22.43885147,60.35822468,77.74,0.0,55.8,100.0,42.95,42.0,50.0,100.0,99.4,64.22291667,72.46,99.8
Kyrgyzstan,0.0,100.0,49.64,37.4,0.0,35.6,61.76,50.2,17.05,32.2,34.60244735,73.0,0.0,0.0,23.05834159,35.45458443,6.164485733,88.7,5.0,4.601285774,19.25,16.82024129,24.74706615,36.79727025,62.55234,0.0,19.78137758,66.37,0.0,34.6,0.0,15.66,0.0,0.0,100.0,87.8,78.6325,32.17,90.0
Lao People's Democratic Republic,0.0,100.0,20.34,30.2,0.0,16.8,30.05,37.2,47.77,38.0,52.28271485,35.0,0.0,0.0,22.78466137,40.53404952,26.79790664,99.2,7.666666667,9.608373784,46.25,10.31328373,30.23361477,19.12757826,57.90062,0.0,16.6864217,28.2,0.0,39.72,0.0,44.69,35.0,0.0,50.0,72.0,54.11208333,43.88,96.4
Latvia,100.0,100.0,97.28,73.4,0.0,68.6,81.35,72.2,37.31,63.8,42.60495503,64.0,0.0,0.0,63.88372121,71.91694614,8.792707529,73.2,21.0,28.28876649,44.75,44.86428658,25.29753946,76.40185918,62.266,0.0,57.85591993,83.78,0.0,52.01052632,100.0,61.35,81.0,0.0,90.07692308,91.39,83.71916667,67.79,96.47368421
Lebanon,100.0,100.0,30.44,27.4,0.0,37.4,42.57,47.3,28.62,20.8,27.98207203,22.25,0.0,0.0,37.37345007,39.64519003,2.466180338,97.6,10.0,30.0943621,40.75,46.18659354,37.14657616,48.82170581,90.782356,47.11095356,26.93928618,49.07,0.0,35.5,100.0,40.87,35.75,50.0,59.0,73.05711667,51.87041667,39.79,94.0
Lesotho,0.0,100.0,9.08,37.6,0.0,51.0,34.56,46.5,0.05,32.2,42.54623253,30.5,0.0,0.0,10.80819931,29.18244764,11.3024477,97.3,14.77777778,2.690490684,35.75,10.31328373,20.065169,15.82743737,49.6474,0.0,9.232187541,38.36,0.0,32.83636364,0.0,0.0,0.75,0.0,51.92307692,4.15985,55.22541667,36.72,86.5
Liberia,0.0,0.0,9.72,30.4,0.0,49.6,34.17,33.5,21.2775,21.2,41.38274756,26.0,0.0,0.0,17.47843307,17.11452281,2.608268813,94.6,12.28571429,12.72028408,28.41666667,13.01391512,27.29154798,9.238027961,59.632416,0.0,4.161727907,11.15,0.0,34.7,0.0,19.98583333,0.0,0.0,24.46153846,4.15191,49.42833333,25.73,82.0
Libya,0.0,0.0,28.78,8.2,0.0,22.2,9.9,15.6,,15.0,,16.0,0.0,0.0,24.27031675,48.3888242,,99.0,,11.96744873,,48.04545048,22.24728398,26.60179433,,0.0,3.702489135,16.01,0.0,,0.0,,38.0,0.0,100.0,90.51,21.4075,58.11,
Liechtenstein,0.0,100.0,35.15,82.6,0.0,77.4,73.29,17.3,45.60758621,79.8,48.26404404,55.15789474,0.0,11.4619567,77.31149846,72.76905945,41.59035926,89.228,31.96551724,58.12070382,59.49137931,20.62656746,37.84776404,74.31754733,81.35594,0.0,60.63615762,100.0,0.0,52.01052632,0.0,66.51241379,48.10526316,50.0,97.15384615,93.0792,84.97283046,79.26965517,96.47368421
Lithuania,100.0,100.0,97.93,76.0,0.0,71.2,83.47,82.2,50.6,69.8,38.52386475,72.0,0.0,18.16677155,61.76694048,68.70727809,5.741896624,93.8,39.0,41.37495091,61.75,41.48211103,33.66002309,76.82414874,59.18942,0.0,54.08929277,86.36,0.0,55.8,100.0,65.18,36.0,0.0,100.0,87.71,84.93375,83.53,96.0
Luxembourg,100.0,100.0,97.41,86.6,0.0,80.8,83.19,81.6,94.93,85.4,78.1692346,55.15789474,0.0,0.0,92.67908527,71.35772655,16.73344774,90.4,28.0,40.60608821,79.5,44.86428658,25.84411983,79.86866454,55.1495,0.0,72.61951798,94.62,21.59393584,52.01052632,100.0,92.18,48.10526316,50.0,100.0,97.64,78.20125,81.41,96.47368421
Madagascar,0.0,100.0,23.33,33.6,0.0,44.2,35.15,44.9,16.96,30.2,29.2834878,22.88888889,0.0,0.0,23.06908252,12.62276127,1.872813625,79.2,12.28571429,0.6851419149,33.75,18.26733934,30.72161802,10.45927025,62.03494,0.0,4.161727907,18.2,0.0,33.9,100.0,22.75,16.11111111,0.0,54.0,16.1685,51.98041667,26.59,95.0
Malawi,0.0,50.0,36.83,35.2,0.0,51.4,36.07,31.3,10.46,33.2,33.91396602,15.0,0.0,0.0,27.37035174,16.56866318,2.608268813,95.0,12.28571429,12.72028408,19.75,24.07860421,27.29154798,5.887360406,59.632416,0.0,4.161727907,18.15,0.0,35.7,0.0,13.46,28.0,0.0,46.23076923,12.7525,56.49041667,20.36,88.0
Malaysia,100.0,100.0,98.06,62.8,50.0,50.0,76.3,82.7,76.39,69.8,68.14008553,70.0,0.0,11.4619567,49.98329675,80.19936987,29.94136647,94.8,26.0,36.13958874,78.75,71.93625364,52.55800003,56.7119464,68.33434,79.36901808,75.76715396,79.45,0.0,43.8,100.0,71.9,54.0,50.0,100.0,96.04,71.05041667,71.53,94.0
Maldives,0.0,50.0,2.95,36.8,0.0,45.2,48.73,56.2,,47.4,,,0.0,0.0,44.96629221,52.58550602,,,,,,16.82024129,4.695026053,58.86582518,21.12676,0.0,,58.45,0.0,,100.0,,,0.0,100.0,93.0008,52.8975,13.59,
Mali,0.0,100.0,10.14,37.4,0.0,32.0,36.52,50.3,16.5,26.0,36.54272158,22.88888889,0.0,0.0,25.80860311,24.60767762,1.55265702,72.5,7.0,8.739080891,33.25,18.26733934,27.29154798,3.927500543,59.632416,0.0,4.161727907,43.98,0.0,35.8,0.0,16.8,16.11111111,0.0,88.07692308,29.5533,51.92791667,25.21,93.0
Malta,100.0,100.0,83.65,63.4,100.0,71.6,88.49,68.1,73.14,66.0,64.90841707,57.0,0.0,0.0,59.85901479,72.93906748,31.64651402,91.7,24.0,27.63191337,53.5,34.39188793,19.79366852,82.19552212,55.69892,0.0,60.00263401,92.45,0.0,52.8,100.0,61.51,0.0,50.0,100.0,93.39,74.61833333,68.05,97.88333333
Marshall Islands,0.0,0.0,4.9,42.2,0.0,72.0,30.04,8.8,75.2775,54.6,56.82121714,66.0,0.0,0.0,43.19096587,67.14067336,31.41742157,96.36666667,24.5,43.6646192,63.9375,0.0,1.68200179,0.0,67.82422667,0.0,44.19860398,12.36,0.0,51.8,0.0,47.9875,35.75,0.0,29.23076923,83.34478,20.86041667,56.80166667,98.25
Mauritania,0.0,100.0,18.94,28.8,0.0,35.4,9.52,39.7,23.66875,36.0,17.26994117,30.5,0.0,0.0,19.91028332,15.25297211,30.91101343,82.8,14.77777778,0.5482708728,31.90625,15.10868757,45.1356503,10.53341151,57.71496,0.0,9.456077967,46.48,0.0,32.83636364,0.0,29.009375,0.75,0.0,87.0,29.3566,48.06875,24.89,86.5
Mauritius,100.0,100.0,96.89,73.4,0.0,62.0,62.82,89.1,38.99,65.0,48.89519215,33.66666667,0.0,0.0,50.63405227,50.91756712,13.05398525,93.6,33.0,16.88258737,35.0,36.14347393,27.63747561,0.0,72.05806,0.0,30.54128803,75.88,0.0,34.875,100.0,38.18,0.0,50.0,100.0,73.82,75.91375,46.63,90.0
Mexico,0.0,100.0,81.68,47.0,0.0,47.6,82.45,79.2,36.8,44.4,33.35282008,75.0,0.0,34.3858701,18.21445764,66.39987237,16.9643257,87.93333333,5.0,14.03745979,39.75,58.67198887,31.79694696,47.54814323,61.2563,80.07798653,31.23929935,63.0,0.0,38.1,100.0,55.16,80.0,50.0,77.15384615,66.44,87.50708333,79.98,84.0
Monaco,0.0,100.0,72.57,78.0,0.0,64.2,45.88,26.2,45.60758621,91.0,48.26404404,55.15789474,0.0,0.0,77.31149846,72.76905945,41.59035926,89.228,31.96551724,58.12070382,59.49137931,0.0,34.06665655,74.31754733,0.0,0.0,60.63615762,87.94,0.0,52.01052632,100.0,66.51241379,48.10526316,0.0,82.15384615,85.9306,84.97283046,79.26965517,96.47368421
Mongolia,0.0,100.0,26.2,44.6,0.0,55.2,62.63,93.4,19.8,41.6,25.90845427,51.0,0.0,0.0,37.17528876,42.91539014,13.27568566,81.5,7.666666667,6.753200598,33.0,27.64108406,23.3061528,47.03575694,68.15536,0.0,27.2619518,69.73,0.0,38.9,0.0,25.94,54.0,0.0,100.0,80.03,76.28333333,44.61,98.0
Montenegro,0.0,100.0,53.23,60.8,0.0,55.4,55.28,65.2,41.4,49.4,52.13673115,57.4,0.0,0.0,57.24156362,48.91854556,26.29503824,98.5,4.428571429,16.75856913,33.5,31.61067617,26.71978494,58.67533474,75.96735,0.0,54.39220335,78.68,0.0,44.875,100.0,44.68,26.0,50.0,100.0,80.96,67.01916667,62.33,95.0
Morocco,0.0,100.0,82.41,48.2,50.0,38.8,47.21,54.7,33.27,47.4,50.2749443,26.0,0.0,0.0,39.98695261,40.45751723,22.82406887,84.8,8.0,30.0943621,35.0,60.64271098,35.56618293,44.99039609,90.6312,0.0,42.3152904,66.76,13.62425662,37.2,100.0,37.16,0.0,0.0,100.0,86.21,59.01625,48.74,92.0
Mozambique,0.0,57.89473684,24.18,35.4,0.0,37.8,35.63,44.4,12.87,35.8,31.97139502,9.0,0.0,0.0,16.16378063,17.42814171,1.835703143,93.5,6.0,14.73129844,26.0,10.31328373,12.48879961,6.13813315,58.5134,0.0,4.161727907,15.37,0.0,33.5,100.0,17.19,0.0,0.0,32.38461538,8.96152,56.24041667,28.43,89.0
Myanmar,0.0,50.0,36.41,25.2,0.0,13.8,30.73,21.1,38.412,16.4,42.62511492,35.0,0.0,0.0,19.11004045,20.72082029,17.48071043,99.2,7.666666667,7.325309112,44.5,23.32719885,43.98221419,19.63733739,100.0,0.0,16.6864217,60.82,0.0,34.8,0.0,40.922,35.0,0.0,82.07692308,59.9941,63.76291667,16.86,91.0
Namibia,0.0,50.0,11.47,49.6,50.0,61.2,43.16,46.2,33.69,50.8,46.00355228,31.0,0.0,0.0,35.09655916,40.11525202,8.389896964,96.9,18.0,16.22358828,34.75,30.21737515,11.65444155,24.99478225,84.99156,0.0,23.17485403,51.33,0.0,33.6,0.0,44.52,0.0,50.0,87.07692308,30.5413,52.21416667,47.09,88.0
Nauru,0.0,71.42857143,79.12285714,50.4,0.0,62.4,29.52,20.5,70.316,54.0,57.462237,68.5,0.0,0.0,70.69990291,84.89010503,23.22606498,,43.8,63.64601182,70.45,0.0,38.70412641,0.0,72.341144,0.0,65.92256025,47.68,0.0,64.76666667,0.0,81.9,81.0,0.0,61.46153846,85.0441,84.5395,82.40166667,96.05
Nepal,0.0,100.0,44.99,37.0,0.0,49.0,45.92,58.1,23.84,31.6,35.3927652,39.0,0.0,0.0,15.7252572,29.37694988,1.53157134,98.6,2.0,14.72923924,26.25,30.21737515,28.10865297,36.50025235,69.23874,0.0,10.81698055,51.23,0.0,34.6,0.0,27.45,0.0,0.0,97.84615385,28.4205,53.56583333,21.1,84.0
Netherlands,100.0,100.0,97.05,84.2,0.0,80.8,90.26,82.5,66.64,81.6,62.52034505,46.0,0.0,34.3858701,74.85969457,85.58537215,62.20554648,93.7,33.0,64.63919159,87.75,67.14232016,25.26215021,85.43531115,58.58586,84.26090039,72.54049783,96.2,47.13218414,58.1,100.0,100.0,42.0,100.0,90.84615385,95.63,87.95583333,72.18,96.0
New Zealand,0.0,100.0,84.04,87.4,0.0,82.8,95.79,75.6,51.63,76.8,59.83014107,50.0,0.0,0.0,60.05172003,64.58202272,23.39723303,,38.0,47.4376633,68.5,54.2380313,29.70844562,82.51980697,69.92032,49.3796526,65.92256025,88.96,0.0,55.5,100.0,77.97,81.0,100.0,88.23076923,89.7421,85.26375,84.28,99.0
Nicaragua,0.0,100.0,9.0,31.8,0.0,23.0,48.09,51.5,2.213333333,29.2,29.43877378,35.66666667,0.0,0.0,36.18237909,34.43463985,4.393853892,88.9,,5.517787583,20.33333333,15.10868757,20.55253213,29.94595897,75.57232,0.0,,42.87,0.0,34.6,0.0,9.25,21.0,0.0,74.69230769,30.1339,51.65791667,32.04,93.0
Niger,0.0,100.0,11.36,35.6,0.0,42.4,39.04,30.3,21.2775,37.2,41.38274756,22.88888889,0.0,0.0,13.46714685,10.35718772,1.827046119,88.6,12.0,12.72028408,28.41666667,10.31328373,16.1241469,1.634114754,36.05582,0.0,6.624522587,14.0,0.0,35.34545455,0.0,19.98583333,16.11111111,0.0,43.38461538,51.13,57.01583333,12.57,89.28181818
Nigeria,50.0,100.0,84.76,26.8,0.0,38.0,52.5,59.5,17.38,29.2,28.9301753,52.0,0.0,11.4619567,14.61699224,19.60386913,10.29328783,92.5,17.0,10.64699778,22.75,54.49602616,24.21675865,21.77839989,58.49270182,0.0,9.456077967,38.86,0.0,31.3,100.0,43.17,6.0,0.0,78.23076923,22.4629,53.57541667,52.83,99.0
North Macedonia,0.0,100.0,89.92,59.0,0.0,53.2,70.2,58.3,27.14,48.4,31.84203705,57.4,0.0,0.0,53.13842427,49.77789539,10.84835009,97.5,4.428571429,17.30755376,17.5,38.59105617,26.92966449,63.88381788,94.76372,0.0,33.74160411,64.17,0.0,44.875,100.0,32.55,26.0,0.0,75.23076923,79.9169,72.03875,83.73,95.0
