pais_original,ind_ai_strategy,ind_data_protection_laws,ind_cybersecurity,ind_regulatory_quality,ind_ethical_principles,ind_accountability,ind_online_services,ind_foundational_it,ind_govt_promotion_emerging_tech,ind_govt_effectiveness,ind_govt_responsiveness,ind_procurement_data,ind_ai_unicorns_log,ind_non_ai_unicorns_log,ind_ict_trade_services_log,ind_ict_trade_goods_log,ind_software_spending,ind_time_govt_regulations,ind_vc_availability,ind_rd_spending_log,ind_company_investment_emerging_tech,ind_ai_research_papers_log,ind_stem_graduates,ind_github_activity_log,ind_female_stem_graduates,ind_eng_tech_higher_ed_quality,ind_ict_skills,ind_telecom_infrastructure,ind_supercomputers_log,ind_broadband_quality,ind_5g_infrastructure,ind_adoption_emerging_tech,ind_open_data,ind_data_governance,ind_mobile_subscriptions,ind_households_internet,ind_statistical_capacity,ind_cost_internet_device,ind_gender_gap_internet
Belgium,100.0,100.0,96.25,75.0,0.0,75.8,68.99,80.0,45.60758621,74.6,44.53548988,55.15789474,0.0,22.9239134,74.42944253,69.5200321,63.25258742,89.5,25.0,80.79493794,67.5,60.17587186,24.30478544,73.55150048,51.66392,77.20666431,60.47675491,82.94,13.62425662,46.5,100.0,66.51241379,48.10526316,50.0,78.38461538,94.44,82.415,74.27,97.0
Belize,0.0,0.0,10.29,41.2,0.0,60.6,44.25,41.0,23.52,42.8,30.49984941,32.0,0.0,0.0,51.48279284,40.47227318,16.78900559,87.93333333,5.285714286,17.2229321,30.92307692,0.0,30.81924219,48.38032741,83.66014,0.0,23.41465824,38.82,0.0,35.36666667,0.0,44.22230769,36.0,50.0,50.76923077,68.33,58.75541667,58.13,90.13333333
Benin,100.0,100.0,80.06,43.0,0.0,43.0,52.45,64.5,33.36,46.8,51.82746252,28.0,0.0,0.0,21.06415554,18.9763754,4.262084866,94.3,14.77777778,10.64699778,22.0,28.58062307,25.67975381,17.18532702,100.0,0.0,9.456077967,31.56,0.0,32.3,0.0,26.3,0.0,0.0,83.84615385,26.53781133,48.04625,35.2,95.0
Bhutan,0.0,100.0,18.34,42.4,0.0,53.2,59.96,81.2,37.248,61.2,45.00302553,28.75,0.0,0.0,18.75110361,32.82638628,25.0652372,71.2,8.4,14.72923924,41.2,6.506957562,28.10865297,38.43296038,69.23874,0.0,10.12774924,52.61,0.0,34.6,0.0,41.668,38.25,50.0,73.0,94.32,51.99125,38.55,84.0
Bolivia (Plurinational State of),0.0,100.0,16.14,25.8,0.0,46.0,51.93,65.8,6.64,38.8,24.65113402,41.0,0.0,0.0,24.51784482,31.13138637,26.04950263,84.9,,4.334410557,12.0,16.82024129,20.55253213,40.33528506,75.57232,0.0,,58.18,0.0,34.6,0.0,27.75,63.0,50.0,76.61538462,56.89,62.65625,38.9,93.0
Bosnia and Herzegovina,0.0,100.0,29.44,46.8,0.0,43.4,48.98,46.4,4.51,28.8,17.17933813,57.4,0.0,0.0,45.11286534,44.58275963,5.948413999,95.3,4.428571429,9.536489233,17.0,42.4485408,32.02972697,58.64902392,88.99036,0.0,31.17344923,63.82,0.0,44.875,0.0,33.05,26.0,0.0,90.69230769,75.95,61.2375,45.93,95.0
Botswana,0.0,100.0,53.06,62.4,0.0,59.0,27.4,55.4,29.6,59.2,44.54829295,37.0,0.0,0.0,33.5815979,42.25557257,10.08993088,93.6,6.0,24.0825827,30.75,35.30847448,25.78546433,31.21299543,80.8545,0.0,24.46990649,68.14,0.0,33.1,100.0,26.73,0.0,0.0,100.0,70.6,57.34916667,54.63,78.0
Brazil,100.0,100.0,96.6,45.6,50.0,54.2,89.64,98.0,28.44,38.2,29.2080164,78.0,16.99916163,42.41427981,38.74380111,43.73141068,28.185169,87.93333333,12.0,41.82224225,39.0,67.81593314,22.85790204,55.28546316,73.28812,79.26267281,26.8931911,68.14,45.25880084,42.8,100.0,55.65,72.0,50.0,76.07692308,80.24,76.75375,83.66,91.0
Brunei Darussalam,0.0,0.0,56.07,71.4,0.0,33.6,58.71,55.2,70.316,78.4,47.01911212,68.5,0.0,0.0,70.69990291,58.50474227,22.36007647,,43.8,13.24959244,70.45,38.27810867,50.1464885,60.68502303,100.0,0.0,58.29053075,83.72,0.0,64.76666667,0.0,81.9,81.0,0.0,90.61538462,53.59,84.5395,65.13,96.05
Bulgaria,100.0,100.0,67.38,56.4,0.0,55.8,70.92,70.2,45.63,44.6,43.42060883,50.0,0.0,0.0,56.56726846,57.52052846,18.61292143,89.5,9.0,33.24607655,46.5,57.59795536,25.48181438,68.88068568,73.74378,0.0,35.83563809,79.84,21.59393584,55.6,100.0,48.94,70.0,50.0,90.30769231,87.31,82.32333333,63.99,92.0
Burkina Faso,0.0,100.0,39.98,40.6,0.0,37.4,37.3,58.1,18.4,33.4,45.46493292,1.0,0.0,0.0,16.32184533,19.36986946,2.126300429,90.21764706,10.0,12.06985719,24.0,15.10868757,33.09989579,5.292821343,41.1736,0.0,4.161727907,39.31,0.0,29.9,0.0,2.44,54.0,0.0,85.92307692,25.86,53.62333333,24.12,83.0
Burundi,0.0,0.0,1.73,31.0,0.0,22.2,33.76,41.4,21.19,24.8,44.32624182,22.88888889,0.0,0.0,6.545724954,11.27606132,5.480267345,97.7,12.28571429,10.44771962,23.5,6.506957562,25.69928387,3.266399928,36.33822,0.0,4.161727907,14.0,0.0,35.34545455,0.0,17.31,16.11111111,0.0,44.61538462,17.93,50.91333333,0.0,89.28181818
Cabo Verde,0.0,100.0,17.74,55.2,0.0,68.8,49.65,91.0,26.35,49.4,48.21979602,30.5,0.0,0.0,36.64741944,39.89914623,25.72279599,92.78571429,14.77777778,10.64699778,34.0,0.0,21.0673288,36.63911562,84.71616,0.0,11.6291321,55.07,0.0,32.83636364,0.0,29.74,0.75,0.0,76.30769231,70.43,54.66875,55.48,86.5
Cambodia,0.0,100.0,19.12,35.8,0.0,23.8,41.81,70.1,31.13,43.0,41.89144373,0.0,0.0,0.0,27.9482933,34.52818548,2.284690184,83.6,6.0,6.043110828,43.75,23.32719885,30.3134594,30.37215682,33.35992,0.0,16.4757013,56.05,0.0,36.7,0.0,32.06,0.0,0.0,89.46153846,59.9941,56.2025,38.82,100.0
Cameroon,0.0,100.0,45.63,32.0,0.0,27.0,39.16,42.1,29.62,32.4,39.8352782,65.0,0.0,0.0,17.77416511,23.42459332,11.6434164,82.1,4.0,10.64699778,33.25,33.10390481,24.21675865,16.88156672,64.55688,0.0,9.456077967,36.5,0.0,31.8,0.0,36.36,0.0,0.0,63.69230769,26.53781133,53.47666667,34.67,93.0
