iso3,country_name_canonical,entity_type,present_iapp,present_microsoft,present_oxford,present_wb,present_wipo,present_stanford,present_oecd,present_anthropic,n_sources_present,source_list,included_in_matrix,inclusion_notes
LDC,LDC,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
NFK,Norfolk Island,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
NIU,Niue,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
PCN,Pitcairn,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
SCG,Serbia and Montenegro,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
SGS,South Georgia and the South Sandwich Islands,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
SHN,Saint Helena,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
SJM,Svalbard and Jan Mayen,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
SPM,Saint Pierre and Miquelon,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
TKL,Tokelau,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
UMI,United States Minor Outlying Islands,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
WLF,Wallis and Futuna,country_iso3,0,0,0,0,0,0,0,1,1,anthropic,True,
XKV,nan,country_iso3,0,0,0,0,0,0,1,0,1,oecd,True,
CUW,Curacao,territory_iso3,0,0,0,1,0,1,1,1,4,"wb, stanford, oecd, anthropic",False,territory excluded from principal country matrix
MAC,MAC,territory_iso3,0,0,0,1,0,1,1,1,4,"wb, stanford, oecd, anthropic",False,territory excluded from principal country matrix
ABW,ABW,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
ASM,American Samoa,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
BMU,Bermuda,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
CYM,Cayman Islands,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
FRO,FRO,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
GIB,Gibraltar,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
GRL,Greenland,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
GUF,French Guiana,territory_iso3,0,1,0,0,0,1,0,1,3,"microsoft, stanford, anthropic",False,territory excluded from principal country matrix
GUM,Guam,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
NCL,New Caledonia,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
PYF,PYF,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
SXM,SXM,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
TCA,TCA,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
VGB,VGB,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
VIR,U.S. Virgin Islands,territory_iso3,0,0,0,1,0,1,0,1,3,"wb, stanford, anthropic",False,territory excluded from principal country matrix
IMN,Isle of Man,territory_iso3,0,0,0,1,0,0,0,1,2,"wb, anthropic",False,territory excluded from principal country matrix
JEY,JEY,territory_iso3,0,0,0,0,0,1,0,1,2,"stanford, anthropic",False,territory excluded from principal country matrix
AIA,Anguilla,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
ALA,Aland Islands,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
BES,"Bonaire, Saint Eustatius and Saba ",territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
GGY,Guernsey,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
GLP,Guadeloupe,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
MSR,Montserrat,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
MTQ,Martinique,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
MYT,Mayotte,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
REU,Reunion,territory_iso3,0,0,0,0,0,0,0,1,1,anthropic,False,territory excluded from principal country matrix
