iso3,country_name,region,income_group,value_used_for_ranking,question_id,question_label,outcome,outcome_label,value_type,rank_desc,rank_asc,percentile,n_ranked,is_top_5_global,is_bottom_5_global,interpretation_label,missingness_flag,why_high_or_low_short,group_name,group_type,rank_within_group,percentile_within_group,n_group_ranked,is_best_in_group,is_worst_in_group,distance_to_group_best,distance_to_group_median,distance_to_chile,why_best_or_worst
SGP,Singapore,East Asia & Pacific,High income,26.94303373,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,5.0,37.0,0.8837209302325582,43,True,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,45.268172660000005,-18.443452915,,
NZL,New Zealand,East Asia & Pacific,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,4.0,0.3333333333333333,6,False,False,72.21120639,8.499580815,,
AUS,Australia,East Asia & Pacific,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,4.0,0.3333333333333333,6,False,False,72.21120639,8.499580815,,
KOR,South Korea,East Asia & Pacific,High income,0.0,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,13.0,1.0,0.37209302325581395,43,False,True,low_performer,False,desempeño bajo relativo,East Asia & Pacific,region,4.0,0.3333333333333333,6,False,False,72.21120639,8.499580815,,
CHN,China,East Asia & Pacific,Upper middle income,72.21120639,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,2.0,42.0,0.9767441860465116,43,True,False,top_pioneer,False,ubicado en el tramo superior de la muestra,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-63.711625575,,mejor de su grupo
JPN,Japan,East Asia & Pacific,High income,16.99916163,Q1,Inversión,oxford_ind_ai_unicorns_log,oxford_ind_ai_unicorns_log,observed_or_score,8.0,32.0,0.7906976744186046,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,55.21204476,-8.499580815,,
SGP,Singapore,East Asia & Pacific,High income,78.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,11.0,33.0,0.7674418604651163,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,2.0,0.8333333333333334,6,False,False,1.5,-11.375,,
NZL,New Zealand,East Asia & Pacific,High income,68.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,17.0,27.0,0.627906976744186,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,3.0,0.6666666666666666,6,False,False,11.5,-1.375,,
AUS,Australia,East Asia & Pacific,High income,65.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,21.0,23.0,0.5348837209302325,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,4.0,0.5,6,False,False,14.25,1.375,,
KOR,South Korea,East Asia & Pacific,High income,59.5,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,25.0,19.0,0.4418604651162791,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,6.0,0.16666666666666666,6,False,True,20.5,7.625,,peor de su grupo
CHN,China,East Asia & Pacific,Upper middle income,59.75,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,24.0,20.0,0.46511627906976744,43,False,False,middle_performer,False,desempeño intermedio relativo,East Asia & Pacific,region,5.0,0.3333333333333333,6,False,False,20.25,7.375,,
JPN,Japan,East Asia & Pacific,High income,80.0,Q1,Inversión,oxford_ind_company_investment_emerging_tech,oxford_ind_company_investment_emerging_tech,observed_or_score,9.0,35.0,0.813953488372093,43,False,False,high_performer,False,desempeño alto relativo,East Asia & Pacific,region,1.0,1.0,6,True,False,0.0,-12.875,,mejor de su grupo
