iso3,country_name,region,income_group,Q1_percentile,Q1_label,Q2_percentile,Q2_label,Q3_percentile,Q3_label,Q5_percentile,Q5_label,Q6_percentile,Q6_label,overall_country_profile_score,overall_country_profile_rank,overall_country_profile_label,main_strengths,main_weaknesses,missingness_warnings,recommended_use_in_phase8,cluster_hca,cluster_kmeans,Q4_regulatory_profile,Q4_regulatory_label,Q4_data_source,overall_country_profile_score_is_descriptive,not_a_causal_or_predictive_index
EST,Estonia,Europe & Central Asia,High income,0.7686046511627908,high_performer,0.5848113814167828,middle_performer,0.6124031007751938,middle_performer,0.4003322259136213,middle_performer,0.8683420855213804,high_performer,0.6468986889579538,13.0,middle_performer,Q1;Q6,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
FIN,Finland,Europe & Central Asia,High income,0.7261627906976744,middle_performer,0.6310345443503733,middle_performer,0.7068106312292359,middle_performer,0.571797711332595,middle_performer,0.7280034294287858,middle_performer,0.672761821407733,10.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
FRA,France,Europe & Central Asia,High income,0.7411337209302326,middle_performer,0.8241310327581897,high_performer,0.8574197120708749,high_performer,0.7403100775193798,middle_performer,0.7721037402207694,high_performer,0.7870196566998893,3.0,high_performer,Q2;Q3;Q6,,0_missing_Q_dimensions,positive_comparator,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
GBR,United Kingdom,Europe & Central Asia,High income,0.8873546511627908,high_performer,0.5648144178901868,middle_performer,0.941029900332226,top_pioneer,0.76375046142488,high_performer,0.6552352373807738,middle_performer,0.7624369336381716,5.0,high_performer,Q1;Q3;Q5,,0_missing_Q_dimensions,positive_comparator,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
GRC,Greece,Europe & Central Asia,High income,0.15334302325581395,bottom_laggard,0.2640177901618262,low_performer,0.28239202657807305,low_performer,0.26965669988925806,low_performer,0.5174418604651163,middle_performer,0.2973702800700175,33.0,low_performer,,Q1,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
HRV,Croatia,Europe & Central Asia,High income,0.26744186046511625,low_performer,0.30056799914264276,low_performer,0.18964562569213733,bottom_laggard,0.12550756736803248,bottom_laggard,0.27960561568963666,low_performer,0.23255373367151305,41.0,low_performer,,Q3;Q5,0_missing_Q_dimensions,gap_case,3,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
HUN,Hungary,Europe & Central Asia,High income,0.24651162790697673,low_performer,0.39608116314792985,low_performer,0.3532668881506091,low_performer,0.27703949796973054,low_performer,0.48906869574536493,middle_performer,0.35239357458412224,30.0,low_performer,,Q1,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
IND,India,South Asia,Lower middle income,0.5254360465116279,middle_performer,0.4652547065337763,middle_performer,0.4116832779623477,middle_performer,0.5933923957179771,middle_performer,0.3856589147286822,low_performer,0.4762850682908823,24.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
IRL,Ireland,Europe & Central Asia,High income,0.5886627906976745,middle_performer,0.5671274961597542,middle_performer,0.6470099667774087,middle_performer,0.4483204134366925,middle_performer,0.6272103740220769,middle_performer,0.5756662082187214,19.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
ISR,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.9586482558139535,top_pioneer,0.5261922623513021,middle_performer,0.6943521594684385,middle_performer,0.7069029162052418,middle_performer,0.3099346265137713,low_performer,0.6392060440705415,14.0,middle_performer,Q1,,0_missing_Q_dimensions,context_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
ITA,Italy,Europe & Central Asia,High income,0.3142441860465116,low_performer,0.48503733076126176,middle_performer,0.5420819490586932,middle_performer,0.5919158361018826,middle_performer,0.4740649448076305,middle_performer,0.48146884935519596,23.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
JPN,Japan,East Asia & Pacific,High income,0.6943313953488373,middle_performer,0.5358357446504483,middle_performer,0.6940753045404209,middle_performer,0.7554448135843485,high_performer,0.47615475297395776,middle_performer,0.6311684022196025,16.0,middle_performer,Q5,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
KOR,South Korea,East Asia & Pacific,High income,0.3574127906976744,low_performer,0.7047297538670382,middle_performer,0.8939645625692136,high_performer,0.6777408637873754,middle_performer,0.6445182724252492,middle_performer,0.6556732486693102,12.0,middle_performer,Q3,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
MEX,Mexico,Latin America & Caribbean ,Upper middle income,0.2380813953488372,low_performer,0.32461240310077516,low_performer,0.1184939091915836,bottom_laggard,0.5214101144333703,middle_performer,0.35698210266852426,low_performer,0.31191598494861805,32.0,low_performer,,Q1;Q3,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
NLD,Netherlands (Kingdom of the),Europe & Central Asia,High income,0.6079941860465117,middle_performer,0.8627317543671632,high_performer,0.893687707641196,high_performer,0.7619047619047619,high_performer,0.8186689529525238,high_performer,0.7889974725824314,2.0,high_performer,Q2;Q3;Q5;Q6,,0_missing_Q_dimensions,positive_comparator,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
NOR,Norway,Europe & Central Asia,High income,0.5145348837209303,middle_performer,0.6512949665987925,middle_performer,0.6453488372093024,middle_performer,0.4368770764119601,middle_performer,0.7685671417854464,high_performer,0.6033245811452863,17.0,middle_performer,Q6,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
NZL,New Zealand,East Asia & Pacific,High income,0.5677325581395349,middle_performer,0.45790018933304755,middle_performer,0.32973421926910296,low_performer,0.5108896271686969,middle_performer,0.4577751580752331,middle_performer,0.46480635039712304,26.0,middle_performer,,,0_missing_Q_dimensions,context_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
PER,Peru,Latin America & Caribbean ,Upper middle income,0.1254360465116279,bottom_laggard,0.32212070874861576,low_performer,0.07004429678848284,bottom_laggard,0.33296419342930966,low_performer,0.5200943092916086,middle_performer,0.27413191095392897,36.0,low_performer,,Q1;Q3,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
POL,Poland,Europe & Central Asia,High income,0.24520348837209302,low_performer,0.41517879469867464,middle_performer,0.4108527131782945,middle_performer,0.4592100406053894,middle_performer,0.4462008359232665,middle_performer,0.3953291745555436,28.0,low_performer,,Q1,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,0.28575581395348837,low_performer,0.33042635658914726,low_performer,0.17580287929125138,bottom_laggard,0.33813215208564046,low_performer,0.19573643410852712,bottom_laggard,0.26517072720561086,37.0,low_performer,,Q3;Q6,0_missing_Q_dimensions,gap_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
ROU,Romania,Europe & Central Asia,High income,0.19491279069767442,bottom_laggard,0.19557389347336834,bottom_laggard,0.20044296788482835,low_performer,0.42635658914728686,middle_performer,0.2122494909441646,low_performer,0.2459071464294645,40.0,low_performer,,Q1;Q2;Q3;Q6,0_missing_Q_dimensions,gap_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
SGP,Singapore,East Asia & Pacific,High income,0.8946947674418605,high_performer,0.8111849390919158,high_performer,0.8349944629014396,high_performer,0.6598375784422296,middle_performer,0.6589147286821705,middle_performer,0.7719252953119231,4.0,high_performer,Q1;Q2;Q3,,0_missing_Q_dimensions,positive_comparator,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
SWE,Sweden,Europe & Central Asia,High income,0.7161337209302325,middle_performer,0.6854356446254422,middle_performer,0.7439091915836102,middle_performer,0.659468438538206,middle_performer,0.5842889293752009,middle_performer,0.6778471850105383,9.0,middle_performer,,,0_missing_Q_dimensions,context_case,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
URY,Uruguay,Latin America & Caribbean ,High income,0.257703488372093,low_performer,0.3215669988925803,low_performer,0.12846068660022147,bottom_laggard,0.10151347360649687,bottom_laggard,0.43604651162790703,middle_performer,0.2490582318198597,39.0,low_performer,,Q3;Q5,0_missing_Q_dimensions,gap_case,1,1,Cluster 1: proyecto de ley IA en curso (pragmático),proyecto_en_curso,Techieray_clustering,True,True
USA,United States,North America,High income,0.9673691860465117,top_pioneer,0.6948272782481334,middle_performer,0.9761904761904762,top_pioneer,0.849390919158361,high_performer,0.7829457364341085,high_performer,0.8541447192155183,1.0,high_performer,Q1;Q3;Q5;Q6,,0_missing_Q_dimensions,positive_comparator,0,0,Cluster 0: sin ley ni proyecto IA (soft-law / sin proyecto),sin_regulacion_ia,Techieray_clustering,True,True
