fig_id,section,entity_type,num_data_rows,num_cols,is_wide,note,columns_preview
fig_3.2.1,fig_3.2.1,global,14,2,N,,Year | Number of AI incidents
fig_3.2.2,fig_3.2.2,category,144,3,N,,Date | Number of AI incidents | Label
fig_3.2.5,fig_3.2.5,model,15,2,N,,Model | Hallucination Rate
fig_3.2.6,fig_3.2.6,model,26,2,N,,Model | Hallucination Rate
fig_3.3.1,fig_3.3.1,category,8,2,N,,Average Maturity | Region
fig_3.3.3,fig_3.3.3,category,10,3,N,,% of Respondents | Number of AI Incidents | year
fig_3.3.4,fig_3.3.4,category,12,3,N,,% of Respondents | Organizational Response to Incidents | Year
fig_3.3.5,fig_3.3.5,category,30,5,N,,risk | perc_respondents_2024 | perc_respondents_2025 | pp_change | type
fig_3.3.6,fig_3.3.6,category,20,3,N,,% of Respondents | Business function | Year
fig_3.3.7,fig_3.3.7,category,12,3,N,,% of Respondents | Revenue in USD | Label
fig_3.3.8,fig_3.3.8,category,19,3,N,,% of Respondents | Result | Year
fig_3.3.9,fig_3.3.9,category,14,3,N,,% of Respondents | Obstacle | Year
fig_3.3.10,fig_3.3.10,category,11,2,N,,% of Respondents | Main obstacle
fig_3.3.11,fig_3.3.11,category,14,3,N,,% of Organizations | Regulation | Year
fig_3.4.1,fig_3.4.1,global,7,2,N,,Year | Number of RAI papers
fig_3.4.2,fig_3.4.2,category,29,3,N,,category | year | count
fig_3.4.3,fig_3.4.3,category,42,3,N,,Year | RAI papers (% of total) | Label
fig_3.4.4,fig_3.4.4,country,10,2,N,,Number of RAI submissions | Geographic area
fig_3.4.5,fig_3.4.5,country,88,2,N,,country_code | number_of_rai_submissions
fig_3.5.1,fig_3.5.1,country,81,3,N,,Country/Region | Country Code | Status_Category
fig_3.5.2,fig_3.5.2,country,59,9,N,,country | oecd_ai_principles_2019 | g20_ai_principles_2019 | coe_drafters_2022 | gpai_ministerial_declaration_2022 | bletchley_declaration_2023 | g7_hiroshima_ai_process_2023 | seoul_ministerial_statement_2024
fig_3.6.1,fig_3.6.1,country,138,2,N,,Country | Data Protection & Privacy
fig_3.6.2,fig_3.6.2,country,176,3,N,,Country/Region | Country Code | Status_Category
fig_3.7.1,fig_3.7.1,country,138,2,N,,Country | Bias & Unfair Discrimination
fig_3.7.2,fig_3.7.2,country,138,2,N,,Country | Gender Equality
fig_3.7.3,fig_3.7.3,country,138,2,N,,Country | Cultural & Linguistic Diversity
fig_3.7.4,fig_3.7.4,category,21,3,N,,Region | Share of countries | Category
fig_3.7.5,fig_3.7.5,model,29,3,N,,Model | Year | Mean score
fig_3.7.6,fig_3.7.6,model,27,2,N,,Model | Score
fig_3.7.7,fig_3.7.7,category,24,3,N,,language | model | accuracy
fig_3.8.1,fig_3.8.1,model,34,3,N,,Model | Component | Score
fig_3.8.3,fig_3.8.3,country,40,2,N,,Country Code | Status_Category
fig_3.9.2,fig_3.9.2,model,33,3,N,,Model | Year | Mean score
