STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SECTOR,Institutional sector,EDITION,Edition,CATEGORY,Category,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.25,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.44,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,AUT,Austria,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.16,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.09,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.1,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.09,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.32,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.54,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,BEL,Belgium,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.19,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.09,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.6,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.18,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.23,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CAN,Canada,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.65,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.04,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.07,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.4,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.08,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.06,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CHL,Chile,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.12,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.55,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.74,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.13,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.2,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,DG_PL,Government as a platform,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.11,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.14,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,COL,Colombia,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.21,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG,Digital government,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.22,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG_D,Digital by design,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.05,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,OUR_DAC,Data accessibility,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.16,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG_PR,Proactiveness,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,OUR_DAV,Data availability,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.02,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG_OD,Open by default,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.05,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG_DD,Data-driven public sector,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.05,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,DG_UD,User-driven,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.05,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,OUR,"OURdata: open, useful, reusable government data",IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.19,,A,Normal value,0,Units,_Z,Not applicable,,
DATAFLOW,OECD.GOV.GIP:DSD_GOV@DF_GOV_DGOGD_2025(1.0),"Digital government and open government data indexes - Government at a glance indicators, 2025 edition",I,A,Annual,CRI,Costa Rica,OUR_GSR,Government support for data re-use,IX,Index,_Z,Not applicable,2025,2025,DGOGD,Digital government and open government data,2022,,0.01,,A,Normal value,0,Units,_Z,Not applicable,,
