iso3,region,income_group,iapp_has_ai_law,iapp_regulatory_approach,iapp_regulatory_intensity,iapp_enforcement_level,iapp_thematic_coverage,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,oxford_dimension_ai_sector_maturity,oxford_dimension_human_capital,oxford_dimension_data_quality,oxford_dimension_regulatory_compliance,oxford_dimension_government_digital_policy,oxford_dimension_societal_transition,oxford_dimension_ai_technology_diffusion,ms_ai_user_share_h1_2025,ms_ai_user_share_h2_2025,ms_ai_user_share_change_pp,fh_fh_status,fh_fh_total_score,fh_fh_pr_score,fh_fh_cl_score,fh_fh_year,gdpr_has_gdpr_like_law,gdpr_gdpr_similarity_level,gdpr_dp_law_year,gdpr_has_dpa,gdpr_eu_status,gdpr_enforcement_active,legal_origin,is_common_law,wipo_gii_score,wipo_gii_rank,wipo_income_group_wipo,wipo_region_un,wipo_ppp_per_capita,wipo_population_thousands,wipo_business_environment,wipo_business_sophistication,wipo_creative_goods_and_services,wipo_creative_outputs,wipo_credit,wipo_ecological_sustainability,wipo_education,wipo_general_infrastructure,wipo_human_capital_and_research,wipo_information_and_communication_technologies_icts,wipo_infrastructure,wipo_innovation_inputs,wipo_innovation_linkages,wipo_innovation_outputs,wipo_institutional_environment,wipo_institutions,wipo_intangible_assets,wipo_investment,wipo_knowledge_absorption,wipo_knowledge_and_technology_outputs,wipo_knowledge_creation,wipo_knowledge_diffusion,wipo_knowledge_impact,wipo_knowledge_workers,wipo_market_sophistication,wipo_online_creativity,wipo_regulatory_environment,wipo_research_and_development_r_d,wipo_tertiary_education,wipo_trade_diversification_and_market_scale,wb_gdp_per_capita_ppp_2024,wb_government_effectiveness_2023,wb_regulatory_quality_2023,wb_rule_of_law_2023,wb_control_of_corruption_2023,wb_voice_accountability_2023,wb_political_stability_2023,wb_gdp_current_usd_2024,wb_population_2024,wb_labor_force_2024,wb_fdi_net_inflows_2024,wb_inflation_consumer_prices_2024,wb_unemployment_rate_2024,wb_high_tech_exports_pct,oecd_year,oecd_has_ai_law,oecd_regulatory_approach,oecd_regulatory_intensity,oecd_enforcement_level,oecd_thematic_coverage,oecd_n_total_initiatives,oecd_n_binding,oecd_n_nonbinding,oecd_n_strategies,oecd_n_regulations,oecd_n_sectors_covered,oecd_n_policy_instruments,stanford_fig_4.2.1,stanford_fig_4.2.13,stanford_fig_4.2.14,stanford_fig_4.2.15,stanford_fig_4.2.16,stanford_fig_4.2.17,stanford_fig_4.2.18,stanford_fig_4.2.19,stanford_fig_4.2.21,stanford_fig_4.2.22,stanford_fig_4.2.23,stanford_fig_4.2.24,stanford_fig_4.2.25,stanford_fig_4.2.7,stanford_fig_4.3.12,stanford_fig_4.3.13,stanford_fig_4.3.15,stanford_fig_4.3.16,stanford_fig_4.3.8,stanford_fig_4.3.9,stanford_fig_4.4.12,stanford_fig_4.4.2,stanford_fig_4.4.5,stanford_fig_4.4.6,stanford_fig_1.1.11,stanford_fig_1.3.3,stanford_fig_6.2.1,stanford_fig_6.2.20,stanford_fig_6.2.8,wb_ict_service_exports_pct,stanford_fig_1.2.4,stanford_fig_1.3.12,stanford_fig_1.3.25,stanford_fig_1.4.6,stanford_fig_6.2.15,stanford_fig_6.2.16,oecd_year_enacted,stanford_fig_4.2.2,stanford_fig_1.2.5,stanford_fig_6.2.17,stanford_fig_6.2.3,stanford_fig_6.2.4,stanford_fig_6.3.1,stanford_fig_6.3.2,stanford_fig_6.3.3,stanford_fig_6.3.4,stanford_fig_6.3.5,iapp_year_enacted,stanford_fig_6.3.8,stanford_fig_4.5.4,stanford_fig_4.5.7,stanford_fig_1.3.1,oxford_dimension_policy_commitment,oxford_dimension_enabling_technical_infrastructure,oxford_dimension_governance_principles,wipo_income_group,wipo_research_and_development,wipo_information_and_communication_technologies,wipo_trade_diversification,oecd_has_ai_law_2024,oecd_regulatory_approach_2024,oecd_regulatory_intensity_2024,oecd_enforcement_level_2024,oecd_thematic_coverage_2024,stanford_fig_4.4.4,stanford_fig_4.4.7,stanford_fig_4.5.5,wipo_information_and_communication_technology_ict,wb_year,wb_education_expenditure_pct_gdp,wb_exports_pct_gdp,wb_internet_penetration,wb_mobile_subscriptions_per100,wb_patent_applications_residents,wb_rd_expenditure,wb_rd_expenditure_pct_gdp,wb_tertiary_education,iapp_approach_ordinal,iapp_enforcement_ordinal,income_ordinal,gdpr_eu_adequacy,gdpr_eu_eea_member,gdpr_eu_eu_member,legal_English,legal_French,legal_German,legal_Scandinavian,legal_Socialist,region_simplified,region_africa,region_asia,region_europe,region_latam,region_mena,region_north_america,region_other,region_south_asia,fh_status_ordinal
ARE,Northern Africa and Western Asia,HI,0,strategy_led,5,medium,9,69.86,19,73.0,73.77,72.5,97.27,57.34,43.15,40.49,70.0,97.91,33.33,38.61,71.72,94.06,70.0,96.63,52.98,67.95,59.4,64.0,4.5,NF,17.0,7.0,10.0,2025.0,1,2.0,2021.0,1,none,1,English,1,44.1544888281242,30.0,HI,Northern Africa and Western Asia,77251.44,11027.13,92.9015494653313,49.8665141206488,27.4301842067468,32.7655859206705,53.4693358098661,15.9120433177815,56.2260662616119,60.2980649126728,54.3572325147415,89.7803063720655,55.33013820084,57.6646076406426,51.8962415760228,27.9434048447325,78.3005178514408,79.8750524051509,35.4794565356984,32.1914932708705,42.5385884186588,23.1212237687944,7.93803387767057,28.1885909594944,33.2370464692182,55.1647123672648,48.8941009618319,32.6732464045385,68.4230898986806,36.6597029029209,70.1859283796919,61.0214738047592,79228.738801276,1.60428190231323,1.04239141941071,0.881900131702423,1.07366383075714,-1.0949410200119,0.677530944347382,552324846834.581,10986400.0,7233386.0,45636487406.3989,1.66336510224894,2.16,2.99865577867219,2024.0,0.0,light_touch,5.0,medium,7.0,7.0,0.0,6.0,0.0,1.0,1.0,1.0,2014.0,24.88%,1/1/18,0.73,Female,0.54%,168%,2016.0,2016.0,4.13,1/1/23,2.00%,0.0400621093617029,0.61%,8.0,36.0,4.192175837,2018.0,1.772767429,3.671712708,Little or no change,Human resources,13%,2023.0,4.0,3.0,3.0,2018.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.89403009414673,106.846139017261,100.0,199.424,69.0,1.49469,,63.7384451086316,2,2,2,0,0,0,1,0,0,0,0,mena,0,0,0,0,1,0,0,0,
ARG,LATAM,UM,0,strategy_led,4,low,8,58.25,56,73.0,50.26,84.69,71.06,32.09,70.03,11.28,70.0,86.41,93.0,,,,,,,,17.8,19.6,1.8,F,84.0,36.0,48.0,2025.0,1,3.0,2000.0,1,adequacy,1,French,0,26.7779545767115,77.0,UM,Latin America and the Caribbean,28704.1,45696.16,1.05249605743252,27.7252245327739,17.7860197287765,29.9034023370895,12.129436478298,15.8325938068554,44.6062969853314,17.9295594315273,33.9491095045056,76.3575876955992,36.7065803113273,28.6173974163559,17.5632217361022,24.231894870327,37.2973676310594,21.7106269408907,36.0060898294926,3.51359427317556,33.9035812004215,18.5603874035645,13.2330341036325,17.5855970678852,24.8625310391758,31.708870661798,22.9954457922822,29.8154099605964,26.7820171341801,24.5370914260167,32.7039401021687,53.3433066253731,30431.1931223693,-0.377517342567444,-0.482535392045975,-0.410826534032822,-0.360883951187134,0.533921837806702,-0.127517908811569,638365455340.04,45696159.0,22161435.0,11644393816.0627,219.883929014578,7.15,5.21279058881723,2024.0,0.0,strategy_led,8.0,medium,10.0,10.0,0.0,8.0,1.0,1.0,1.0,1.0,,26.39%,1/1/18,0.76,Female,0.30%,170%,2016.0,2016.0,-0.22,1/1/19,,0.0078553155611181,,,10.0,,,,1.566448147,,,11%,,,1.0,3.0,,,14.1219207494782,0.004391898,7/24/24,2024-02-26,7/1/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89754023690244,15.2497485928824,89.6672,137.706,406.0,0.54947,,107.822574129434,2,1,1,1,0,0,0,1,0,0,0,latam,0,0,0,1,0,0,0,0,
ARM,Europe-Other,UM,0,light_touch,1,none,2,38.95,103,27.0,41.02,56.75,57.4,24.37,27.75,3.29,30.0,69.81,15.33,11.39,23.68,58.91,70.0,45.0,40.16,42.38,6.2,6.6,0.4,PF,54.0,24.0,30.0,2025.0,1,2.0,2015.0,1,none,1,Socialist,0,30.448190677743,59.0,UM,Northern Africa and Western Asia,23376.23,2973.84,46.3592440406282,22.7010654679433,25.4560203290115,32.0503920800723,27.7635227131484,17.1628682061788,42.7871266528574,17.7716452448662,25.222254869571,73.8112162458253,36.2485765656234,31.0544113798294,15.3911478324927,26.9831319534694,45.8879485743954,44.1385162901005,33.4699162061161,5.05143258183063,19.266471621983,21.9158718268664,19.4059394397112,22.2278567884902,24.1138192523979,33.4455769493543,26.9616437059086,35.8057155790458,40.1683562552778,3.8693485473435,29.0102894085122,48.0699758227466,,,,,,,,,,,,,,9.79110110537429,2024.0,0.0,light_touch,1.0,none,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,0.30%,0.0083790032651927,,,1.0,,,,0.00443894,,Human resources,,,,,0.0,,,10.6412555361173,,,,,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,europe,0,0,1,0,0,0,0,0,
AUS,"South East Asia, East Asia, and Oceania",HI,0,strategy_led,5,medium,11,75.73,9,100.0,70.02,79.04,82.67,62.7,82.94,40.81,100.0,81.3,100.0,42.38,81.39,90.54,83.08,84.03,65.89,71.12,34.5,36.9,2.4,F,95.0,39.0,56.0,2025.0,1,2.0,1988.0,1,none,1,English,1,48.0058166127025,22.0,HI,"South East Asia, East Asia, and Oceania",69475.41,26713.21,57.5347983986332,48.1578921004856,24.4363398413852,42.0520570863482,54.8771766003654,23.9819925604223,61.7140425489604,47.0344512851236,58.7018329315909,95.2223852026604,55.4129430160688,58.5992885219131,50.2563922725835,37.5928894766086,83.9564807771533,76.9557473020728,42.3939388159869,33.0818790443276,29.2909362454819,33.133721866869,46.2759866537401,16.2168520667107,36.9083268801561,64.9263477833914,53.7680272593473,58.984010872034,89.375962730432,60.3038172317683,54.0876390140441,73.3450261333489,72111.1844628126,1.58987963199615,1.94220554828644,1.52318394184113,1.78120493888855,1.50660192966461,0.91705721616745,1757022451652.83,27196812.0,14907959.0,53393088476.4107,3.1616142830575,3.942,21.2199332352628,2024.0,1.0,regulation_focused,17.0,medium,9.0,28.0,2.0,23.0,0.0,12.0,1.0,1.0,,16.78%,1/1/18,0.95,Female,0.80%,143%,2016.0,2016.0,2.09,1/1/24,,,,23.0,178.0,,,1.505925924,3.985426167,,,,,,2.0,1.0,,,3.28826166040525,0.382610747,,,,123.0,538.0,2018.0,2014.0,2.403488733,1.0,1.0,7.0,28.57500667723543,18.0,924.885531,316.6576099,10.13587751613437,,,,,,,,,,,,,,,,,,,,,,,5.05916023254395,24.6215240529473,97.0631,112.513,2966.0,1.85509,,104.64835357666,2,2,2,0,0,0,1,0,0,0,0,asia,0,1,0,0,0,0,0,0,
AUT,Europe,HI,1,comprehensive,10,high,14,69.72,20,66.0,61.39,87.0,81.6,58.06,79.69,17.43,90.0,95.96,86.67,42.04,70.15,91.98,77.75,67.24,72.7,67.33,29.1,31.4,2.2,F,93.0,37.0,56.0,2025.0,1,3.0,2018.0,1,eu_member,1,German,0,50.0967566107785,19.0,HI,Europe,73050.85,9120.82,59.5538000751924,50.9687640424589,31.7760280359774,44.4914881922488,46.5621721300121,32.0751697537467,62.8269590530546,50.5873337675901,59.3941397828247,87.6319070533923,56.7648035249097,57.4078594634892,52.0885754828327,43.1452763626708,80.4615734230202,74.7216181942958,43.9358871234237,21.5128900887853,43.6271118134843,41.7990645330927,43.1794612658961,36.5222709629393,45.6954613704426,57.1906048310599,45.1899717729567,58.3181504861705,84.1494810846748,55.6152419781918,59.7402183172277,67.4948531000728,73911.439663136,1.32668149471283,1.36136972904205,1.74656546115875,1.1336532831192,1.41124832630157,0.727989196777344,534790720466.822,9177982.0,4763195.0,13655965523.2324,2.93791574279383,5.2,11.4825348767666,2024.0,1.0,regulation_focused,25.0,high,25.0,43.0,6.0,25.0,0.0,9.0,1.0,1.0,,16.24%,1/1/18,0.55,Female,0.80%,143%,2016.0,2016.0,2.09,1/1/19,,0.0688649330858034,,10.0,51.0,,,1.505925924,2.221597133,,,13%,,,2.0,7.0,,,11.0970526757044,0.229966597,,,4/29/11,,,1999.0,2014.0,,,1.0,7.0,28.57500667723543,18.0,924.885531,316.6576099,10.13587751613437,2024.0,,,,,,,,,,,,,,,,,,,,,,5.27748012542725,55.6782850851641,94.9197,121.746,1872.0,3.20048,,91.6818237304688,3,3,2,0,0,1,0,0,1,0,0,europe,0,0,1,0,0,0,0,0,
BEL,Europe,HI,1,comprehensive,10,high,14,65.17,30,85.0,58.83,80.0,72.0,49.84,67.05,17.2,100.0,84.56,66.67,44.05,34.83,92.45,60.0,59.43,67.43,72.56,33.5,36.0,2.5,F,96.0,39.0,57.0,2025.0,1,3.0,2018.0,1,eu_member,1,French,0,48.463340688029,21.0,HI,Europe,73221.64,11738.77,62.4342389037724,56.3083704381209,29.1007348409675,37.9029874585235,25.5228016979361,22.4228263177082,70.2072209694222,52.3628287222789,56.2600163480935,72.0299121420506,48.9385223940126,54.4185612061712,49.4597061476884,41.0479282505649,76.0229948356829,72.3639001952941,33.7105767806896,23.8459349972638,42.4008599554029,44.1928690426063,48.1521145660754,37.0124010183453,47.4140915433982,77.0645452112716,38.221996655335,55.0900614317472,78.6344668464273,61.8760639019243,36.6967641729341,65.297253270805,73514.4831045258,1.03702199459076,1.16822481155396,1.29537487030029,1.3368444442749,1.32572901248932,0.403853088617325,671370081636.406,11858610.0,5432908.0,-41357732773.2876,3.14349136500041,5.7,14.1440138847213,2024.0,1.0,regulation_focused,14.0,low,28.0,43.0,1.0,42.0,0.0,5.0,1.0,1.0,2014.0,10.53%,1/1/18,0.63,Female,0.68%,85%,2016.0,2016.0,0.63,1/1/24,,0.0145323337880687,,9.0,51.0,,,0.186256546,1.259241341,,,,,,2.0,0.0,,,11.9117281586399,0.084836185,,2021-03-01,3/1/21,5.0,18.0,2016.0,,,18.0,5.0,18.0,83.53937,29.0,1014.120822,720.958497,8.3453186249207,2024.0,2016.0,,,,,,,,,,,,,,,,,,,,,6.27796983718872,79.2730864114732,95.7758,103.196,799.0,3.40544,,82.1475601196289,3,3,2,0,0,1,0,1,0,0,0,europe,0,0,1,0,0,0,0,0,
BGD,South Asia,LM,0,strategy_led,2,low,4,48.37,75,69.0,39.02,63.93,82.78,26.97,29.64,8.31,60.0,93.44,33.33,5.44,35.12,48.7,71.37,72.12,25.94,47.53,6.5,7.1,0.6,PF,40.0,15.0,25.0,2025.0,1,2.0,2023.0,0,none,0,English,1,20.951047653279,106.0,LM,Central and Southern Asia,9840.47,173562.36,38.6157569600035,13.4922732972065,2.11321960565301,17.7358820849093,23.111539556175,15.6605925036634,22.256265874834,26.3604948079524,11.3906159384636,60.2757703945709,34.0989525687289,22.672297093372,14.6829107750038,15.5419385482879,30.7001106265776,30.4486154676582,23.0755212240052,3.10130647029137,15.9697914509041,13.3479950116665,7.2987384061774,6.86226403270182,25.8829825961203,9.82411766571152,23.9310281948029,22.6792662859738,22.0299788163936,5.29689608636977,6.61868585418711,45.5802385579425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,0.0022,,,,,,,0.0,,,8.23176947044082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,0,0,0,1,0,0,0,0,south_asia,0,0,0,0,0,0,0,1,
BGR,Europe,UM,1,comprehensive,10,high,14,56.6,59,65.0,53.93,71.25,64.66,39.78,62.86,10.39,50.0,94.32,66.67,16.85,59.0,82.16,80.0,35.0,59.05,51.14,25.4,27.3,1.9,F,78.0,33.0,45.0,2025.0,1,3.0,2018.0,1,eu_member,1,Socialist,0,39.0927629267023,37.0,HI,Europe,39185.32,6757.69,29.574747972959,32.1342592452907,33.3413561577464,42.9077235562879,38.037184644635,49.9466603861245,50.5707428071286,33.480075547249,32.2894434208029,79.8977318753474,54.4414892695736,39.6805178358231,26.2699644429595,37.2978954635865,50.4550833584899,41.8467531152417,49.7052425388964,11.533208874004,33.0180550858853,31.6880673708852,19.0946025971275,45.7923572263209,30.1772422892073,37.1147582070272,37.6906441282065,38.8790529896122,45.5104280142762,11.2774417390707,35.0201457162096,63.5015388659806,41969.4515718999,0.047112051397562,0.40789669752121,-0.0068576806224882,-0.137721657752991,0.388988107442856,0.341861486434937,113343355779.985,6441421.0,3100224.0,3549010000.0,2.44651943006079,4.2,10.8523101760506,2024.0,0.0,strategy_led,9.0,none,15.0,11.0,0.0,10.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,2.0,8.0,,,0.007164227,0.047091907,,,,,,,1.0,,,16.2925512573075,0.155120625,,,,,,2022.0,,,,,,10.18775998721704,49.0,104.7711942,151.1775393,,2024.0,,,,,,,,,,,,,,,,,,,,,,4.50109004974365,56.3699620840938,82.439,117.933,165.0,0.75421,,79.8532333374023,3,3,1,0,0,1,0,0,0,0,1,europe,0,0,1,0,0,0,0,0,
BHR,MENA,HI,0,strategy_led,2,low,3,59.57,48,46.5,58.04,72.5,83.37,48.5,49.08,12.12,60.0,80.83,50.0,27.83,69.53,82.65,70.0,85.91,48.16,55.03,,,,NF,12.0,2.0,10.0,2025.0,1,2.0,2018.0,1,none,1,English,1,30.01576627996,62.0,HI,Northern Africa and Western Asia,65344.83,1607.05,81.4081807512393,22.7800407835956,9.09426965582814,14.2770154294683,25.6548110239112,8.34148414009549,46.7420625096933,67.6262672237944,28.5670732367654,77.0856793120478,51.0178102253126,39.7612984649183,29.7672141295334,15.5238293292885,61.0211547643777,68.1018626674766,12.439252618351,18.2771242028875,19.0350551390658,16.7706432291087,4.50041378016504,21.8449238598179,23.9665920473431,19.5378530821876,28.3397054114414,23.1352868253431,61.8762524868128,5.24896774030174,33.7101894603011,41.0871810075255,,,,,,,,,,,,,,4.44849833564378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.0158,,,,,,,0.0,,,7.46185544047226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,0,0,0,1,0,0,0,0,mena,0,0,0,0,1,0,0,0,
BLR,Europe-Other,UM,0,light_touch,1,none,1,32.47,121,12.0,45.28,43.38,24.03,24.62,36.88,3.29,30.0,47.65,33.33,3.48,35.95,79.03,40.0,0.4,40.42,41.49,7.6,8.4,0.8,NF,8.0,1.0,7.0,2025.0,1,2.0,2021.0,1,none,1,Socialist,0,25.0990285299842,85.0,UM,Europe,32098.48,9056.7,4.85473896119297,23.5616473545345,9.05411226330711,15.3031221484118,8.03438020032613,12.2288276276888,62.3425956517889,24.4037369562609,39.2340541237661,66.6298960622187,34.4208202153895,26.5568477680175,4.2256428315547,21.8563955071984,25.5437216583999,12.7449752171869,7.4345755785227,0.736724623437675,18.7997026784361,28.4096688659851,16.8997923856367,46.0424979816772,22.2867162306413,47.6595965536127,22.8227419292105,37.2892251732947,7.83646503196794,8.98111727577543,46.3784494437339,59.6971209638678,,,,,,,,,,,,,,4.49711309551307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,0.012,,,,,,,0.0,,,25.0210020846514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,1,europe,0,0,1,0,0,0,0,0,
