cluster_kmeans,iapp_regulatory_intensity,iapp_thematic_coverage,iapp_approach_ordinal,oxford_readiness_score,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,wipo_gii_score,wipo_innovation_inputs,wipo_innovation_outputs,wipo_institutional_environment,wipo_human_capital_and_research,wipo_infrastructure,wipo_market_sophistication,wipo_business_sophistication,wipo_knowledge_and_technology_outputs,wb_government_effectiveness_2023,wb_regulatory_quality_2023,wb_rule_of_law_2023,income_ordinal
0,8.18,12.47,2.62,70.28,82.94,64.82,84.59,50.05,56.38,44.87,77.94,52.11,55.36,50.73,52.55,43.19,1.27,1.27,1.27,1.94
1,4.21,7.11,2.11,56.87,70.75,53.08,71.92,31.49,35.95,25.35,50.0,32.06,40.83,34.8,28.37,23.36,0.04,0.01,-0.11,0.93
