iso3,iapp_has_ai_law,iapp_regulatory_intensity,iapp_thematic_coverage,iapp_approach_ordinal,iapp_enforcement_ordinal,oxford_readiness_score,oxford_rank,oxford_pillar_policy_capacity,oxford_pillar_ai_infrastructure,oxford_pillar_governance,oxford_pillar_public_sector_adoption,oxford_pillar_development_and_diffusion,oxford_pillar_resilience,oxford_dimension_compute_capacity,oxford_dimension_policy_vision,oxford_dimension_e_government_delivery,oxford_dimension_safety_and_security,gdpr_has_gdpr_like_law,gdpr_has_dpa,gdpr_enforcement_active,is_common_law,income_ordinal
ARE,0,5,9,2,2,69.86,19,73.0,73.77,72.5,97.27,57.34,43.15,40.49,70.0,97.91,33.33,1,1,1,1,2
ARG,0,4,8,2,1,58.25,56,73.0,50.26,84.69,71.06,32.09,70.03,11.28,70.0,86.41,93.0,1,1,1,0,1
ARM,0,1,2,1,0,38.95,103,27.0,41.02,56.75,57.4,24.37,27.75,3.29,30.0,69.81,15.33,1,1,1,0,1
AUS,0,5,11,2,2,75.73,9,100.0,70.02,79.04,82.67,62.7,82.94,40.81,100.0,81.3,100.0,1,1,1,1,2
AUT,1,10,14,3,3,69.72,20,66.0,61.39,87.0,81.6,58.06,79.69,17.43,90.0,95.96,86.67,1,1,1,0,2
BEL,1,10,14,3,3,65.17,30,85.0,58.83,80.0,72.0,49.84,67.05,17.2,100.0,84.56,66.67,1,1,1,0,2
BGD,0,2,4,2,1,48.37,75,69.0,39.02,63.93,82.78,26.97,29.64,8.31,60.0,93.44,33.33,1,0,0,1,0
BGR,1,10,14,3,3,56.6,59,65.0,53.93,71.25,64.66,39.78,62.86,10.39,50.0,94.32,66.67,1,1,1,0,1
BHR,0,2,3,2,1,59.57,48,46.5,58.04,72.5,83.37,48.5,49.08,12.12,60.0,80.83,50.0,1,1,1,1,2
BLR,0,1,1,1,0,32.47,121,12.0,45.28,43.38,24.03,24.62,36.88,3.29,30.0,47.65,33.33,1,1,1,0,1
BLZ,0,0,0,0,0,22.68,158,7.5,35.58,23.08,19.19,13.59,32.95,0.0,0.0,18.39,23.0,1,0,0,1,1
BRA,0,5,10,2,2,69.55,22,88.0,65.5,78.18,94.78,46.57,67.88,38.57,70.0,97.66,83.33,1,1,1,0,1
BRB,0,0,0,0,0,23.33,155,15.5,34.85,40.75,6.22,14.03,25.16,0.0,20.0,12.44,3.33,1,1,1,1,2
