atributo,fuente,valores,n_total,completitud_pct,valores_faltantes
stanford_fig_6.2.4,stanford,16,86,18.6,70
stanford_fig_6.3.5,stanford,16,86,18.6,70
stanford_fig_4.5.4,stanford,15,86,17.4,71
stanford_fig_4.5.7,stanford,15,86,17.4,71
stanford_fig_6.2.3,stanford,13,86,15.1,73
stanford_fig_6.2.20,stanford,11,86,12.8,75
stanford_fig_6.2.8,stanford,11,86,12.8,75
stanford_fig_4.4.5,stanford,10,86,11.6,76
stanford_fig_4.2.1,stanford,9,86,10.5,77
stanford_fig_4.2.24,stanford,9,86,10.5,77
stanford_fig_4.3.15,stanford,9,86,10.5,77
stanford_fig_4.3.16,stanford,9,86,10.5,77
stanford_fig_4.4.2,stanford,9,86,10.5,77
stanford_fig_4.2.2,stanford,9,86,10.5,77
stanford_fig_4.2.7,stanford,8,86,9.3,78
stanford_fig_1.1.11,stanford,8,86,9.3,78
stanford_fig_4.4.12,stanford,6,86,7.0,80
stanford_fig_1.4.6,stanford,6,86,7.0,80
stanford_fig_1.3.1,stanford,6,86,7.0,80
stanford_fig_4.4.6,stanford,5,86,5.8,81
stanford_fig_1.3.12,stanford,5,86,5.8,81
stanford_fig_1.3.25,stanford,5,86,5.8,81
stanford_fig_6.3.8,stanford,5,86,5.8,81
stanford_fig_4.4.4,stanford,5,86,5.8,81
stanford_fig_4.4.7,stanford,5,86,5.8,81
stanford_fig_4.5.5,stanford,5,86,5.8,81
stanford_fig_4.5.8,stanford,4,86,4.7,82
stanford_fig_4.4.3,stanford,3,86,3.5,83
stanford_fig_6.3.13,stanford,3,86,3.5,83
stanford_fig_6.3.9,stanford,3,86,3.5,83
stanford_fig_1.1.6,stanford,3,86,3.5,83
stanford_fig_1.1.7,stanford,3,86,3.5,83
stanford_fig_1.2.3,stanford,3,86,3.5,83
stanford_fig_1.6.2,stanford,3,86,3.5,83
stanford_fig_1.6.4,stanford,3,86,3.5,83
stanford_fig_1.3.22,stanford,2,86,2.3,84
stanford_fig_4.2.5,stanford,2,86,2.3,84
stanford_fig_4.2.6,stanford,2,86,2.3,84
stanford_fig_1.3.24,stanford,2,86,2.3,84
stanford_fig_1.3.26,stanford,2,86,2.3,84
stanford_fig_1.4.7,stanford,2,86,2.3,84
stanford_fig_1.4.8,stanford,2,86,2.3,84
stanford_fig_4.2.3,stanford,2,86,2.3,84
stanford_fig_6.3.10,stanford,2,86,2.3,84
stanford_ai_investment_cumulative_2013_2024_bn,stanford,2,86,2.3,84
stanford_ai_investment_2024_bn,stanford,2,86,2.3,84
stanford_ai_newly_funded_companies_cumulative_2013_2024,stanford,2,86,2.3,84
stanford_ai_skill_penetration_rate,stanford,2,86,2.3,84
stanford_ai_skill_penetration_female,stanford,2,86,2.3,84
stanford_ai_skill_penetration_male,stanford,2,86,2.3,84
stanford_ai_talent_concentration_pct,stanford,2,86,2.3,84
stanford_ai_talent_change_pct,stanford,2,86,2.3,84
stanford_net_ai_talent_migration_per10k,stanford,2,86,2.3,84
stanford_ai_hiring_rate_yoy_pct,stanford,2,86,2.3,84
stanford_ai_patents_per100k_2023,stanford,2,86,2.3,84
stanford_ai_bills_passed_2016_2024,stanford,2,86,2.3,84
stanford_fig_4.5.6,stanford,2,86,2.3,84
stanford_fig_1.1.13,stanford,2,86,2.3,84
stanford_fig_1.1.9,stanford,2,86,2.3,84
stanford_fig_1.3.11,stanford,2,86,2.3,84
stanford_fig_1.3.15,stanford,2,86,2.3,84
stanford_fig_1.3.4,stanford,2,86,2.3,84
stanford_fig_1.3.5,stanford,2,86,2.3,84
stanford_fig_6.2.7,stanford,2,86,2.3,84
stanford_fig_4.3.1,stanford,2,86,2.3,84
stanford_fig_1.2.2,stanford,2,86,2.3,84
stanford_fig_6.2.13,stanford,2,86,2.3,84
stanford_fig_1.4.5,stanford,1,86,1.2,85
stanford_fig_1.3.23,stanford,1,86,1.2,85
stanford_fig_4.2.27,stanford,1,86,1.2,85
stanford_fig_4.2.4,stanford,1,86,1.2,85
stanford_fig_4.3.10,stanford,1,86,1.2,85
stanford_fig_4.3.11,stanford,1,86,1.2,85
stanford_fig_4.3.14,stanford,1,86,1.2,85
stanford_fig_1.3.17,stanford,1,86,1.2,85
stanford_fig_1.3.2,stanford,1,86,1.2,85
stanford_fig_4.5.3,stanford,1,86,1.2,85
stanford_fig_1.3.10,stanford,1,86,1.2,85
stanford_fig_1.3.8,stanford,1,86,1.2,85
stanford_fig_1.3.9,stanford,1,86,1.2,85
stanford_fig_1.1.12,stanford,1,86,1.2,85
stanford_fig_1.1.8,stanford,1,86,1.2,85
stanford_fig_1.3.18,stanford,1,86,1.2,85
stanford_fig_6.2.12,stanford,1,86,1.2,85
stanford_fig_1.1.4,stanford,1,86,1.2,85
stanford_fig_1.1.5,stanford,1,86,1.2,85
stanford_ai_newly_funded_companies_2024,stanford,1,86,1.2,85
stanford_ai_patents_change_2013_2023,stanford,1,86,1.2,85
stanford_notable_ml_models_cumulative_2003_2024,stanford,1,86,1.2,85
stanford_highly_cited_publications_top100_2023,stanford,1,86,1.2,85
stanford_ai_mentions_parliamentary,stanford,1,86,1.2,85
stanford_fig_1.3.21,stanford,1,86,1.2,85
stanford_fig_1.1.10,stanford,1,86,1.2,85
stanford_fig_4.2.1_Year,stanford,1,86,1.2,85
"stanford_fig_4.2.15_Relative AI skill penetration rate, 2015-24",stanford,1,86,1.2,85
"stanford_fig_4.2.16_Relative AI skill penetration, 2015-24",stanford,1,86,1.2,85
stanford_fig_4.2.19_Year,stanford,1,86,1.2,85
stanford_fig_4.2.21_Year,stanford,1,86,1.2,85
"stanford_fig_4.2.22_Net AI talent migration per 10,000 LinkedIn members",stanford,1,86,1.2,85
"stanford_fig_4.2.23_Net AI talent migration per 10,000 LinkedIn members",stanford,1,86,1.2,85
stanford_fig_4.3.10_Year,stanford,1,86,1.2,85
stanford_fig_4.3.10_Total investment (in billions of US dollars),stanford,1,86,1.2,85
stanford_fig_4.3.11_Year,stanford,1,86,1.2,85
stanford_fig_4.3.11_Total investment (in billions of US dollars),stanford,1,86,1.2,85
"stanford_fig_4.3.12_Number of newly funded AI companies, 2024",stanford,1,86,1.2,85
"stanford_fig_4.3.13_Number of newly funded AI companies, 2013-24",stanford,1,86,1.2,85
stanford_fig_4.3.14_Year,stanford,1,86,1.2,85
stanford_fig_4.3.14_Number of companies,stanford,1,86,1.2,85
stanford_fig_4.3.8_Total Investment (in Billions of U.S. Dollars),stanford,1,86,1.2,85
"stanford_fig_4.3.9_Total Investment (in Billions of U.S. Dollars), 2013-24",stanford,1,86,1.2,85
stanford_fig_4.5.4_Number of Industrial Robots Installed (in Thousands),stanford,1,86,1.2,85
stanford_fig_4.5.4_Label,stanford,1,86,1.2,85
stanford_fig_4.5.5_Year,stanford,1,86,1.2,85
stanford_fig_4.5.5_Number of industrial robots installed (in thousands),stanford,1,86,1.2,85
stanford_fig_1.1.11_Number of highly cited publications in top 100,stanford,1,86,1.2,85
stanford_fig_1.1.11_Label,stanford,1,86,1.2,85
stanford_fig_1.1.6_Year,stanford,1,86,1.2,85
stanford_fig_1.1.6_AI publications in CS (% of total),stanford,1,86,1.2,85
stanford_fig_1.1.7_Year,stanford,1,86,1.2,85
stanford_fig_1.1.7_AI publication citations in CS (% of total),stanford,1,86,1.2,85
stanford_fig_1.1.9_AI Publications (% of Total),stanford,1,86,1.2,85
stanford_fig_1.2.3_Year,stanford,1,86,1.2,85
