bloque,canonical_name,wb_code,wb_name,last_updated_wb,n_rows_final,n_countries,years_data,output_file,extraction_timestamp,source
Gobernanza,voice_accountability,VA.EST,WGI voice_accountability (Estimate),2025 WGI update,1468,210,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_voice_accountability.csv,2026-05-04T19:07:15.329326,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,voice_accountability_se,VA.STD.ERR,WGI voice_accountability (Standard Error),2025 WGI update,1468,210,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_voice_accountability_se.csv,2026-05-04T19:07:15.329503,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,political_stability,PV.EST,WGI political_stability (Estimate),2025 WGI update,1504,215,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_political_stability.csv,2026-05-04T19:07:16.511762,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,political_stability_se,PV.STD.ERR,WGI political_stability (Standard Error),2025 WGI update,1504,215,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_political_stability_se.csv,2026-05-04T19:07:16.511939,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,government_effectiveness,GE.EST,WGI government_effectiveness (Estimate),2025 WGI update,1483,213,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_government_effectiveness.csv,2026-05-04T19:07:17.673835,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,government_effectiveness_se,GE.STD.ERR,WGI government_effectiveness (Standard Error),2025 WGI update,1483,213,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_government_effectiveness_se.csv,2026-05-04T19:07:17.674003,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,regulatory_quality,RQ.EST,WGI regulatory_quality (Estimate),2025 WGI update,1483,213,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_regulatory_quality.csv,2026-05-04T19:07:18.857357,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,regulatory_quality_se,RQ.STD.ERR,WGI regulatory_quality (Standard Error),2025 WGI update,1483,213,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_regulatory_quality_se.csv,2026-05-04T19:07:18.857533,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,rule_of_law,RL.EST,WGI rule_of_law (Estimate),2025 WGI update,1504,215,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_rule_of_law.csv,2026-05-04T19:07:20.044935,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,rule_of_law_se,RL.STD.ERR,WGI rule_of_law (Standard Error),2025 WGI update,1504,215,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_rule_of_law_se.csv,2026-05-04T19:07:20.045102,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,control_of_corruption,CC.EST,WGI control_of_corruption (Estimate),2025 WGI update,1491,215,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_control_of_corruption.csv,2026-05-04T19:07:21.213586,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
Gobernanza,control_of_corruption_se,CC.STD.ERR,WGI control_of_corruption (Standard Error),2025 WGI update,1491,215,"2018, 2019, 2020, 2021, 2022, 2023, 2024",/Users/francoia/Documents/Research_AI_law/World Bank WDI/data_v2/raw/tarea8_control_of_corruption_se.csv,2026-05-04T19:07:21.213757,WGI Excel: wgidataset_with_sourcedata-2025.xlsx
