canonical,code,source,source_id,name,source_org,last_updated,total_records_api,pages,sample_years,sample_values,valid,error
internet_penetration,IT.NET.USER.ZS,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",60,True,
mobile_subscriptions_per100,IT.CEL.SETS.P2,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",84,True,
fixed_broadband_per100,IT.NET.BBND.P2,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025",84,True,
secure_servers_per_1m,IT.NET.SECR.P6,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024",87,True,
electric_consumption_kwh_pc,EG.USE.ELEC.KH.PC,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024",70,True,
tertiary_education_enrollment,SE.TER.ENRR,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024",74,True,
education_expenditure_pct_gdp,SE.XPD.TOTL.GD.ZS,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023",67,True,
rd_expenditure_pct_gdp,GB.XPD.RSDV.GD.ZS,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023",50,True,
researchers_rd_per_million,SP.POP.SCIE.RD.P6,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023",46,True,
technicians_rd_per_million,SP.POP.TECH.RD.P6,WDI,2,,,2026-04-08,2128,22,,0,False,
patent_applications_residents,IP.PAT.RESD,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020",6,True,
high_tech_exports_pct_manufactured,TX.VAL.TECH.MF.ZS,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022, 2023, 2024",83,True,
ict_goods_exports_pct,TX.VAL.ICTG.ZS.UN,WDI,2,,,2026-04-08,2128,22,"2018, 2019, 2020, 2021, 2022",54,True,
