fig_id,entity_type,entity_name,year,variable,value
fig_5.1.1,category,Earth science,2010,fig_5.1.1_Number of AI publications in natural sciences (in thousands),0.686
fig_5.1.1,category,Earth science,2011,fig_5.1.1_Number of AI publications in natural sciences (in thousands),0.728
fig_5.1.1,category,Earth science,2012,fig_5.1.1_Number of AI publications in natural sciences (in thousands),0.785
fig_5.1.1,category,Earth science,2013,fig_5.1.1_Number of AI publications in natural sciences (in thousands),0.907
fig_5.1.1,category,Earth science,2014,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.048
fig_5.1.1,category,Earth science,2015,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.218
fig_5.1.1,category,Earth science,2016,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.493
fig_5.1.1,category,Earth science,2017,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.738
fig_5.1.1,category,Earth science,2018,fig_5.1.1_Number of AI publications in natural sciences (in thousands),2.544
fig_5.1.1,category,Earth science,2019,fig_5.1.1_Number of AI publications in natural sciences (in thousands),4.062
fig_5.1.1,category,Earth science,2020,fig_5.1.1_Number of AI publications in natural sciences (in thousands),6.033
fig_5.1.1,category,Earth science,2021,fig_5.1.1_Number of AI publications in natural sciences (in thousands),9.467
fig_5.1.1,category,Earth science,2022,fig_5.1.1_Number of AI publications in natural sciences (in thousands),12.614
fig_5.1.1,category,Earth science,2023,fig_5.1.1_Number of AI publications in natural sciences (in thousands),13.653
fig_5.1.1,category,Earth science,2024,fig_5.1.1_Number of AI publications in natural sciences (in thousands),16.585
fig_5.1.1,category,Earth science,2025,fig_5.1.1_Number of AI publications in natural sciences (in thousands),20.459
fig_5.1.1,category,Life sciences,2010,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.291
fig_5.1.1,category,Life sciences,2011,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.351
fig_5.1.1,category,Life sciences,2012,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.504
fig_5.1.1,category,Life sciences,2013,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.578
fig_5.1.1,category,Life sciences,2014,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.653
fig_5.1.1,category,Life sciences,2015,fig_5.1.1_Number of AI publications in natural sciences (in thousands),2.036
fig_5.1.1,category,Life sciences,2016,fig_5.1.1_Number of AI publications in natural sciences (in thousands),2.366
fig_5.1.1,category,Life sciences,2017,fig_5.1.1_Number of AI publications in natural sciences (in thousands),2.969
fig_5.1.1,category,Life sciences,2018,fig_5.1.1_Number of AI publications in natural sciences (in thousands),4.222
fig_5.1.1,category,Life sciences,2019,fig_5.1.1_Number of AI publications in natural sciences (in thousands),6.607
fig_5.1.1,category,Life sciences,2020,fig_5.1.1_Number of AI publications in natural sciences (in thousands),9.573
fig_5.1.1,category,Life sciences,2021,fig_5.1.1_Number of AI publications in natural sciences (in thousands),14.199
fig_5.1.1,category,Life sciences,2022,fig_5.1.1_Number of AI publications in natural sciences (in thousands),18.171
fig_5.1.1,category,Life sciences,2023,fig_5.1.1_Number of AI publications in natural sciences (in thousands),18.742
fig_5.1.1,category,Life sciences,2024,fig_5.1.1_Number of AI publications in natural sciences (in thousands),22.584
fig_5.1.1,category,Life sciences,2025,fig_5.1.1_Number of AI publications in natural sciences (in thousands),28.911
fig_5.1.1,category,Physical sciences,2010,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.028
fig_5.1.1,category,Physical sciences,2011,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.036
fig_5.1.1,category,Physical sciences,2012,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.087
fig_5.1.1,category,Physical sciences,2013,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.207
fig_5.1.1,category,Physical sciences,2014,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.168
fig_5.1.1,category,Physical sciences,2015,fig_5.1.1_Number of AI publications in natural sciences (in thousands),1.344
