fig_id,section,entity_type,num_data_rows,num_cols,is_wide,note,columns_preview
fig_4.2.1,fig_4.2.1,category,52,3,N,,Year | Event Type | Funding in USD (billions)
fig_4.2.2,fig_4.2.2,global,13,2,N,,Year | Total investment (in billions of US dollars)
fig_4.2.3,fig_4.2.3,global,7,2,N,,Year | Total investment (in billions of US dollars)
fig_4.2.4,fig_4.2.4,global,13,2,N,,Year | Number of companies
fig_4.2.5,fig_4.2.5,global,7,2,N,,Year | Number of companies
fig_4.2.6,fig_4.2.6,global,13,2,N,,Year | Average investment (in millions of US dollars)
fig_4.2.8,fig_4.2.8,country,15,2,N,,Total Investment (in Billions of U.S. Dollars) | Country
fig_4.2.9,fig_4.2.9,category,39,3,N,,Year | Number of companies | Label
fig_4.2.10,fig_4.2.10,category,19,3,N,,Year | Total investment (in billions of US dollars) | Label
fig_4.2.11,fig_4.2.11,category,39,3,N,,Year | Total investment (in billions of US dollars) | Label
fig_4.2.12,fig_4.2.12,country,15,2,N,,Total Investment (in Billions of U.S. Dollars) | Country
fig_4.2.13,fig_4.2.13,country,15,2,N,,Number of Companies | Country
fig_4.2.14,fig_4.2.14,category,39,3,N,,Year | Number of companies | Label
fig_4.2.15,fig_4.2.15,us_state,51,2,N,,state_code | total_funding
fig_4.2.16,fig_4.2.16,category,50,3,N,,Total investment (in billions of U.S. dollars) | Focus area | Label
fig_4.2.17,fig_4.2.17,category,154,3,N,,Category | year | funding_in_billions_USD
fig_4.2.18,fig_4.2.18,category,35,3,N,,Date | Annualized revenue (in billions of US dollars - log scale) | Label
fig_4.2.20,fig_4.2.20,organization,10,4,N,,Year | Company | Type | Cost_Billions
fig_4.3.1(1),fig_4.3.1(1),category,12,3,N,duplicate_of_fig_4.3.1,Year | % of respondents | Label
fig_4.3.1,fig_4.3.1,country,147,2,N,,Economy | H2 2025 AI Diffusion
fig_4.3.2,fig_4.3.2,category,18,3,N,,% of Respondents | Geographic Area | Label
fig_4.3.3,fig_4.3.3,category,88,4,N,,industry | function | year | respondent_perc
