iso3,regulatory_status_group,regulatory_intensity,ai_readiness_score,ai_adoption_rate,ai_investment_usd_bn_cumulative,ai_startups_cumulative,gdp_per_capita_ppp,gii_score
BGD,strategy_only,2,48.37,7.1,0.0022,1.0,9646.76984383255,20.951047653279
MEX,strategy_only,3,48.33,17.8,0.863794859,26.0,26185.3564713253,30.5127163343233
GHA,strategy_only,2,47.42,9.3,0.0801,4.0,8019.99702389611,21.8535373304419
CRI,strategy_only,2,45.92,26.5,0.005932492,2.0,31106.7643556729,28.3589014854175
LKA,soft_framework,1,45.6,6.6,0.005564635,2.0,15632.5924849848,22.9052774592463
TUN,strategy_only,2,42.23,12.7,0.021,2.0,14521.0080937638,26.9867919028168
MNG,soft_framework,1,40.86,14.3,0.0084,2.0,19144.7261368498,26.6945540254358
PAN,strategy_only,2,39.3,21.5,0.01473589,1.0,41369.422541499,25.8798675140179
ARM,soft_framework,1,38.95,6.6,0.00443894,1.0,22823.1795255693,30.448190677743
UGA,soft_framework,1,35.76,6.8,0.0094,3.0,3273.2671741364,17.0672701323701
CMR,no_framework,0,34.91,7.8,0.005,1.0,5588.98645861945,18.1843870946301
LBN,no_framework,0,34.26,25.7,0.0138,1.0,12574.8329116403,23.6120255291244
BLR,soft_framework,1,32.47,8.4,0.012,2.0,33010.3307605357,25.0990285299842
