ARCHIVO,ANIO_GII,TAMANO_BYTES,SHA256
wipo_pub_2000-tech1.xlsx,2021,1080066,a93900f35db1bd8fbf760c134d463af90dd8f07b0428927290433d4149fbcf6f
wipo-pub-2000-2022-tech1.xlsx,00-,1016263,4865f76338afd01e3e6e69c6c1f6af81cc365162d7447dba36783617c729a85a
wipo-pub-2000-2022-tech2.xlsx,00-,36339,a88cae75c5bae6445f5b9b84c42cbaa20f683efd3c6bfc44b53f024f1f771f48
wipo-pub-2000-2023-tech1.xlsx,00-,925753,088c52af4ff9e336a079508f1219828be7a96514989cedf7bc869c2531ab1e65
wipo-pub-2000-2024-tech1.xlsx,00-,938609,f7ab52221b82d15645eacdaf6f0ca0c1ce7b3686f814eb15f9bed8c7d9d88126
wipo-pub-2000-2025-tech1.xlsx,00-,935909,29dac5fadb7c1ef3ae54044887db8eedd232a08f7cae930cf886e131afd55b81
