Intensity rank,Cluster name,ECONOMY_CODE,Estimated cluster population,PCT applications per capitaa,Scientific publications per capitaa,Total S&T share per capitaa,Rank changeb,ENTITY_TYPE,SHEET_ORIGEN,ENTITY_LEVEL,ISO_MAPPING
1,Cambridge,GB,470564.6357143784,6485.642776110795,37636.83875279671,1.095826858012191,0.0,cluster,intensity ranks,single-country,GB→GBR
2,Eindhoven,BE/NL,1004434.916208172,8125.796949638804,5221.656704519924,0.7815057355000019,0.0,cluster,intensity ranks,multi-country,BE→BEL + NL→NLD
3,Daejeon,KR,1639385.427576261,6274.100886749907,14525.04844981816,0.7514938321681576,2.0,cluster,intensity ranks,single-country,KR→KOR
4,"San Jose–San Francisco, CA",US,6075112.258588349,7059.040630112403,9561.481161531523,0.7499437434000451,0.0,cluster,intensity ranks,single-country,US→USA
5,Oxford,GB,530708.3297621756,2922.307088798818,34012.90100418466,0.7343062285584764,-2.0,cluster,intensity ranks,single-country,GB→GBR
6,"Boston–Cambridge, MA",US,3735101.480403315,4329.637374885742,19666.57565788025,0.654596573718045,1.0,cluster,intensity ranks,single-country,US→USA
7,"Ann Arbor, MI",US,633652.5807511193,2041.296750301593,31252.007941748,0.6186189391383088,-1.0,cluster,intensity ranks,single-country,US→USA
8,"San Diego, CA",US,3485292.183446183,5555.563535406835,5935.735070705942,0.5676950467982896,1.0,cluster,intensity ranks,single-country,US→USA
9,"Seattle, WA",US,2345646.483088871,5091.552824275253,8695.33515653892,0.566199166221882,-1.0,cluster,intensity ranks,single-country,US→USA
10,Lund–Malmö,SE,596693.9975995601,3600.501747154935,15294.99605762452,0.5293746416297768,0.0,cluster,intensity ranks,single-country,SE→SWE
11,Lausanne,CH/FR,683651.9014417457,2738.0764807538,15985.25234781278,0.4640728383218155,1.0,cluster,intensity ranks,multi-country,CH→CHE + FR→FRA
12,"Raleigh, NC",US,1509941.605414691,1912.382890670799,19872.20308048695,0.4468807068908274,1.0,cluster,intensity ranks,single-country,US→USA
13,Munich,DE,2564433.806677864,3574.391466000385,9365.842733249245,0.4434821469612944,2.0,cluster,intensity ranks,single-country,DE→DEU
14,Kanazawa,JP,858745.631744339,4441.383802613031,3941.083667533172,0.4424816273944813,2.0,cluster,intensity ranks,single-country,JP→JPN
15,Stockholm,SE,1930445.826369552,3096.590311370256,10381.19228673819,0.4161787157305362,-1.0,cluster,intensity ranks,single-country,SE→SWE
16,Göteborg,SE,781241.3945525881,2546.602895161257,12763.28683001218,0.401859401824978,1.0,cluster,intensity ranks,single-country,SE→SWE
17,Helsinki,FI,1196570.533107684,2233.104189791283,11153.94649552292,0.3518994951108788,1.0,cluster,intensity ranks,single-country,FI→FIN
18,Nuremberg–Erlangen,DE,1311955.785750289,2781.104448855368,7157.337661215216,0.3432203485557742,1.0,cluster,intensity ranks,single-country,DE→DEU
19,Zürich,CH/DE,1845731.485986691,1845.517086692923,12924.86243641713,0.3431525250068787,3.0,cluster,intensity ranks,multi-country,CH→CHE + DE→DEU
20,Tokyo–Yokohama,JP,36101572.66255966,3393.934568491959,3127.003825273128,0.3399090686144142,1.0,cluster,intensity ranks,single-country,JP→JPN
21,Copenhagen,DK,1579632.324068812,1946.767232450566,11957.54993274633,0.3382699619734348,-1.0,cluster,intensity ranks,single-country,DK→DNK
22,Beijing,CN,19701843.13136698,1625.009718621781,13244.31095061924,0.3283659886677971,4.0,cluster,intensity ranks,single-country,CN→CHN
