ISO3,ECONOMY_NAME,INCOME,REG_UN,REG_UN_CODE,POP,PPPGDP,PPPPC
ALB,Albania,UM,Europe,EUR,2873,44.5,15487
DZA,Algeria,LM,Northern Africa and Western Asia,NAWA,44617,532.6,11829
AGO,Angola,LM,Sub-Saharan Africa,SSA,33934,218,6820
ARG,Argentina,UM,Latin America and the Caribbean,LCN,45606,1049.4,22892
ARM,Armenia,UM,Northern Africa and Western Asia,NAWA,2968,43.5,14701
AUS,Australia,HI,"South East Asia, East Asia, and Oceania",SEAO,25788,1427.3,55492
AUT,Austria,HI,Europe,EUR,9043,531.4,59406
AZE,Azerbaijan,UM,Northern Africa and Western Asia,NAWA,10223,155.9,15299
BHR,Bahrain,HI,Northern Africa and Western Asia,NAWA,1748,79,53128
BGD,Bangladesh,LM,Central and Southern Asia,CSA,166303,953.4,5733
BLR,Belarus,UM,Europe,EUR,9443,200.7,21467
BEL,Belgium,HI,Europe,EUR,11632,645.4,55919
BEN,Benin,LM,Sub-Saharan Africa,SSA,12451,46.5,3720
BIH,Bosnia and Herzegovina,UM,Europe,EUR,3263,53.2,16302
BWA,Botswana,UM,Sub-Saharan Africa,SSA,2397,41.1,17163
BRA,Brazil,UM,Latin America and the Caribbean,LCN,213993,3437.6,16169
BRN,Brunei Darussalam,HI,"South East Asia, East Asia, and Oceania",SEAO,442,30.3,65675
BGR,Bulgaria,UM,Europe,EUR,6897,177.7,25847
BFA,Burkina Faso,LI,Sub-Saharan Africa,SSA,21497,52.6,2444
BDI,Burundi,LI,Sub-Saharan Africa,SSA,12255,9.5,779
KHM,Cambodia,LM,"South East Asia, East Asia, and Oceania",SEAO,16946,78.1,4930
CMR,Cameroon,LM,Sub-Saharan Africa,SSA,27224,105.1,3860
CAN,Canada,HI,Northern America,NAC,38068,2027.4,53089
CHL,Chile,HI,Latin America and the Caribbean,LCN,19212,522.8,26513
CHN,China,UM,"South East Asia, East Asia, and Oceania",SEAO,1444216,27072,19090
COL,Colombia,UM,Latin America and the Caribbean,LCN,51266,812.8,15922
CRI,Costa Rica,UM,Latin America and the Caribbean,LCN,5139,111.9,21592
HRV,Croatia,HI,Europe,EUR,4082,124.8,31112
CYP,Cyprus,HI,Northern Africa and Western Asia,NAWA,1216,38.6,42832
CZE,Czech Republic,HI,Europe,EUR,10725,469.1,43714
CIV,Côte d'Ivoire,LM,Sub-Saharan Africa,SSA,27054,158.3,5724
DNK,Denmark,HI,Europe,EUR,5813,370.3,63405
DOM,Dominican Republic,UM,Latin America and the Caribbean,LCN,10954,220.7,20944
ECU,Ecuador,UM,Latin America and the Caribbean,LCN,17888,204.7,11529
EGY,Egypt,LM,Northern Africa and Western Asia,NAWA,104258,1381.1,13422
SLV,El Salvador,LM,Latin America and the Caribbean,LCN,6518,62.3,9551
